Date,Bitcoin_Var%
2019-10-24,-0.58
2019-10-22,-2.15
2019-10-21,-0.18
2019-10-20,3.34
2019-10-19,0.11
2019-10-18,-1.55
2019-10-17,0.91
2019-10-16,-2.04
2019-10-15,-2.23
2019-10-14,0.87
2019-10-13,-0.28
2019-10-12,0.44
2019-10-11,-3.44
2019-10-10,-0.05
2019-10-09,4.69
2019-10-08,-0.19
2019-10-07,4.02
2019-10-06,-3.02
2019-10-05,-0.25
2019-10-04,-0.96
2019-10-03,-1.64
2019-10-02,0.74
2019-10-01,0.22
2019-09-30,2.92
2019-09-29,-1.94
2019-09-28,0.29
2019-09-27,1.5
2019-09-26,-4.37
2019-09-25,-0.96
2019-09-23,-3.28
2019-09-22,0.39
2019-09-21,-1.77
2019-09-20,-0.76
2019-09-19,0.84
2019-09-18,-0.3
2019-09-17,-0.58
2019-09-16,-0.54
2019-09-15,-0.25
2019-09-14,-0.05
2019-09-13,-0.7
2019-09-12,2.49
2019-09-11,0.57
2019-09-10,-1.98
2019-09-09,-0.9
2019-09-08,-0.56
2019-09-07,1.47
2019-09-06,-2.44
2019-09-05,-0.01
2019-09-04,-0.42
2019-09-03,2.55
2019-09-01,1.41
2019-08-31,0.09
2019-08-30,0.99
2019-08-29,-2.45
2019-08-28,-4.47
2019-08-27,-1.8
2019-08-26,2.32
2019-08-25,0.05
2019-08-24,-2.48
2019-08-23,2.81
2019-08-22,-0.36
2019-08-20,-1.45
2019-08-19,5.8
2019-08-18,0.93
2019-08-17,-1.14
2019-08-16,0.31
2019-08-15,2.53
2019-08-13,-4.4
2019-08-12,-1.07
2019-08-11,1.79
2019-08-09,-0.84
2019-08-08,1.48
2019-08-07,4.64
2019-08-06,-2.84
2019-08-04,1.1
2019-08-03,2.81
2019-08-02,1.35
2019-08-01,2.96
2019-07-31,5.23
2019-07-30,-0.0
2019-07-29,-1.51
2019-07-28,2.48
2019-07-27,-3.45
2019-07-26,-1.15
2019-07-25,1.44
2019-07-24,-0.85
2019-07-23,-5.03
2019-07-22,-2.82
2019-07-21,-1.04
2019-07-20,2.41
2019-07-19,-0.75
2019-07-17,3.17
2019-07-13,-3.38
2019-07-12,3.7
2019-07-10,-3.44
2019-07-09,2.36
2019-07-07,1.31
2019-07-06,2.71
2019-07-05,-1.73
2019-07-02,2.07
2019-07-01,-1.87
2019-06-29,-4.05
2019-06-24,1.37
2019-06-23,1.64
2019-06-22,5.33
2019-06-20,2.83
2019-06-19,1.93
2019-06-18,-2.56
2019-06-17,3.98
2019-06-16,1.7
2019-06-15,1.81
2019-06-14,5.32
2019-06-13,1.06
2019-06-12,3.11
2019-06-11,-1.25
2019-06-10,4.62
2019-06-09,-3.37
2019-06-08,-1.05
2019-06-07,2.57
2019-06-06,0.08
2019-06-05,1.22
2019-06-04,-5.41
2019-06-02,2.14
2019-06-01,-0.15
2019-05-31,3.46
2019-05-30,-4.35
2019-05-29,-0.79
2019-05-28,-0.5
2019-05-27,1.51
2019-05-25,0.72
2019-05-24,1.5
2019-05-23,2.83
2019-05-22,-3.72
2019-05-21,-0.44
2019-05-20,-2.35
2019-05-18,-1.32
2019-05-16,-3.59
2019-05-15,2.13
2019-05-14,2.42
2019-05-12,-2.86
2019-05-10,3.14
2019-05-09,3.36
2019-05-08,2.41
2019-05-07,1.82
2019-05-06,-0.52
2019-05-05,-0.96
2019-05-04,1.11
2019-05-03,4.97
2019-05-02,2.04
2019-05-01,1.19
2019-04-30,1.64
2019-04-29,-1.27
2019-04-28,0.69
2019-04-27,-0.61
2019-04-26,1.71
2019-04-25,-3.81
2019-04-24,-1.74
2019-04-23,3.08
2019-04-22,1.97
2019-04-21,-0.88
2019-04-20,0.94
2019-04-19,-0.45
2019-04-18,1.08
2019-04-17,0.53
2019-04-16,2.95
2019-04-15,-2.0
2019-04-14,1.64
2019-04-13,-0.05
2019-04-12,0.63
2019-04-11,-5.37
2019-04-10,2.89
2019-04-09,-1.65
2019-04-08,1.38
2019-04-07,2.53
2019-04-06,0.72
2019-04-05,2.2
2019-04-04,-1.33
2019-04-03,2.25
2019-04-01,1.04
2019-03-31,-0.23
2019-03-30,0.23
2019-03-29,1.9
2019-03-28,-0.4
2019-03-27,2.51
2019-03-26,0.15
2019-03-25,-1.44
2019-03-24,-0.2
2019-03-23,0.3
2019-03-22,0.21
2019-03-21,-1.46
2019-03-20,0.6
2019-03-19,0.67
2019-03-18,0.22
2019-03-17,-0.62
2019-03-16,2.09
2019-03-15,1.17
2019-03-14,0.36
2019-03-13,-0.54
2019-03-12,0.41
2019-03-11,-1.15
2019-03-10,-0.74
2019-03-09,2.03
2019-03-08,-0.24
2019-03-07,0.32
2019-03-06,0.15
2019-03-05,3.8
2019-03-04,-2.45
2019-03-03,-0.36
2019-03-02,0.03
2019-03-01,0.14
2019-02-28,0.05
2019-02-27,0.11
2019-02-26,-0.61
2019-02-25,2.09
2019-02-23,3.91
2019-02-22,0.73
2019-02-21,-0.9
2019-02-20,1.48
2019-02-19,0.47
2019-02-17,1.31
2019-02-16,0.34
2019-02-15,0.34
2019-02-14,-0.52
2019-02-13,-0.56
2019-02-12,0.01
2019-02-11,-1.28
2019-02-10,0.48
2019-02-09,-0.01
2019-02-07,-0.2
2019-02-06,-1.85
2019-02-05,0.16
2019-02-04,0.11
2019-02-03,-1.24
2019-02-02,1.0
2019-02-01,0.9
2019-01-31,-0.66
2019-01-30,1.32
2019-01-29,-0.81
2019-01-28,-3.17
2019-01-27,-0.43
2019-01-26,-0.03
2019-01-25,-0.06
2019-01-24,0.36
2019-01-23,-0.52
2019-01-22,1.23
2019-01-21,-0.16
2019-01-20,-3.68
2019-01-19,2.0
2019-01-18,-0.57
2019-01-17,1.07
2019-01-16,0.47
2019-01-15,-1.84
2019-01-14,4.24
2019-01-13,-2.98
2019-01-12,-0.53
2019-01-11,0.35
2019-01-09,0.17
2019-01-08,-0.37
2019-01-07,-0.45
2019-01-06,5.78
2019-01-05,-0.46
2019-01-04,0.6
2019-01-03,-2.42
2019-01-02,1.69
2019-01-01,2.69
2018-12-31,-2.77
2018-12-30,2.92
2018-12-29,-4.01
2018-12-27,-5.45
2018-12-26,0.83
2018-12-24,2.07
2018-12-23,-0.5
2018-12-22,2.95
2018-12-19,0.52
2018-12-18,4.02
2018-12-16,0.6
2018-12-15,-0.59
2018-12-14,-2.04
2018-12-13,-4.35
2018-12-12,1.72
2018-12-11,-1.53
2018-12-10,-3.0
2018-12-09,4.0
2018-12-08,0.24
2018-12-07,-2.46
2018-12-05,-4.72
2018-12-04,1.56
2018-12-02,-0.85
2018-12-01,3.87
2018-11-29,0.73
2018-11-27,0.77
2018-11-25,3.62
2018-11-23,0.96
2018-11-21,2.52
2018-11-18,0.65
2018-11-17,-0.26
