,Date,Last,Open,Max,Min,Vol_K,Var_%,Index,dax_last_5_avg,dax_last_3_avg,dax_last_1
0,2019-10-23,12798.19,12702.92,12819.22,12699.85,76000.22,0.34,dax_index,0.198,0.263,0.05
1,2019-10-22,12754.69,12757.73,12791.31,12730.7,79000.43,0.05,dax_index,0.418,0.207,0.91
2,2019-10-21,12747.96,12661.93,12787.35,12646.28,80000.98,0.91,dax_index,0.196,0.01,-0.17
3,2019-10-18,12633.6,12637.01,12700.38,12603.17,88000.68,-0.17,dax_index,0.802,0.45,-0.12
4,2019-10-17,12654.95,12655.32,12814.49,12647.86,99000.3,-0.12,dax_index,0.942,0.423,0.32
5,2019-10-16,12670.11,12644.18,12698.37,12603.83,99000.48,0.32,dax_index,1.086,1.27,1.15
6,2019-10-15,12629.79,12565.68,12682.4,12511.9,94000.19,1.15,dax_index,0.646,1.08,-0.2
7,2019-10-14,12486.56,12468.78,12495.24,12387.95,59000.09,-0.2,dax_index,0.826,1.493,2.86
8,2019-10-11,12511.65,12248.88,12511.65,12240.94,100000.87,2.86,dax_index,0.4,0.19,0.58
9,2019-10-10,12164.2,12082.89,12202.71,12029.46,88000.44,0.58,dax_index,-0.268,0.23,1.04
10,2019-10-09,12094.26,11973.82,12165.53,11953.12,68000.81,1.04,dax_index,-0.74,0.127,-1.05
11,2019-10-08,11970.2,12097.89,12097.94,11933.02,80000.88,-1.05,dax_index,-0.454,-0.443,0.7
12,2019-10-07,12097.43,12008.77,12105.09,11969.32,65000.61,0.7,dax_index,-0.444,-1.117,0.73
13,2019-10-04,12012.81,11958.31,12012.91,11878.98,88000.13,0.73,dax_index,-0.502,-1.233,-2.76
14,2019-10-02,11925.25,12221.74,12226.86,11925.25,95000.64,-2.76,dax_index,-0.068,-0.063,-1.32
15,2019-10-01,12263.83,12469.67,12497.28,12263.83,78000.84,-1.32,dax_index,0.138,0.523,0.38
16,2019-09-30,12428.08,12367.81,12441.03,12346.94,70000.13,0.38,dax_index,-0.14,0.2,0.75
17,2019-09-27,12380.94,12327.79,12404.47,12324.71,66000.14,0.75,dax_index,-0.274,-0.147,0.44
18,2019-09-26,12288.54,12227.77,12313.15,12223.29,78000.92,0.44,dax_index,-0.252,-0.63,-0.59
19,2019-09-25,12234.18,12250.08,12261.06,12141.82,72000.63,-0.59,dax_index,-0.106,-0.407,-0.29
20,2019-09-24,12307.15,12368.96,12375.31,12307.15,60000.35,-0.29,dax_index,-0.06,-0.127,-1.01
21,2019-09-23,12342.33,12432.3,12441.02,12264.14,80000.38,-1.01,dax_index,0.0,0.257,0.08
22,2019-09-20,12468.01,12462.57,12490.84,12418.5,192000.99,0.08,dax_index,0.078,0.21,0.55
23,2019-09-19,12457.7,12355.92,12466.78,12354.83,81000.54,0.55,dax_index,0.05,-0.21,0.14
24,2019-09-18,12389.62,12361.23,12416.05,12354.49,70000.54,0.14,dax_index,0.17,-0.1,-0.06
25,2019-09-17,12372.61,12370.96,12392.97,12303.51,77000.79,-0.06,dax_index,0.252,0.057,-0.71
26,2019-09-16,12380.31,12387.68,12421.25,12362.98,80000.51,-0.71,dax_index,0.45,0.54,0.47
27,2019-09-13,12468.53,12412.72,12494.25,12408.93,90000.99,0.47,dax_index,0.464,0.5,0.41
28,2019-09-12,12410.25,12399.4,12471.83,12311.81,111000.21,0.41,dax_index,0.552,0.457,0.74
29,2019-09-11,12359.07,12341.84,12394.28,12317.61,90000.58,0.74,dax_index,0.596,0.39,0.35
30,2019-09-10,12268.71,12210.88,12292.14,12179.88,107000.9,0.35,dax_index,0.454,0.557,0.28
31,2019-09-09,12226.1,12210.87,12245.11,12189.6,74000.25,0.28,dax_index,0.422,0.783,0.54
32,2019-09-06,12191.73,12146.0,12205.1,12131.29,80000.41,0.54,dax_index,0.484,0.483,0.85
33,2019-09-05,12126.78,12117.9,12151.31,12084.17,89000.83,0.85,dax_index,0.55,0.24,0.96
34,2019-09-04,12025.04,12043.96,12078.4,11999.83,63000.32,0.96,dax_index,0.308,0.203,-0.36
35,2019-09-03,11910.86,11921.94,11956.69,11869.28,66000.7,-0.36,dax_index,0.504,0.717,0.12
36,2019-09-02,11953.78,11939.99,11994.11,11929.91,46000.21,0.12,dax_index,0.56,0.593,0.85
37,2019-08-30,11939.28,11850.3,11989.44,11845.16,77000.69,0.85,dax_index,0.16,0.517,1.18
38,2019-08-29,11838.88,11686.84,11853.91,11661.73,72000.99,1.18,dax_index,-0.17,0.257,-0.25
39,2019-08-28,11701.02,11704.67,11717.79,11573.64,59000.96,-0.25,dax_index,0.14,-0.043,0.62
40,2019-08-27,11730.02,11638.51,11778.62,11616.09,82000.36,0.62,dax_index,-0.094,-0.407,0.4
41,2019-08-26,11658.04,11619.66,11696.78,11551.99,54000.75,0.4,dax_index,0.09,-0.107,-1.15
42,2019-08-23,11611.51,11805.48,11823.12,11611.51,90000.3,-1.15,dax_index,0.582,0.093,-0.47
