,Date,Last,Open,Max,Min,Vol_K,Var_%,Index,dowjones_last_5_avg,dowjones_last_3_avg,dowjones_last_1
0,2019-10-23,26833.95,26835.24,26896.89,26745.0,247000.68,0.17,dow_jones,-0.176,-0.297,-0.15
1,2019-10-22,26788.1,26850.43,26946.64,26782.61,265000.51,-0.15,dow_jones,0.032,-0.217,0.21
2,2019-10-21,26827.64,26852.67,26852.67,26747.62,241000.03,0.21,dow_jones,-0.032,-0.313,-0.95
3,2019-10-18,26770.2,27004.49,27018.25,26770.13,293000.61,-0.95,dow_jones,0.4,0.3,0.09
4,2019-10-17,27025.88,27032.38,27112.16,26970.29,225000.06,0.09,dow_jones,0.496,0.233,-0.08
5,2019-10-16,27001.98,26972.31,27058.34,26943.29,218000.24,-0.08,dow_jones,0.652,0.663,0.89
6,2019-10-15,27024.8,26811.2,27120.11,26811.2,247000.48,0.89,dow_jones,0.236,0.557,-0.11
7,2019-10-14,26787.36,26766.43,26874.33,26749.18,178000.62,-0.11,dow_jones,0.186,0.827,1.21
8,2019-10-11,26816.59,26694.2,27013.97,26694.2,283000.53,1.21,dow_jones,0.228,0.027,0.57
9,2019-10-10,26496.67,26317.35,26603.31,26314.51,217000.68,0.57,dow_jones,0.208,-0.283,0.7
10,2019-10-09,26346.01,26308.23,26424.31,26249.75,191000.75,0.7,dow_jones,-0.304,-0.043,-1.19
11,2019-10-08,26164.04,26276.59,26421.81,26139.8,251000.42,-1.19,dow_jones,-0.322,0.51,-0.36
12,2019-10-07,26478.02,26502.33,26655.84,26424.54,197000.51,-0.36,dow_jones,-0.178,0.01,1.42
13,2019-10-04,26573.72,26271.7,26590.74,26271.7,224000.49,1.42,dow_jones,-0.514,-0.89,0.47
14,2019-10-03,26201.04,26039.02,26205.2,25743.46,249000.02,0.47,dow_jones,-0.668,-0.927,-1.86
15,2019-10-02,26078.62,26425.86,26438.04,25974.12,312000.73,-1.86,dow_jones,-0.174,-0.393,-1.28
16,2019-10-01,26573.04,26962.54,27046.21,26562.22,272000.18,-1.28,dow_jones,-0.024,-0.067,0.36
17,2019-09-30,26916.83,26852.33,26998.86,26852.33,228000.48,0.36,dow_jones,-0.084,0.017,-0.26
18,2019-09-27,26820.25,26987.26,27012.54,26715.82,217000.78,-0.26,dow_jones,-0.15,-0.073,-0.3
19,2019-09-26,26891.12,27004.11,27015.07,26803.84,230000.8,-0.3,dow_jones,-0.128,0.047,0.61
20,2019-09-25,26970.71,26866.71,27016.56,26755.86,237000.22,0.61,dow_jones,-0.224,-0.353,-0.53
21,2019-09-24,26807.77,27034.07,27079.68,26704.96,307000.43,-0.53,dow_jones,-0.092,-0.24,0.06
22,2019-09-23,26949.99,26851.45,27011.07,26831.34,214000.83,0.06,dow_jones,-0.208,-0.217,-0.59
23,2019-09-20,26935.07,27102.18,27194.75,26926.68,512000.57,-0.59,dow_jones,-0.062,0.023,-0.19
24,2019-09-19,27094.79,27186.05,27272.17,27064.21,216000.44,-0.19,dow_jones,0.01,-0.087,0.13
25,2019-09-18,27147.08,27075.39,27161.93,26899.15,212000.86,0.13,dow_jones,0.154,-0.083,0.13
26,2019-09-17,27110.8,27010.12,27110.8,26984.14,223000.58,0.13,dow_jones,0.184,-0.07,-0.52
27,2019-09-16,27076.82,27146.06,27172.87,27032.56,220000.62,-0.52,dow_jones,0.316,0.387,0.14
28,2019-09-13,27219.52,27216.67,27277.55,27193.95,255000.26,0.14,dow_jones,0.34,0.433,0.17
29,2019-09-12,27182.45,27197.32,27306.73,27105.01,254000.65,0.17,dow_jones,0.588,0.423,0.85
30,2019-09-11,27137.04,26928.05,27137.04,26885.48,272000.59,0.85,dow_jones,0.6,0.227,0.28
31,2019-09-10,26909.43,26805.83,26909.43,26717.05,322000.34,0.28,dow_jones,0.328,0.603,0.14
32,2019-09-09,26835.51,26866.23,26900.83,26762.18,273000.12,0.14,dow_jones,0.332,0.86,0.26
33,2019-09-06,26797.46,26790.25,26860.87,26708.39,209000.7,0.26,dow_jones,0.53,0.413,1.41
34,2019-09-05,26728.15,26603.15,26836.3,26603.15,256000.67,1.41,dow_jones,0.448,-0.003,0.91
35,2019-09-04,26355.47,26301.99,26362.35,26244.44,202000.71,0.91,dow_jones,0.172,0.11,-1.08
36,2019-09-03,26118.02,26198.26,26198.26,25978.22,223000.21,-1.08,dow_jones,0.598,0.803,0.16
37,2019-08-30,26403.28,26476.39,26514.62,26295.59,219000.08,0.16,dow_jones,0.092,0.593,1.25
38,2019-08-29,26362.25,26249.09,26408.84,26185.71,212000.19,1.25,dow_jones,-0.12,0.527,1.0
39,2019-08-28,26036.1,25712.99,26041.57,25637.43,207000.07,1.0,dow_jones,-0.134,-0.597,-0.47
40,2019-08-27,25777.9,26014.46,26054.02,25721.85,263000.53,-0.47,dow_jones,-0.172,-0.377,1.05
41,2019-08-26,25898.83,25826.05,25941.25,25716.39,222000.78,1.05,dow_jones,-0.19,-0.417,-2.37
42,2019-08-23,25628.9,26134.21,26320.29,25507.18,364000.26,-2.37,dow_jones,0.524,0.153,0.19
43,2019-08-22,26252.24,26271.64,26388.78,26099.01,222000.81,0.19,dow_jones,0.564,0.41,0.93
44,2019-08-21,26202.73,26145.36,26268.32,26141.77,208000.79,0.93,dow_jones,-0.232,0.5,-0.66
45,2019-08-20,25962.44,26086.86,26160.12,25952.0,238000.1,-0.66,dow_jones,0.188,0.85,0.96
46,2019-08-19,26135.79,26020.06,26222.32,26020.06,252000.64,0.96,dow_jones,-0.294,-0.487,1.2
47,2019-08-16,25886.01,25678.17,25929.65,25678.17,276000.21,1.2,dow_jones,-0.602,-0.407,0.39
48,2019-08-15,25579.39,25514.25,25639.69,25339.6,335000.8,0.39,dow_jones,-0.394,-1.02,-3.05
49,2019-08-14,25479.42,26035.08,26035.08,25471.59,357000.0,-3.05,dow_jones,0.198,-0.117,1.44
50,2019-08-13,26279.91,25888.88,26426.97,25833.25,309000.61,1.44,dow_jones,0.152,-0.12,-1.45
51,2019-08-12,25907.37,26169.91,26178.95,25824.94,200000.58,-1.45,dow_jones,-0.138,0.333,-0.34
52,2019-08-09,26287.44,26337.09,26413.36,26097.64,241000.93,-0.34,dow_jones,-0.144,0.85,1.43
53,2019-08-08,26378.19,26086.52,26383.61,26038.1,283000.59,1.43,dow_jones,-0.64,-0.593,-0.09
54,2019-08-07,26007.07,25814.22,26073.21,25440.39,350000.09,-0.09,dow_jones,-0.868,-0.687,1.21
55,2019-08-06,26029.52,25810.62,26038.68,25710.87,322000.97,1.21,dow_jones,-1.128,-1.44,-2.9
56,2019-08-05,25717.74,26259.23,26259.23,25523.38,423000.37,-2.9,dow_jones,-0.526,-0.883,-0.37
57,2019-08-02,26485.01,26528.66,26570.02,26249.22,335000.72,-0.37,dow_jones,-0.414,-0.79,-1.05
58,2019-08-01,26583.42,26879.86,27175.59,26548.71,390000.49,-1.05,dow_jones,-0.298,-0.403,-1.23
59,2019-07-31,26864.27,27244.67,27281.65,26719.6,389000.0,-1.23,dow_jones,-0.11,0.07,-0.09
60,2019-07-30,27198.02,27145.39,27224.36,27069.86,293000.25,-0.09,dow_jones,0.038,-0.057,0.11
