"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"23.10.2019","35,555","35,730","35,985","35,380","-","-0,80%"
"22.10.2019","35,840","35,700","35,950","35,460","516,94K","0,25%"
"21.10.2019","35,750","35,780","36,190","35,670","1,30M","0,03%"
"18.10.2019","35,740","35,950","36,060","35,650","1,17M","-0,67%"
"17.10.2019","35,980","35,790","36,500","35,790","679,60K","0,22%"
"16.10.2019","35,900","36,290","36,350","35,780","1,23M","-1,07%"
"15.10.2019","36,290","36,440","36,660","36,180","699,00K","0,42%"
"14.10.2019","36,140","36,150","36,280","35,730","684,11K","-0,14%"
"11.10.2019","36,190","35,260","36,190","35,260","766,16K","3,11%"
"10.10.2019","35,100","34,950","35,280","34,790","670,70K","0,92%"
"09.10.2019","34,780","34,870","35,150","34,590","518,11K","-0,03%"
"08.10.2019","34,790","35,520","35,520","34,560","425,14K","-1,50%"
"07.10.2019","35,320","35,170","35,410","34,990","649,29K","0,46%"
"04.10.2019","35,160","35,060","35,260","34,750","819,25K","0,98%"
"03.10.2019","34,820","35,020","35,030","34,450","703,58K","0,43%"
"02.10.2019","34,670","36,070","36,070","34,670","1,18M","-4,20%"
"01.10.2019","36,190","36,470","36,820","36,120","608,37K","-1,28%"
"30.09.2019","36,660","35,750","36,680","35,750","789,50K","2,57%"
"27.09.2019","35,740","35,600","36,150","35,480","493,32K","0,90%"
"26.09.2019","35,420","34,590","35,740","34,590","878,46K","1,90%"
"25.09.2019","34,760","35,000","35,060","34,230","961,71K","-1,00%"
"24.09.2019","35,110","35,500","35,630","35,110","807,72K","-0,62%"
"23.09.2019","35,330","36,000","36,100","35,210","896,29K","-2,13%"
"20.09.2019","36,100","35,990","36,260","35,890","1,71M","0,19%"
"19.09.2019","36,030","35,920","36,260","35,690","992,03K","0,17%"
"18.09.2019","35,970","36,000","36,530","35,950","992,28K","-0,36%"
"17.09.2019","36,100","35,730","36,100","35,450","1,01M","0,64%"
"16.09.2019","35,870","35,860","36,010","35,410","549,68K","-0,58%"
"13.09.2019","36,080","36,510","36,880","36,080","675,13K","-1,12%"
"12.09.2019","36,490","37,000","37,170","36,370","673,48K","-0,84%"
"11.09.2019","36,800","36,450","36,960","36,270","1,43M","1,27%"
"10.09.2019","36,340","35,310","36,430","35,310","783,21K","2,92%"
"09.09.2019","35,310","34,960","35,430","34,960","469,38K","1,17%"
"06.09.2019","34,900","34,860","35,120","34,750","483,74K","0,11%"
"05.09.2019","34,860","35,050","35,370","34,770","673,97K","0,26%"
"04.09.2019","34,770","34,920","35,180","34,700","606,03K","0,49%"
"03.09.2019","34,600","34,540","34,920","34,370","518,15K","0,12%"
"02.09.2019","34,560","34,360","34,900","34,350","372,19K","0,55%"
"30.08.2019","34,370","34,410","34,800","34,280","625,19K","-0,09%"
"29.08.2019","34,400","33,650","34,450","33,610","679,16K","2,38%"
"28.08.2019","33,600","33,500","33,690","33,320","541,72K","-0,30%"
"27.08.2019","33,700","33,300","34,070","33,220","1,04M","0,78%"
"26.08.2019","33,440","32,770","33,490","32,610","551,92K","1,03%"
"23.08.2019","33,100","33,670","33,910","33,100","596,47K","-0,78%"
"22.08.2019","33,360","33,440","33,950","33,320","702,74K","-0,80%"
"21.08.2019","33,630","33,170","33,770","33,170","417,09K","1,72%"
