"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"23.10.2019","13,696","13,230","13,858","13,120","-","2,36%"
"22.10.2019","13,380","13,610","13,820","13,220","1,07M","-1,11%"
"21.10.2019","13,530","13,120","13,800","13,060","1,36M","2,66%"
"18.10.2019","13,180","12,960","13,340","12,790","929,58K","0,76%"
"17.10.2019","13,080","12,880","13,470","12,820","1,28M","-0,08%"
"16.10.2019","13,090","13,100","13,260","12,820","1,09M","-0,68%"
"15.10.2019","13,180","13,200","13,320","12,970","1,13M","0,61%"
"14.10.2019","13,100","13,450","13,460","12,630","1,97M","-2,53%"
"11.10.2019","13,440","12,800","13,490","12,770","1,92M","5,83%"
"10.10.2019","12,700","12,040","12,710","12,020","1,30M","6,37%"
"09.10.2019","11,940","11,800","12,150","11,730","1,09M","1,02%"
"08.10.2019","11,820","12,250","12,330","11,700","1,11M","-2,80%"
"07.10.2019","12,160","11,770","12,210","11,570","990,80K","3,23%"
"04.10.2019","11,780","11,730","11,850","11,530","1,03M","-0,17%"
"03.10.2019","11,800","12,040","12,040","11,560","1,22M","-1,58%"
"02.10.2019","11,990","12,600","12,670","11,990","1,64M","-5,89%"
"01.10.2019","12,740","13,100","13,230","12,670","834,02K","-1,32%"
"30.09.2019","12,910","13,030","13,120","12,780","641,34K","-0,77%"
"27.09.2019","13,010","12,760","13,070","12,740","765,54K","2,85%"
"26.09.2019","12,650","13,120","13,270","12,650","990,86K","-3,58%"
"25.09.2019","13,120","12,750","13,120","12,430","1,30M","2,50%"
"24.09.2019","12,800","13,100","13,180","12,770","947,29K","-1,77%"
"23.09.2019","13,030","13,660","13,660","12,920","1,53M","-5,72%"
"20.09.2019","13,820","14,000","14,000","13,670","684,64K","-1,57%"
"19.09.2019","14,040","14,450","14,500","14,040","1,44M","-4,81%"
"18.09.2019","14,750","14,800","15,020","14,580","574,74K","0,07%"
"17.09.2019","14,740","15,170","15,190","14,520","1,15M","-3,34%"
"16.09.2019","15,250","15,490","15,490","15,100","737,56K","-2,06%"
"13.09.2019","15,570","15,060","15,640","15,060","876,57K","3,46%"
"12.09.2019","15,050","15,270","15,420","14,580","1,15M","-0,33%"
"11.09.2019","15,100","15,000","15,260","14,890","945,43K","2,37%"
"10.09.2019","14,750","14,330","14,790","14,240","859,33K","3,22%"
"09.09.2019","14,290","13,910","14,300","13,760","475,71K","3,03%"
"06.09.2019","13,870","13,960","14,020","13,640","471,76K","-0,14%"
"05.09.2019","13,890","13,680","14,050","13,630","1,01M","3,19%"
"04.09.2019","13,460","13,000","13,460","12,930","747,17K","6,07%"
"03.09.2019","12,690","12,900","12,950","12,620","530,41K","-1,48%"
"02.09.2019","12,880","13,190","13,280","12,780","533,80K","-1,68%"
"30.08.2019","13,100","12,890","13,200","12,820","685,04K","1,63%"
"29.08.2019","12,890","12,330","12,950","12,200","933,98K","3,95%"
"28.08.2019","12,400","12,410","12,440","12,090","508,33K","0,00%"
"27.08.2019","12,400","12,410","12,590","12,270","468,00K","-0,08%"
"26.08.2019","12,410","12,050","12,560","12,030","650,68K","1,72%"
"23.08.2019","12,200","12,580","12,740","12,110","747,30K","-2,40%"
"22.08.2019","12,500","12,110","12,680","11,890","777,83K","2,97%"
"21.08.2019","12,140","12,060","12,320","12,060","359,90K","1,59%"
"20.08.2019","11,950","12,150","12,180","11,870","464,23K","-2,05%"
"19.08.2019","12,200","12,020","12,330","11,930","629,55K","3,48%"
"16.08.2019","11,790","11,650","11,790","11,480","818,62K","2,88%"
