"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"23.10.2019","4,872","4,840","4,900","4,825","-","-0,31%"
"22.10.2019","4,887","4,893","4,919","4,818","124,36M","-0,10%"
"21.10.2019","4,892","4,800","4,909","4,788","117,58M","2,36%"
"18.10.2019","4,779","4,705","4,790","4,705","79,46M","1,10%"
"17.10.2019","4,727","4,779","4,876","4,727","113,58M","-1,68%"
"16.10.2019","4,808","4,731","4,837","4,654","22,85M","1,24%"
"15.10.2019","4,749","4,689","4,753","4,632","32,10M","2,46%"
"14.10.2019","4,635","4,670","4,682","4,587","35,22M","-1,72%"
"11.10.2019","4,716","4,542","4,719","4,542","36,91M","1,90%"
"10.10.2019","4,628","4,516","4,628","4,510","20,48M","2,71%"
"09.10.2019","4,506","4,520","4,555","4,481","65,27M","0,02%"
"08.10.2019","4,505","4,607","4,620","4,462","68,24M","-1,79%"
"07.10.2019","4,587","4,543","4,614","4,487","83,64M","1,15%"
"04.10.2019","4,535","4,546","4,560","4,484","100,36M","0,35%"
"03.10.2019","4,519","4,555","4,555","4,463","168,56M","0,00%"
"02.10.2019","4,519","4,686","4,706","4,519","24,89M","-3,85%"
"01.10.2019","4,700","4,820","4,828","4,700","52,89M","-1,67%"
"30.09.2019","4,780","4,780","4,806","4,739","29,46M","0,70%"
"27.09.2019","4,747","4,710","4,769","4,681","12,39M","1,13%"
"26.09.2019","4,694","4,652","4,711","4,635","43,79M","0,38%"
"25.09.2019","4,676","4,638","4,683","4,561","34,86M","0,13%"
"24.09.2019","4,670","4,703","4,726","4,654","16,31M","-0,34%"
"23.09.2019","4,686","4,841","4,850","4,674","26,39M","-4,37%"
"20.09.2019","4,900","4,770","4,900","4,752","67,54M","2,40%"
"19.09.2019","4,785","4,722","4,785","4,694","15,00M","1,98%"
"18.09.2019","4,692","4,720","4,743","4,646","16,88M","-0,11%"
"17.09.2019","4,697","4,771","4,782","4,669","18,51M","-2,04%"
"16.09.2019","4,795","4,825","4,846","4,758","16,08M","-1,44%"
"13.09.2019","4,865","4,770","4,872","4,758","28,15M","2,88%"
"12.09.2019","4,729","4,678","4,775","4,554","30,15M","1,13%"
"11.09.2019","4,676","4,740","4,772","4,653","21,11M","-0,43%"
"10.09.2019","4,696","4,600","4,702","4,542","26,24M","2,04%"
"09.09.2019","4,602","4,508","4,602","4,501","16,02M","2,49%"
"06.09.2019","4,490","4,483","4,560","4,460","15,90M","-0,13%"
"05.09.2019","4,496","4,359","4,497","4,350","24,77M","4,24%"
"04.09.2019","4,313","4,338","4,363","4,303","18,47M","0,63%"
"03.09.2019","4,286","4,268","4,319","4,242","15,50M","0,21%"
"02.09.2019","4,277","4,296","4,330","4,277","15,95M","-0,74%"
"30.08.2019","4,309","4,332","4,359","4,292","19,95M","-0,30%"
"29.08.2019","4,322","4,266","4,368","4,263","14,91M","1,12%"
"28.08.2019","4,274","4,290","4,312","4,244","26,01M","-0,37%"
"27.08.2019","4,290","4,295","4,333","4,261","17,02M","0,33%"
"26.08.2019","4,276","4,213","4,308","4,213","10,60M","0,85%"
"23.08.2019","4,240","4,354","4,373","4,240","24,09M","-1,97%"
"22.08.2019","4,325","4,229","4,371","4,229","22,63M","2,22%"
"21.08.2019","4,231","4,204","4,261","4,204","10,04M","0,57%"
"20.08.2019","4,207","4,250","4,258","4,190","19,63M","-1,45%"
"19.08.2019","4,269","4,396","4,425","4,269","18,95M","-2,20%"
"16.08.2019","4,365","4,234","4,375","4,208","46,08M","3,09%"
"15.08.2019","4,234","4,281","4,298","4,187","21,34M","-0,24%"
"14.08.2019","4,244","4,322","4,325","4,215","36,89M","-2,50%"
"13.08.2019","4,353","4,263","4,395","4,230","27,25M","1,80%"
"12.08.2019","4,276","4,444","4,451","4,276","21,57M","-3,61%"
"09.08.2019","4,436","4,457","4,484","4,420","23,27M","-1,81%"
"08.08.2019","4,518","4,470","4,538","4,423","17,93M","2,52%"
"07.08.2019","4,407","4,447","4,485","4,368","22,53M","-0,16%"
"06.08.2019","4,414","4,478","4,487","4,407","18,47M","-1,03%"
"05.08.2019","4,460","4,474","4,502","4,435","20,46M","-1,37%"
"02.08.2019","4,522","4,530","4,588","4,492","27,65M","-2,46%"
"01.08.2019","4,636","4,601","4,723","4,590","21,00M","0,80%"
"31.07.2019","4,599","4,680","4,725","4,570","25,25M","-1,25%"
"30.07.2019","4,657","4,787","4,793","4,622","31,45M","-3,02%"
"29.07.2019","4,802","4,821","4,848","4,777","11,69M","-0,64%"
"26.07.2019","4,833","4,867","4,887","4,816","15,29M","-1,25%"
"25.07.2019","4,894","4,878","5,046","4,860","28,41M","0,33%"
"24.07.2019","4,878","4,851","4,905","4,830","13,45M","-0,04%"
"23.07.2019","4,880","4,787","4,902","4,771","18,29M","2,85%"
"22.07.2019","4,745","4,777","4,792","4,711","16,41M","-0,73%"
"19.07.2019","4,780","4,861","4,901","4,758","22,29M","-1,57%"
"18.07.2019","4,856","4,879","4,894","4,812","35,82M","-1,00%"
"17.07.2019","4,905","4,952","4,965","4,900","22,41M","-1,33%"
"16.07.2019","4,971","4,947","5,008","4,913","30,73M","0,91%"
"15.07.2019","4,926","4,915","4,941","4,873","14,83M","0,59%"
"12.07.2019","4,897","4,952","4,985","4,897","22,93M","-0,67%"
"11.07.2019","4,930","4,963","4,973","4,883","25,89M","-0,28%"
"10.07.2019","4,944","4,930","5,004","4,888","28,25M","-0,14%"
"09.07.2019","4,951","4,965","4,973","4,910","42,70M","-0,68%"
"08.07.2019","4,985","5,050","5,082","4,961","15,44M","-1,83%"
"05.07.2019","5,078","5,083","5,135","5,034","15,02M","-0,18%"
"04.07.2019","5,087","5,009","5,098","5,009","21,18M","1,19%"
"03.07.2019","5,027","4,903","5,027","4,886","14,67M","1,97%"
"02.07.2019","4,930","4,976","4,992","4,888","16,25M","-0,86%"
"01.07.2019","4,973","4,981","5,026","4,973","18,81M","1,14%"
"28.06.2019","4,917","4,910","4,934","4,888","13,81M","0,29%"
"27.06.2019","4,903","4,912","4,972","4,865","15,37M","0,18%"
"26.06.2019","4,894","4,861","4,930","4,834","19,97M","0,33%"
"25.06.2019","4,878","4,887","4,893","4,831","35,69M","-0,79%"
"24.06.2019","4,917","4,921","4,974","4,883","11,18M","-0,02%"
"21.06.2019","4,918","4,960","5,014","4,891","120,35M","-0,43%"
"20.06.2019","4,939","5,010","5,029","4,939","27,20M","-1,42%"
"19.06.2019","5,010","4,921","5,010","4,892","66,05M","2,20%"
"18.06.2019","4,902","4,861","4,922","4,801","24,14M","0,72%"
"17.06.2019","4,867","4,918","4,939","4,867","18,14M","-0,23%"
"14.06.2019","4,878","4,905","4,915","4,862","13,66M","-0,75%"
"13.06.2019","4,915","4,920","4,968","4,894","14,04M","-0,49%"
"12.06.2019","4,939","4,950","4,960","4,878","20,46M","-1,22%"
"11.06.2019","5,000","5,041","5,062","5,000","15,17M","-1,34%"
"10.06.2019","5,068","5,015","5,080","4,989","19,20M","2,95%"
"07.06.2019","4,923","4,949","4,974","4,880","28,90M","-0,42%"
"06.06.2019","4,944","4,960","5,079","4,896","30,60M","-0,72%"
"05.06.2019","4,980","5,000","5,017","4,905","51,78M","-0,60%"
"04.06.2019","5,010","4,843","5,016","4,840","28,19M","3,04%"
"03.06.2019","4,862","4,817","4,865","4,778","22,42M","-0,10%"
"31.05.2019","4,867","4,923","4,949","4,843","50,09M","-4,10%"
"30.05.2019","5,075","5,049","5,093","5,033","12,32M","1,56%"
"29.05.2019","4,997","4,996","5,028","4,948","21,11M","-0,99%"
"28.05.2019","5,047","5,041","5,047","4,956","22,88M","0,22%"
"27.05.2019","5,036","5,083","5,097","5,011","6,30M","0,24%"
"24.05.2019","5,024","4,992","5,050","4,969","24,66M","1,03%"
"23.05.2019","4,973","4,990","5,026","4,955","40,79M","-1,05%"
"22.05.2019","5,026","5,115","5,140","5,000","22,57M","-1,78%"
"21.05.2019","5,117","5,108","5,148","5,071","14,24M","0,85%"
"20.05.2019","5,074","5,130","5,207","5,053","20,24M","-1,51%"
"17.05.2019","5,152","5,150","5,179","5,090","30,18M","-0,77%"
"16.05.2019","5,192","5,076","5,192","5,045","19,09M","1,98%"
"15.05.2019","5,091","5,064","5,117","5,008","63,95M","0,16%"
"14.05.2019","5,083","5,023","5,083","5,001","18,61M","2,03%"
"13.05.2019","4,982","5,084","5,093","4,966","22,48M","-1,89%"
"10.05.2019","5,078","5,138","5,158","5,040","14,30M","-0,31%"
"09.05.2019","5,094","5,128","5,173","5,065","29,93M","-2,04%"
"08.05.2019","5,200","5,155","5,200","5,105","20,52M","1,09%"
"07.05.2019","5,144","5,256","5,265","5,141","27,88M","-2,56%"
"06.05.2019","5,279","5,230","5,298","5,206","15,40M","-1,07%"
"03.05.2019","5,336","5,374","5,407","5,286","13,38M","-0,24%"
"02.05.2019","5,349","5,410","5,469","5,342","35,14M","-1,27%"
"30.04.2019","5,418","5,385","5,418","5,303","26,50M","0,06%"
"29.04.2019","5,415","5,396","5,434","5,354","19,72M","0,71%"
"26.04.2019","5,377","5,375","5,391","5,303","22,52M","0,24%"
"25.04.2019","5,364","5,415","5,422","5,324","39,55M","-0,83%"
"24.04.2019","5,409","5,450","5,504","5,362","21,10M","-1,22%"
"23.04.2019","5,476","5,577","5,589","5,446","78,35M","-2,11%"
"18.04.2019","5,594","5,620","5,633","5,505","77,38M","-0,09%"
"17.04.2019","5,599","5,546","5,679","5,525","65,91M","1,32%"
"16.04.2019","5,526","5,494","5,546","5,453","72,09M","0,82%"
"15.04.2019","5,481","5,510","5,568","5,425","156,30M","-0,56%"
"12.04.2019","5,512","5,368","5,522","5,325","40,44M","2,64%"
"11.04.2019","5,370","5,318","5,409","5,270","134,61M","1,44%"
"10.04.2019","5,294","5,363","5,382","5,268","16,39M","-0,97%"
"09.04.2019","5,346","5,319","5,415","5,316","36,34M","0,24%"
"08.04.2019","5,333","5,340","5,372","5,308","35,33M","-2,95%"
"05.04.2019","5,495","5,501","5,535","5,481","29,28M","-0,05%"
"04.04.2019","5,498","5,406","5,507","5,382","22,12M","1,57%"
"03.04.2019","5,413","5,407","5,446","5,386","39,35M","1,60%"
"02.04.2019","5,328","5,310","5,381","5,282","61,15M","0,41%"
"01.04.2019","5,306","5,197","5,337","5,156","294,98M","4,18%"
"29.03.2019","5,093","5,096","5,123","5,051","22,81M","0,91%"
"28.03.2019","5,047","5,070","5,094","5,005","29,68M","-1,35%"
"27.03.2019","5,116","5,165","5,284","5,093","32,48M","-0,52%"
"26.03.2019","5,143","5,213","5,228","5,127","69,25M","-1,10%"
"25.03.2019","5,200","5,163","5,264","5,119","51,30M","0,23%"
"22.03.2019","5,188","5,406","5,411","5,163","35,08M","-3,43%"
"21.03.2019","5,372","5,388","5,408","5,341","19,35M","-0,87%"
"20.03.2019","5,419","5,470","5,490","5,418","16,37M","-1,20%"
"19.03.2019","5,485","5,439","5,550","5,412","25,63M","1,18%"
"18.03.2019","5,421","5,397","5,472","5,390","14,84M","0,89%"
"15.03.2019","5,373","5,299","5,382","5,270","44,04M","1,72%"
"14.03.2019","5,282","5,275","5,342","5,264","14,89M","0,13%"
"13.03.2019","5,275","5,191","5,299","5,180","19,22M","1,81%"
"12.03.2019","5,181","5,233","5,246","5,150","14,31M","-0,38%"
"11.03.2019","5,201","5,172","5,225","5,130","12,87M","1,27%"
"08.03.2019","5,136","5,165","5,190","5,093","18,74M","-1,59%"
"07.03.2019","5,219","5,388","5,437","5,172","26,44M","-2,85%"
"06.03.2019","5,372","5,300","5,426","5,290","15,18M","1,22%"
"05.03.2019","5,307","5,338","5,390","5,245","22,12M","-0,54%"
"04.03.2019","5,336","5,422","5,450","5,321","15,31M","-0,80%"
"01.03.2019","5,379","5,496","5,510","5,379","20,43M","-1,74%"
"28.02.2019","5,474","5,344","5,492","5,319","23,93M","1,80%"
"27.02.2019","5,377","5,232","5,385","5,226","23,09M","2,44%"
"26.02.2019","5,249","5,228","5,255","5,177","11,31M","-0,11%"
"25.02.2019","5,255","5,265","5,289","5,230","10,92M","0,54%"
"22.02.2019","5,227","5,210","5,280","5,204","13,46M","0,06%"
"21.02.2019","5,224","5,245","5,256","5,190","13,55M","-0,25%"
"20.02.2019","5,237","5,199","5,251","5,178","13,59M","0,93%"
"19.02.2019","5,189","5,200","5,248","5,128","13,58M","-0,73%"
"18.02.2019","5,227","5,208","5,259","5,203","10,81M","0,64%"
"15.02.2019","5,194","5,025","5,218","4,998","31,05M","3,30%"
"14.02.2019","5,028","5,122","5,125","4,990","19,69M","-1,43%"
"13.02.2019","5,101","5,189","5,216","5,101","18,85M","-1,92%"
"12.02.2019","5,201","5,165","5,209","5,100","19,01M","1,68%"
"11.02.2019","5,115","5,102","5,174","5,089","12,29M","1,13%"
"08.02.2019","5,058","5,070","5,116","5,017","16,81M","-0,37%"
"07.02.2019","5,077","5,210","5,235","5,068","19,90M","-3,13%"
"06.02.2019","5,241","5,171","5,245","5,164","17,10M","0,34%"
"05.02.2019","5,223","5,183","5,230","5,156","22,47M","1,01%"
"04.02.2019","5,171","5,178","5,222","5,110","15,84M","-0,50%"
"01.02.2019","5,197","5,205","5,261","5,062","23,99M","0,52%"
"31.01.2019","5,170","5,284","5,293","5,087","24,38M","-1,67%"
"30.01.2019","5,258","5,270","5,299","5,235","13,68M","-0,04%"
"29.01.2019","5,260","5,256","5,281","5,211","13,28M","0,29%"
"28.01.2019","5,245","5,275","5,331","5,234","14,76M","-1,11%"
