"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"23.10.2019","3,953","3,940","3,980","3,925","-","-0,30%"
"22.10.2019","3,965","3,974","3,998","3,934","250,81M","-0,03%"
"21.10.2019","3,966","3,909","3,980","3,901","332,69M","2,48%"
"18.10.2019","3,870","3,835","3,897","3,830","143,23M","0,31%"
"17.10.2019","3,858","3,896","3,985","3,858","241,93M","-1,61%"
"16.10.2019","3,921","3,892","3,946","3,832","65,73M","0,64%"
"15.10.2019","3,896","3,800","3,900","3,775","104,47M","3,75%"
"14.10.2019","3,755","3,763","3,773","3,715","34,12M","-0,98%"
"11.10.2019","3,792","3,657","3,800","3,647","63,25M","4,29%"
"10.10.2019","3,636","3,548","3,636","3,548","41,62M","2,62%"
"09.10.2019","3,543","3,525","3,568","3,510","22,32M","0,62%"
"08.10.2019","3,521","3,575","3,584","3,465","38,07M","-1,04%"
"07.10.2019","3,558","3,517","3,564","3,488","24,19M","0,88%"
"04.10.2019","3,527","3,530","3,535","3,470","37,57M","0,51%"
"03.10.2019","3,509","3,543","3,570","3,480","51,83M","-0,23%"
"02.10.2019","3,517","3,659","3,690","3,517","50,59M","-4,30%"
"01.10.2019","3,675","3,750","3,775","3,675","62,68M","-1,63%"
"30.09.2019","3,736","3,713","3,755","3,707","52,01M","0,97%"
"27.09.2019","3,700","3,650","3,715","3,627","27,64M","1,70%"
"26.09.2019","3,638","3,618","3,656","3,604","45,43M","-0,14%"
"25.09.2019","3,643","3,619","3,645","3,537","71,17M","0,39%"
"24.09.2019","3,629","3,673","3,708","3,626","38,22M","-0,74%"
"23.09.2019","3,656","3,730","3,752","3,634","34,21M","-2,77%"
"20.09.2019","3,760","3,711","3,786","3,692","130,75M","0,97%"
"19.09.2019","3,724","3,636","3,724","3,620","35,70M","2,87%"
"18.09.2019","3,620","3,679","3,690","3,616","108,33M","-0,98%"
"17.09.2019","3,656","3,751","3,762","3,656","122,71M","-2,92%"
"16.09.2019","3,766","3,788","3,799","3,736","33,96M","-1,44%"
"13.09.2019","3,821","3,753","3,849","3,742","53,74M","2,49%"
"12.09.2019","3,728","3,712","3,820","3,602","86,41M","0,46%"
"11.09.2019","3,711","3,763","3,789","3,671","56,73M","-0,24%"
"10.09.2019","3,720","3,628","3,732","3,591","66,08M","2,88%"
"09.09.2019","3,616","3,544","3,616","3,537","56,95M","2,41%"
"06.09.2019","3,531","3,534","3,578","3,506","40,91M","0,11%"
"05.09.2019","3,527","3,440","3,529","3,419","71,39M","3,52%"
"04.09.2019","3,407","3,435","3,455","3,407","70,38M","0,26%"
"03.09.2019","3,398","3,425","3,442","3,385","43,47M","-1,05%"
"02.09.2019","3,434","3,449","3,455","3,414","43,23M","-0,17%"
"30.08.2019","3,440","3,472","3,500","3,432","47,16M","-0,52%"
"29.08.2019","3,458","3,450","3,513","3,436","52,90M","-0,35%"
"28.08.2019","3,470","3,467","3,477","3,442","37,33M","0,12%"
"27.08.2019","3,466","3,500","3,534","3,462","55,64M","-0,83%"
"26.08.2019","3,495","3,460","3,512","3,458","23,11M","0,81%"
"23.08.2019","3,467","3,551","3,566","3,467","57,61M","-1,70%"
"22.08.2019","3,527","3,475","3,576","3,466","38,52M","1,21%"
"21.08.2019","3,485","3,490","3,542","3,480","27,97M","-0,14%"
"20.08.2019","3,490","3,535","3,543","3,486","35,90M","-1,66%"
"19.08.2019","3,549","3,612","3,650","3,543","40,86M","-1,03%"
"16.08.2019","3,586","3,486","3,592","3,451","111,43M","3,22%"
"15.08.2019","3,474","3,478","3,519","3,421","54,05M","0,12%"
"14.08.2019","3,470","3,554","3,554","3,462","87,14M","-3,37%"
"13.08.2019","3,591","3,521","3,632","3,483","47,31M","1,15%"
"12.08.2019","3,550","3,647","3,650","3,546","34,70M","-1,80%"
"09.08.2019","3,615","3,648","3,667","3,610","81,29M","-2,17%"
"08.08.2019","3,695","3,666","3,717","3,617","41,76M","2,27%"
"07.08.2019","3,613","3,673","3,679","3,573","45,35M","-0,30%"
"06.08.2019","3,624","3,708","3,712","3,624","48,59M","-1,97%"
"05.08.2019","3,697","3,720","3,753","3,676","47,80M","-1,54%"
"02.08.2019","3,755","3,810","3,830","3,737","65,56M","-3,12%"
"01.08.2019","3,876","3,869","3,920","3,844","33,53M","0,34%"
"31.07.2019","3,863","3,900","3,910","3,860","64,87M","-0,57%"
"30.07.2019","3,885","4,024","4,027","3,880","60,90M","-3,72%"
"29.07.2019","4,035","4,051","4,064","4,027","26,59M","-0,64%"
"26.07.2019","4,061","4,087","4,099","4,058","30,32M","-0,78%"
"25.07.2019","4,093","4,144","4,258","4,061","53,20M","-1,06%"
"24.07.2019","4,137","4,120","4,150","4,093","46,87M","0,07%"
"23.07.2019","4,134","4,062","4,147","4,050","49,75M","3,63%"
"22.07.2019","3,989","4,003","4,016","3,966","45,63M","-0,35%"
"19.07.2019","4,003","4,055","4,077","3,986","46,29M","-1,04%"
"18.07.2019","4,045","4,061","4,084","4,005","54,07M","-1,82%"
"17.07.2019","4,120","4,191","4,200","4,110","29,26M","-2,39%"
"16.07.2019","4,221","4,167","4,226","4,157","28,97M","1,34%"
"15.07.2019","4,165","4,197","4,217","4,160","35,16M","-0,55%"
"12.07.2019","4,188","4,219","4,250","4,186","43,44M","-0,40%"
"11.07.2019","4,205","4,200","4,221","4,171","48,81M","0,84%"
"10.07.2019","4,170","4,138","4,215","4,125","39,91M","0,65%"
"09.07.2019","4,143","4,168","4,176","4,111","95,63M","-0,98%"
"08.07.2019","4,184","4,208","4,256","4,157","31,32M","-0,88%"
"05.07.2019","4,221","4,210","4,260","4,181","35,52M","0,07%"
"04.07.2019","4,218","4,160","4,230","4,160","45,55M","0,91%"
"03.07.2019","4,180","4,090","4,180","4,069","32,05M","1,75%"
