"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"23.10.2019","1,841","1,840","1,855","1,817","-","0,00%"
"22.10.2019","1,841","1,877","1,885","1,830","5,59M","-1,60%"
"21.10.2019","1,871","1,816","1,891","1,816","7,88M","3,48%"
"18.10.2019","1,808","1,817","1,839","1,800","6,05M","-0,93%"
"17.10.2019","1,825","1,815","1,862","1,788","9,75M","0,05%"
"16.10.2019","1,824","1,792","1,857","1,763","10,98M","2,13%"
"15.10.2019","1,786","1,760","1,801","1,742","6,95M","2,35%"
"14.10.2019","1,745","1,766","1,766","1,722","5,88M","-1,13%"
"11.10.2019","1,765","1,711","1,765","1,711","7,78M","3,46%"
"10.10.2019","1,706","1,647","1,714","1,646","8,37M","3,39%"
"09.10.2019","1,650","1,636","1,667","1,627","3,52M","0,92%"
"08.10.2019","1,635","1,671","1,687","1,607","8,79M","-1,92%"
"07.10.2019","1,667","1,671","1,671","1,622","8,09M","-0,12%"
"04.10.2019","1,669","1,687","1,687","1,645","6,31M","-0,42%"
"03.10.2019","1,676","1,683","1,685","1,602","11,44M","-0,71%"
"02.10.2019","1,688","1,708","1,747","1,688","13,17M","-1,80%"
"01.10.2019","1,719","1,742","1,794","1,714","11,92M","-0,75%"
"30.09.2019","1,732","1,721","1,772","1,720","7,72M","0,81%"
"27.09.2019","1,718","1,685","1,724","1,671","5,57M","2,02%"
"26.09.2019","1,684","1,693","1,696","1,643","9,03M","-0,94%"
"25.09.2019","1,700","1,668","1,702","1,629","6,26M","0,89%"
"24.09.2019","1,685","1,687","1,707","1,668","5,96M","0,00%"
"23.09.2019","1,685","1,726","1,742","1,663","9,67M","-2,60%"
"20.09.2019","1,730","1,776","1,784","1,722","13,30M","-3,08%"
"19.09.2019","1,785","1,660","1,798","1,647","12,81M","7,85%"
"18.09.2019","1,655","1,641","1,669","1,618","8,43M","0,36%"
"17.09.2019","1,649","1,730","1,730","1,639","11,71M","-4,68%"
"16.09.2019","1,730","1,742","1,758","1,703","8,93M","-1,93%"
