"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"23.10.2019","11,430","11,400","11,435","11,290","-","0,09%"
"22.10.2019","11,420","11,400","11,520","11,340","740,41K","-0,09%"
"21.10.2019","11,430","11,550","11,550","11,370","1,50M","-1,04%"
"18.10.2019","11,550","11,520","11,610","11,480","1,91M","0,43%"
"17.10.2019","11,500","11,370","11,590","11,350","1,18M","1,14%"
"16.10.2019","11,370","11,450","11,490","11,210","1,06M","-1,13%"
"15.10.2019","11,500","11,430","11,540","11,430","607,50K","0,09%"
"14.10.2019","11,490","11,340","11,490","11,300","680,89K","1,23%"
"11.10.2019","11,350","11,450","11,470","11,290","2,00M","-0,53%"
"10.10.2019","11,410","11,360","11,420","11,260","458,47K","-0,09%"
"09.10.2019","11,420","11,330","11,460","11,330","878,96K","1,06%"
"08.10.2019","11,300","11,360","11,440","11,290","1,17M","-0,53%"
"07.10.2019","11,360","11,330","11,360","11,250","620,40K","0,71%"
"04.10.2019","11,280","11,340","11,340","11,190","783,69K","0,36%"
"03.10.2019","11,240","11,120","11,400","11,120","879,67K","1,08%"
"02.10.2019","11,120","11,170","11,210","11,060","1,08M","-0,63%"
"01.10.2019","11,190","11,060","11,190","11,060","1,26M","1,08%"
"30.09.2019","11,070","11,040","11,160","10,990","1,04M","0,27%"
"27.09.2019","11,040","11,100","11,100","11,000","1,52M","-0,09%"
"26.09.2019","11,050","10,880","11,070","10,870","1,09M","1,75%"
"25.09.2019","10,860","10,700","10,890","10,700","553,79K","1,40%"
"24.09.2019","10,710","10,800","10,800","10,700","500,28K","-0,19%"
"23.09.2019","10,730","10,740","10,860","10,660","718,84K","-0,92%"
"20.09.2019","10,830","10,600","10,920","10,600","1,96M","1,69%"
"19.09.2019","10,650","10,500","10,720","10,490","613,58K","1,43%"
"18.09.2019","10,500","10,370","10,540","10,370","960,06K","1,25%"
"17.09.2019","10,370","10,330","10,410","10,270","1,01M","0,78%"
"16.09.2019","10,290","10,360","10,410","10,270","1,26M","-0,96%"
"13.09.2019","10,390","10,380","10,420","10,270","627,50K","-0,10%"
"12.09.2019","10,400","10,510","10,530","10,300","820,34K","-0,19%"
"11.09.2019","10,420","10,590","10,590","10,360","1,17M","-1,33%"
"10.09.2019","10,560","10,660","10,670","10,450","525,07K","-1,03%"
"09.09.2019","10,670","10,570","10,720","10,560","465,33K","0,66%"
"06.09.2019","10,600","10,590","10,650","10,530","9,82M","-0,09%"
"05.09.2019","10,610","10,750","10,760","10,550","570,47K","-0,84%"
"04.09.2019","10,700","10,650","10,760","10,610","523,12K","1,61%"
"03.09.2019","10,530","10,600","10,600","10,460","637,53K","0,48%"
"02.09.2019","10,480","10,600","10,600","10,440","413,86K","-0,19%"
"30.08.2019","10,500","10,400","10,550","10,400","556,77K","0,67%"
"29.08.2019","10,430","10,560","10,600","10,420","428,87K","-0,67%"
"28.08.2019","10,500","10,400","10,550","10,400","395,25K","-0,28%"
"27.08.2019","10,530","10,480","10,560","10,410","679,32K","0,57%"
"26.08.2019","10,470","10,300","10,520","10,300","226,33K","0,38%"
"23.08.2019","10,430","10,460","10,500","10,380","440,52K","-0,38%"
"22.08.2019","10,470","10,340","10,500","10,340","780,39K","0,77%"
"21.08.2019","10,390","10,250","10,390","10,200","369,15K","1,37%"
"20.08.2019","10,250","10,250","10,320","10,200","458,69K","-0,10%"
