"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"23.10.2019","3,584","3,640","3,700","3,584","-","-2,02%"
"22.10.2019","3,658","3,630","3,708","3,622","-","0,55%"
"21.10.2019","3,638","3,510","3,660","3,500","2,42M","3,23%"
"18.10.2019","3,524","3,430","3,548","3,424","1,83M","2,14%"
"17.10.2019","3,450","3,450","3,540","3,396","1,79M","-0,06%"
"16.10.2019","3,452","3,436","3,510","3,394","1,39M","0,35%"
"15.10.2019","3,440","3,428","3,478","3,382","1,37M","0,82%"
"14.10.2019","3,412","3,386","3,456","3,302","2,43M","0,71%"
"11.10.2019","3,388","3,214","3,396","3,214","3,18M","4,70%"
"10.10.2019","3,236","3,090","3,236","3,090","2,36M","5,00%"
"09.10.2019","3,082","3,176","3,194","3,068","1,99M","-2,96%"
"08.10.2019","3,176","3,170","3,196","3,114","1,81M","1,15%"
"07.10.2019","3,140","3,100","3,158","3,058","2,68M","1,88%"
"04.10.2019","3,082","3,178","3,190","3,042","4,82M","-1,91%"
"03.10.2019","3,142","3,268","3,298","3,088","2,76M","-2,72%"
"02.10.2019","3,230","3,260","3,288","3,202","3,19M","-2,65%"
"01.10.2019","3,318","3,506","3,506","3,298","2,50M","-4,93%"
"30.09.2019","3,490","3,388","3,500","3,362","1,84M","3,50%"
"27.09.2019","3,372","3,264","3,420","3,234","2,10M","4,14%"
"26.09.2019","3,238","3,292","3,320","3,206","1,75M","-1,46%"
"25.09.2019","3,286","3,312","3,330","3,222","2,34M","-1,62%"
"24.09.2019","3,340","3,348","3,444","3,340","1,48M","-0,06%"
"23.09.2019","3,342","3,440","3,456","3,314","2,11M","-2,85%"
"20.09.2019","3,440","3,684","3,702","3,422","4,84M","-6,52%"
"19.09.2019","3,680","3,650","3,738","3,626","1,20M","0,27%"
"18.09.2019","3,670","3,668","3,720","3,642","1,54M","0,05%"
"17.09.2019","3,668","3,710","3,710","3,604","1,91M","-2,39%"
"16.09.2019","3,758","3,730","3,792","3,650","2,13M","1,40%"
"13.09.2019","3,706","3,548","3,718","3,548","2,19M","4,87%"
"12.09.2019","3,534","3,688","3,736","3,480","2,92M","-3,44%"
"11.09.2019","3,660","3,720","3,768","3,652","1,50M","-0,60%"
"10.09.2019","3,682","3,628","3,736","3,624","3,17M","1,94%"
"09.09.2019","3,612","3,568","3,620","3,530","1,00M","1,63%"
"06.09.2019","3,554","3,608","3,640","3,524","1,74M","-1,11%"
"05.09.2019","3,594","3,508","3,610","3,492","2,48M","3,22%"
"04.09.2019","3,482","3,420","3,494","3,420","1,38M","2,84%"
"03.09.2019","3,386","3,400","3,418","3,322","1,29M","-0,18%"
"02.09.2019","3,392","3,570","3,624","3,362","2,51M","-4,93%"
"30.08.2019","3,568","3,480","3,568","3,476","1,77M","2,53%"
"29.08.2019","3,480","3,458","3,520","3,422","1,56M","0,17%"
"28.08.2019","3,474","3,480","3,540","3,420","1,34M","0,00%"
"27.08.2019","3,474","3,510","3,540","3,452","1,49M","-0,52%"
"26.08.2019","3,492","3,350","3,530","3,316","1,60M","3,13%"
"23.08.2019","3,386","3,486","3,588","3,370","2,34M","-1,40%"
"22.08.2019","3,434","3,358","3,494","3,340","1,72M","2,20%"
"21.08.2019","3,360","3,360","3,428","3,342","1,58M","1,69%"
"20.08.2019","3,304","3,480","3,480","3,264","2,28M","-5,06%"
"19.08.2019","3,480","3,380","3,494","3,380","2,14M","3,88%"
"16.08.2019","3,350","3,220","3,350","3,220","1,08M","4,17%"
"15.08.2019","3,216","3,274","3,300","3,162","1,90M","-1,23%"
"14.08.2019","3,256","3,396","3,396","3,216","1,91M","-4,01%"
"13.08.2019","3,392","3,214","3,404","3,214","2,24M","4,76%"
"12.08.2019","3,238","3,358","3,398","3,230","1,17M","-3,11%"
"09.08.2019","3,342","3,420","3,420","3,318","2,92M","-2,68%"
"08.08.2019","3,434","3,326","3,434","3,320","1,42M","4,82%"
"07.08.2019","3,276","3,300","3,320","3,202","1,62M","0,00%"
"06.08.2019","3,276","3,390","3,420","3,276","1,83M","-3,48%"
"05.08.2019","3,394","3,374","3,410","3,292","2,48M","-0,59%"
"02.08.2019","3,414","3,256","3,420","3,182","3,21M","2,77%"
"01.08.2019","3,322","3,290","3,412","3,260","2,84M","0,97%"
"31.07.2019","3,290","3,658","3,668","3,280","6,13M","-11,08%"
"30.07.2019","3,700","3,900","3,920","3,700","1,54M","-3,80%"
"29.07.2019","3,846","3,900","3,908","3,780","1,65M","-0,72%"
"26.07.2019","3,874","3,960","3,960","3,852","1,33M","-2,17%"
"25.07.2019","3,960","4,024","4,048","3,908","1,93M","-0,10%"
"24.07.2019","3,964","4,166","4,170","3,960","3,59M","-4,20%"
"23.07.2019","4,138","3,968","4,148","3,968","2,88M","5,40%"
"22.07.2019","3,926","3,894","3,966","3,870","1,00M","0,51%"
"19.07.2019","3,906","3,972","4,030","3,856","1,68M","-0,51%"
"18.07.2019","3,926","3,982","3,982","3,882","1,71M","-1,70%"
"17.07.2019","3,994","4,120","4,126","3,970","2,04M","-3,06%"
"16.07.2019","4,120","4,056","4,144","4,012","2,09M","1,33%"
"15.07.2019","4,066","4,000","4,112","4,000","2,11M","2,21%"
"12.07.2019","3,978","3,888","3,978","3,852","1,72M","3,54%"
"11.07.2019","3,842","3,884","3,902","3,772","1,33M","-0,36%"
"10.07.2019","3,856","3,796","3,906","3,796","1,38M","1,58%"
"09.07.2019","3,796","3,888","3,888","3,740","1,85M","-2,92%"
"08.07.2019","3,910","4,000","4,012","3,886","2,16M","-1,41%"
"05.07.2019","3,966","4,016","4,058","3,936","1,65M","-1,59%"
"04.07.2019","4,030","3,910","4,062","3,908","2,40M","3,17%"
"03.07.2019","3,906","3,938","4,068","3,882","2,95M","-0,56%"
"02.07.2019","3,928","4,150","4,150","3,820","4,99M","-4,43%"
"01.07.2019","4,110","4,040","4,182","4,026","3,17M","3,58%"
"28.06.2019","3,968","3,898","4,020","3,836","2,18M","2,53%"
"27.06.2019","3,870","3,768","3,912","3,768","1,72M","2,82%"
"26.06.2019","3,764","3,710","3,810","3,700","1,35M","1,40%"
"25.06.2019","3,712","3,670","3,774","3,614","2,30M","-0,05%"
"24.06.2019","3,714","3,846","3,930","3,696","2,18M","-3,13%"
"21.06.2019","3,834","3,612","3,856","3,610","4,41M","6,26%"
"20.06.2019","3,608","3,682","3,742","3,604","2,35M","-1,15%"
"19.06.2019","3,650","3,698","3,790","3,646","2,03M","-1,67%"
"18.06.2019","3,712","3,750","3,750","3,602","3,31M","-1,64%"
"17.06.2019","3,774","3,758","3,842","3,750","1,45M","0,86%"
"14.06.2019","3,742","3,900","3,904","3,732","2,37M","-4,30%"
"13.06.2019","3,910","3,728","3,948","3,692","2,43M","4,77%"
"12.06.2019","3,732","3,864","3,876","3,682","2,36M","-3,32%"
"11.06.2019","3,860","3,812","3,868","3,752","1,86M","1,74%"
"10.06.2019","3,794","3,770","3,818","3,742","1,32M","1,55%"
"07.06.2019","3,736","3,662","3,744","3,660","1,66M","2,36%"
"06.06.2019","3,650","3,674","3,682","3,618","2,03M","-0,11%"
"05.06.2019","3,654","3,802","3,810","3,610","2,47M","-3,84%"
"04.06.2019","3,800","3,686","3,808","3,632","2,19M","3,43%"
"03.06.2019","3,674","3,732","3,734","3,616","2,22M","-2,03%"
"31.05.2019","3,750","3,756","3,760","3,670","2,09M","-1,52%"
"30.05.2019","3,808","3,800","3,852","3,750","1,35M","0,79%"
"29.05.2019","3,778","3,912","3,912","3,728","3,34M","-4,11%"
"28.05.2019","3,940","4,014","4,050","3,940","1,64M","-0,61%"
"27.05.2019","3,964","3,914","3,994","3,914","1,89M","2,11%"
"24.05.2019","3,882","3,912","3,974","3,846","2,10M","0,36%"
"23.05.2019","3,868","4,026","4,050","3,866","2,54M","-4,21%"
"22.05.2019","4,038","3,874","4,130","3,858","3,84M","4,56%"
"21.05.2019","3,862","3,978","3,984","3,762","5,17M","-2,77%"
"20.05.2019","3,972","4,110","4,152","3,962","2,46M","-2,65%"
"17.05.2019","4,080","4,110","4,130","4,000","2,33M","-0,68%"
"16.05.2019","4,108","4,020","4,118","3,950","3,41M","2,19%"
