"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"23.10.2019","0,8616","0,8638","0,8659","0,8615","-0,30%"
"22.10.2019","0,8642","0,8603","0,8646","0,8576","0,45%"
"21.10.2019","0,8603","0,8623","0,8662","0,8577","-0,09%"
"18.10.2019","0,8611","0,8631","0,8665","0,8599","-0,22%"
"17.10.2019","0,8630","0,8629","0,8704","0,8572","0,01%"
"16.10.2019","0,8629","0,8628","0,8719","0,8597","0,01%"
"15.10.2019","0,8628","0,8748","0,8753","0,8626","-1,37%"
"14.10.2019","0,8748","0,8730","0,8812","0,8714","0,21%"
"11.10.2019","0,8730","0,8847","0,8872","0,8693","-1,30%"
"10.10.2019","0,8845","0,8989","0,9022","0,8831","-1,59%"
"09.10.2019","0,8988","0,8967","0,8997","0,8939","0,25%"
"08.10.2019","0,8966","0,8925","0,9003","0,8921","0,46%"
"07.10.2019","0,8925","0,8904","0,8935","0,8901","0,27%"
"04.10.2019","0,8901","0,8892","0,8940","0,8880","0,08%"
"03.10.2019","0,8894","0,8909","0,8924","0,8847","-0,17%"
"02.10.2019","0,8909","0,8885","0,8926","0,8878","0,30%"
"01.10.2019","0,8882","0,8869","0,8939","0,8845","0,16%"
"30.09.2019","0,8868","0,8903","0,8910","0,8831","-0,37%"
"27.09.2019","0,8901","0,8861","0,8905","0,8844","0,43%"
"26.09.2019","0,8863","0,8859","0,8888","0,8842","0,03%"
"25.09.2019","0,8860","0,8823","0,8884","0,8814","0,42%"
"24.09.2019","0,8823","0,8844","0,8855","0,8802","-0,23%"
"23.09.2019","0,8843","0,8832","0,8859","0,8814","0,16%"
"20.09.2019","0,8829","0,8811","0,8846","0,8785","0,15%"
"19.09.2019","0,8816","0,8843","0,8894","0,8803","-0,31%"
"18.09.2019","0,8843","0,8858","0,8883","0,8821","-0,17%"
"17.09.2019","0,8858","0,8845","0,8891","0,8839","0,08%"
"16.09.2019","0,8851","0,8861","0,8904","0,8845","-0,09%"
"13.09.2019","0,8859","0,8969","0,8977","0,8856","-1,24%"
"12.09.2019","0,8970","0,8932","0,8981","0,8884","0,44%"
"11.09.2019","0,8931","0,8944","0,8953","0,8903","-0,13%"
"10.09.2019","0,8943","0,8946","0,8974","0,8920","-0,06%"
"09.09.2019","0,8948","0,8964","0,9016","0,8903","-0,36%"
"06.09.2019","0,8980","0,8946","0,8988","0,8942","0,37%"
"05.09.2019","0,8947","0,9005","0,9031","0,8946","-0,68%"
"04.09.2019","0,9008","0,9081","0,9087","0,9002","-0,79%"
"03.09.2019","0,9080","0,9090","0,9150","0,9053","-0,10%"
"02.09.2019","0,9089","0,9050","0,9113","0,9026","0,54%"
"30.08.2019","0,9040","0,9079","0,9085","0,9019","-0,34%"
"29.08.2019","0,9071","0,9073","0,9096","0,9052","-0,01%"
"28.08.2019","0,9072","0,9024","0,9123","0,9022","0,52%"
"27.08.2019","0,9025","0,9085","0,9095","0,9014","-0,67%"
"26.08.2019","0,9086","0,9096","0,9113","0,9062","0,11%"
"23.08.2019","0,9076","0,9042","0,9095","0,9032","0,36%"
"22.08.2019","0,9043","0,9140","0,9159","0,9027","-1,06%"
"21.08.2019","0,9140","0,9120","0,9164","0,9115","0,21%"
"20.08.2019","0,9121","0,9136","0,9186","0,9099","-0,15%"
"19.08.2019","0,9135","0,9128","0,9172","0,9112","0,09%"
"16.08.2019","0,9127","0,9190","0,9197","0,9089","-0,69%"
"15.08.2019","0,9190","0,9234","0,9253","0,9151","-0,49%"
"14.08.2019","0,9235","0,9263","0,9277","0,9227","-0,30%"
"13.08.2019","0,9263","0,9286","0,9298","0,9240","-0,25%"
"12.08.2019","0,9286","0,9307","0,9327","0,9247","-0,25%"
"09.08.2019","0,9309","0,9216","0,9319","0,9207","1,02%"
"08.08.2019","0,9215","0,9224","0,9269","0,9206","-0,10%"
"07.08.2019","0,9224","0,9204","0,9254","0,9188","0,22%"
"06.08.2019","0,9204","0,9227","0,9253","0,9155","-0,24%"
"05.08.2019","0,9226","0,9146","0,9230","0,9124","0,95%"
"02.08.2019","0,9139","0,9136","0,9172","0,9126","0,03%"
"01.08.2019","0,9136","0,9109","0,9151","0,9095","0,30%"
"31.07.2019","0,9109","0,9180","0,9184","0,9087","-0,77%"
"30.07.2019","0,9180","0,9121","0,9191","0,9114","0,65%"
"29.07.2019","0,9121","0,8983","0,9125","0,8981","1,50%"
"26.07.2019","0,8986","0,8946","0,8991","0,8944","0,48%"
"25.07.2019","0,8943","0,8923","0,8962","0,8890","0,22%"
"24.07.2019","0,8923","0,8966","0,8970","0,8903","-0,48%"
"23.07.2019","0,8966","0,8983","0,9006","0,8951","-0,20%"
"22.07.2019","0,8984","0,8972","0,9003","0,8959","0,09%"
"19.07.2019","0,8976","0,8984","0,9000","0,8955","-0,10%"
"18.07.2019","0,8985","0,9029","0,9042","0,8979","-0,48%"
"17.07.2019","0,9028","0,9034","0,9052","0,9013","-0,09%"
"16.07.2019","0,9036","0,8998","0,9052","0,8994","0,46%"
"15.07.2019","0,8995","0,8961","0,9002","0,8955","0,36%"
"12.07.2019","0,8963","0,8990","0,8992","0,8955","-0,29%"
"11.07.2019","0,8989","0,9001","0,9008","0,8964","-0,13%"
"10.07.2019","0,9001","0,8990","0,9012","0,8982","0,12%"
"09.07.2019","0,8990","0,8963","0,9004","0,8956","0,31%"
"08.07.2019","0,8962","0,8969","0,8978","0,8952","-0,01%"
"05.07.2019","0,8963","0,8971","0,8986","0,8957","-0,09%"
"04.07.2019","0,8971","0,8972","0,8980","0,8961","0,01%"
"03.07.2019","0,8970","0,8962","0,8992","0,8958","0,10%"
"02.07.2019","0,8961","0,8929","0,8975","0,8920","0,36%"
"01.07.2019","0,8929","0,8959","0,8983","0,8922","-0,30%"
"28.06.2019","0,8956","0,8968","0,8994","0,8939","-0,14%"
"27.06.2019","0,8969","0,8959","0,8982","0,8935","0,10%"
"26.06.2019","0,8960","0,8956","0,8978","0,8940","0,04%"
"25.06.2019","0,8956","0,8946","0,8966","0,8915","0,11%"
"24.06.2019","0,8946","0,8918","0,8961","0,8916","0,27%"
"21.06.2019","0,8922","0,8891","0,8949","0,8881","0,35%"
"20.06.2019","0,8891","0,8881","0,8928","0,8872","0,11%"
"19.06.2019","0,8881","0,8913","0,8929","0,8872","-0,36%"
"18.06.2019","0,8913","0,8951","0,8976","0,8910","-0,42%"
"17.06.2019","0,8951","0,8900","0,8952","0,8890","0,55%"
"14.06.2019","0,8902","0,8901","0,8921","0,8885","0,04%"
"13.06.2019","0,8898","0,8898","0,8922","0,8878","0,00%"
"12.06.2019","0,8898","0,8906","0,8919","0,8872","-0,08%"
"11.06.2019","0,8905","0,8920","0,8935","0,8891","-0,17%"
"10.06.2019","0,8920","0,8891","0,8932","0,8880","0,25%"
"07.06.2019","0,8898","0,8879","0,8904","0,8849","0,21%"
"06.06.2019","0,8879","0,8852","0,8893","0,8832","0,38%"
"05.06.2019","0,8845","0,8860","0,8880","0,8840","-0,18%"
"04.06.2019","0,8861","0,8876","0,8902","0,8850","-0,17%"
"03.06.2019","0,8876","0,8846","0,8890","0,8823","0,28%"
"31.05.2019","0,8851","0,8832","0,8880","0,8823","0,26%"
"30.05.2019","0,8828","0,8815","0,8842","0,8807","0,15%"
"29.05.2019","0,8815","0,8822","0,8835","0,8797","-0,07%"
"28.05.2019","0,8821","0,8831","0,8842","0,8803","-0,12%"
"27.05.2019","0,8832","0,8800","0,8841","0,8780","0,22%"
"24.05.2019","0,8813","0,8836","0,8853","0,8800","-0,24%"
"23.05.2019","0,8834","0,8808","0,8840","0,8788","0,30%"
"22.05.2019","0,8808","0,8788","0,8840","0,8769","0,28%"
"21.05.2019","0,8783","0,8779","0,8794","0,8724","0,07%"
"20.05.2019","0,8777","0,8773","0,8787","0,8749","0,06%"
"17.05.2019","0,8772","0,8731","0,8780","0,8723","0,46%"
"16.05.2019","0,8732","0,8717","0,8752","0,8710","0,17%"
"15.05.2019","0,8717","0,8687","0,8740","0,8668","0,33%"
"14.05.2019","0,8688","0,8663","0,8694","0,8652","0,30%"
"13.05.2019","0,8662","0,8646","0,8683","0,8623","0,23%"
"10.05.2019","0,8642","0,8623","0,8647","0,8605","0,24%"
"09.05.2019","0,8621","0,8604","0,8650","0,8595","0,21%"
"08.05.2019","0,8603","0,8558","0,8625","0,8552","0,51%"
"07.05.2019","0,8559","0,8550","0,8582","0,8533","0,09%"
"06.05.2019","0,8551","0,8543","0,8559","0,8490","0,55%"
"03.05.2019","0,8504","0,8577","0,8590","0,8496","-0,84%"
"02.05.2019","0,8576","0,8585","0,8599","0,8565","-0,05%"
"01.05.2019","0,8580","0,8605","0,8609","0,8576","-0,29%"
"30.04.2019","0,8605","0,8648","0,8656","0,8589","-0,49%"
"29.04.2019","0,8647","0,8630","0,8654","0,8617","0,21%"
"26.04.2019","0,8629","0,8629","0,8641","0,8618","-0,01%"
"25.04.2019","0,8630","0,8645","0,8657","0,8626","-0,17%"
"24.04.2019","0,8645","0,8678","0,8686","0,8630","-0,39%"
"23.04.2019","0,8679","0,8671","0,8687","0,8632","0,09%"
"22.04.2019","0,8671","0,8656","0,8679","0,8643","0,18%"
"19.04.2019","0,8655","0,8648","0,8665","0,8637","0,17%"
"18.04.2019","0,8640","0,8659","0,8673","0,8635","-0,22%"
"17.04.2019","0,8659","0,8648","0,8685","0,8641","0,15%"
