"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"23.10.2019","5,968","5,988","6,028","5,864","-","-0,33%"
"22.10.2019","5,988","6,080","6,134","5,954","2,37M","-1,93%"
"21.10.2019","6,106","5,894","6,146","5,894","3,81M","3,70%"
"18.10.2019","5,888","5,900","6,002","5,850","2,81M","-0,51%"
"17.10.2019","5,918","5,876","6,190","5,824","6,09M","-0,07%"
"16.10.2019","5,922","5,930","5,970","5,770","4,46M","-0,37%"
"15.10.2019","5,944","5,678","5,992","5,678","5,39M","5,32%"
"14.10.2019","5,644","5,710","5,720","5,450","2,89M","-1,33%"
"11.10.2019","5,720","5,210","5,760","5,210","9,72M","10,68%"
"10.10.2019","5,168","5,110","5,192","5,088","1,04M","1,37%"
"09.10.2019","5,098","5,118","5,182","5,090","1,02M","-0,55%"
"08.10.2019","5,126","5,282","5,282","5,024","2,46M","-2,29%"
"07.10.2019","5,246","5,098","5,268","5,060","1,46M","3,11%"
"04.10.2019","5,088","5,134","5,138","5,044","2,09M","-0,47%"
"03.10.2019","5,112","5,204","5,204","5,034","2,86M","-2,03%"
"02.10.2019","5,218","5,334","5,340","5,200","4,62M","-2,25%"
"01.10.2019","5,338","5,390","5,470","5,336","2,47M","-0,11%"
"30.09.2019","5,344","5,324","5,380","5,320","3,83M","0,53%"
"27.09.2019","5,316","5,216","5,320","5,164","7,06M","2,23%"
"26.09.2019","5,200","5,274","5,330","5,122","6,67M","-4,24%"
"25.09.2019","5,430","5,380","5,430","5,328","2,64M","0,33%"
"24.09.2019","5,412","5,340","5,486","5,332","1,80M","1,50%"
"23.09.2019","5,332","5,378","5,500","5,290","1,99M","-1,48%"
"20.09.2019","5,412","5,284","5,432","5,274","5,29M","2,81%"
"19.09.2019","5,264","5,100","5,264","5,060","2,85M","4,03%"
"18.09.2019","5,060","4,971","5,068","4,910","3,38M","1,46%"
"17.09.2019","4,987","5,022","5,028","4,894","5,03M","-1,05%"
"16.09.2019","5,040","5,050","5,086","4,850","3,40M","-2,14%"
"13.09.2019","5,150","5,106","5,200","5,050","1,97M","0,94%"
"12.09.2019","5,102","5,080","5,124","5,030","2,34M","0,83%"
"11.09.2019","5,060","4,976","5,096","4,972","2,21M","2,76%"
"10.09.2019","4,924","4,740","5,026","4,740","3,66M","4,01%"
"09.09.2019","4,734","4,801","4,801","4,635","2,33M","-1,25%"
