"","SI_1_2.1","SI_1_2.2","SI_1_2.3","SI_1_2.4","SI_1_2.5","SI_1_2.6","SI_1_2.7","SI_1_2.8","SI_1_2.9","SI_1_2.10","SI_1_2.11","SI_1_2.12","SI_1_2.13","SI_1_2.14","SI_1_2.15","SI_1_2.16","SI_1_2.17","SI_1_2.18","SI_1_2.19","SI_1_2.20","SI_1_2.21","SI_1_2.22","SI_1_2.23","SI_1_2.24","SI_1_2.25","SI_1_2.26","SI_1_2.27","SI_1_2.28","SI_1_2.29","SI_1_2.30","SI_1_2.31","SI_1_2.32","SI_1_2.33","SI_1_2.34","SI_1_2.35","SI_1_2.36","SI_1_2.37","SI_1_2.38","SI_1_2.39","SI_1_2.40","SI_1_2.41","SI_1_2.42","SI_1_2.43"
"NÚMERO SECUENCIAL",905793,905794,905795,905796,905797,905798,905799,905800,905801,905802,905803,905804,905805,905844,905845,905846,905847,905806,905807,905808,905809,905810,905811,905812,905813,905814,905815,905816,905817,905818,905819,905820,905821,905822,905823,905824,905825,905826,905827,905828,905829,905830,905831
"DESCRIPCIÓN DE LA SERIE","MERCADOS DE DEUDA. RENTABILIDAD LETRAS A 12 MESES","MERCADOS DE DEUDA. RENTABILIDAD BONOS A 3 AÑOS","MERCADOS DE DEUDA. RENTABILIDAD BONOS A 5 AÑOS","MERCADOS DE DEUDA. RENTABILIDAD BONOS A 10 AÑOS","VOLATILIDAD A 3 MESES DE LAS OBLIGACIONES A 10 AÑOS","MERCADOS DE DEUDA. RENTABILIDAD BONOS A 15 AÑOS","MERCADOS DE DEUDA. RENTABILIDAD BONOS A 30 AÑOS","RENTABILIDAD ACUMULADA DE LA DEUDA PUBLICA","DIFERENCIAL A 10 AÑOS CON EL BONO ALEMÁN. ESPAÑA","DIFERENCIAL A 10 AÑOS CON EL BONO ALEMÁN. REINO UNIDO","DIFERENCIAL A 10 AÑOS CON EL BONO ALEMÁN. ESTADOS UNIDOS","TIPO DE INTERÉS A 10 AÑOS DEL BONO ALEMÁN","FUTUTOS BONO 10 AÑOS PRIMER VENCIMIENTO","DIFERENCIAL DE RENTABILIDAD ENTRE LA RENTA FIJA PRIVADA Y LA DEUDA PUBLICA A 3 MESES","DIFERENCIAL DE RENTABILIDAD ENTRE LA RENTA FIJA PRIVADA Y LA DEUDA PUBLICA A 12 MESES","DIFERENCIAL DE RENTABILIDAD ENTRE LA RENTA FIJA PRIVADA Y LA DEUDA PUBLICA A 3 AÑOS","DIFERENCIAL DE RENTABILIDAD ENTRE LA RENTA FIJA PRIVADA Y LA DEUDA PUBLICA A 10 AÑOS","RENTA VARIABLE. RENTABILIDAD ACUMULADA EN EL AÑO. INDICE GENERAL BOLSA DE MADRID, COMUNIDAD DE","RENTA VARIABLE. RENTABILIDAD ACUMULADA EN EL AÑO. INDICE IBEX-35","VOLATILIDAD HISTORICA A 3 MESES DEL INDICE IBEX 35","RENTA VARIABLE. RENTABILIDAD ACUMULADA EN EL AÑO. IBEX UTILITIES","RENTA VARIABLE. RENTABILIDAD ACUMULADA EN EL AÑO. IBEX FINANCIERO","RENTA VARIABLE. RENTABILIDAD ACUMULADA EN EL AÑO. IBEX INDUSTRIA","RENTA VARIABLE. RENTABILIDAD ACUMULADA EN EL AÑO. IBEX OTROS","RENTA VARIABLE. RENTABILIDAD ACUMULADA EN EL AÑO. IBEX NUEVO MERCADO","RENTA VARIABLE. RENTABILIDAD ACUMULADA EN EL AÑO. LATIBEX","RENTA VARIABLE. RENTABILIDAD ACUMULADA EN EL AÑO. DJ EURO STOXX 50","RENTA VARIABLE. RENTABILIDAD ACUMULADA EN EL AÑO. BOLSA FRANCFORT (DAX 30)","RENTA VARIABLE. RENTABILIDAD ACUMULADA EN EL AÑO. BOLSA MILÁN (MIB 30)","RENTA VARIABLE. RENTABILIDAD ACUMULADA EN EL AÑO. BOLSA LONDRES (FTSE 100)","RENTA VARIABLE. RENTABILIDAD ACUMULADA EN EL AÑO. BOLSA NY (DJ IA)","RENTA VARIABLE. RENTABILIDAD ACUMULADA EN EL AÑO. BOLSA NY (NASDAQ COMPOSITE)","RENTA VARIABLE. RENTABILIDAD ACUMULADA EN EL AÑO. BOLSA DE TOKIO (NIKKEI 225)","FUTUROS IBEX 35. PRIMER VENCIMIENTO","VOLATILIDADES IBEX 35. PRIMER VENCIMIENTO","TIPO DE CAMBIO EURO/DÓLAR","DEPRECIACIÓN(-)/APRECIACIÓN(+) EURO/DÓLAR","TIPO DE CAMBIO EURO/YEN","DEPRECIACIÓN(-)/APRECIACIÓN(+) EURO/YEN","RISK-REVERSAL EURO/DÓLAR","VOLATILIDAD IMPLICITA A 1 MES","VOLATILIDAD IMPLICITA A 3 MESES","COMPONENTE NOMINAL DEL ÍNDICE DE COMPETITIVIDAD DE ESPAÑA"
"DESCRIPCIÓN DE LAS UNIDADES","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Dólares de Estados Unidos por Euro","Porcentaje","Yenes japoneses por Euro","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje"
"03 ENE2000",3.768,4.737,5.165,5.629,25.044,5.967,6.153,-0.112,0.181,"_",1.166,5.448,87.080,0.235,0.192,0.113,0.371,0.310,-0.270,16.632,-0.417,0.483,-0.699,0.135,"_",4.277,-1.126,-2.980,-3.522,"_",-1.214,1.520,"_",11616.500,27.480,1.009000,0.438,102.750000,0.019,"_",11.950,11.625,74.224
"04 ENE2000",3.842,4.780,5.226,5.735,25.044,6.014,6.240,-0.060,0.215,0.253,1.164,5.520,87.000,0.200,0.168,0.130,0.395,-3.005,-3.735,18.968,-3.692,-1.952,-5.036,-1.682,"_",4.883,-5.029,-5.335,-5.869,-3.814,-4.342,-4.119,0.362,11142.500,31.320,1.030500,2.578,105.880000,3.066,0.350,13.000,12.050,74.561
"05 ENE2000",3.879,4.785,5.222,5.718,25.044,5.977,6.188,-0.185,0.192,0.267,1.111,5.526,86.770,0.210,0.131,0.115,0.382,-5.529,-6.686,20.605,-6.622,-4.028,-8.262,-2.042,"_",4.088,"_","_","_","_","_",-4.713,"_",10858.500,32.760,1.036800,3.205,107.340000,4.487,0.900,12.450,11.750,74.694
"06 ENE2000","_",4.592,5.124,5.709,25.034,"_","_",-0.185,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",-8.233,-6.945,-9.897,-6.969,-2.121,-8.409,-4.046,"_","_",1.038800,3.404,108.720000,5.831,0.800,11.880,11.630,74.726
"07 ENE2000",3.797,4.664,5.170,5.709,25.122,5.997,6.247,-0.980,0.204,0.335,1.161,5.505,87.280,"_",0.203,0.206,0.401,-3.661,-4.630,20.836,-5.110,-1.661,-5.661,0.471,"_",0.331,-5.224,-2.546,-6.494,-6.138,0.221,-4.588,-3.913,11056.000,30.020,1.028400,2.369,108.090000,5.218,0.750,11.380,11.380,74.587
"10 ENE2000",3.775,4.627,5.085,5.641,25.084,5.936,6.159,-0.870,0.210,0.330,1.222,5.430,87.570,0.225,0.175,0.223,0.429,-2.741,-4.021,20.795,-3.721,-2.571,-4.553,1.504,"_",1.769,-3.883,-0.469,-7.618,-4.654,0.653,-0.483,"_",11115.000,29.950,1.022900,1.822,107.260000,4.410,0.650,11.150,11.025,74.504
"11 ENE2000",3.820,4.718,5.125,5.710,25.170,6.006,6.249,-0.790,0.174,0.272,1.192,5.536,86.650,0.104,0.160,0.242,0.490,-3.652,-5.403,21.099,-3.955,-4.628,-6.856,0.087,"_",0.918,-4.750,-0.961,-7.313,-5.935,0.121,-3.640,-0.441,10976.500,30.700,1.025600,2.090,108.850000,5.957,0.700,11.150,11.025,74.580
