"","SI_2_2.1","SI_2_2.2","SI_2_2.3","SI_2_2.4","SI_2_2.5","SI_2_2.6","SI_2_2.7","SI_2_2.8","SI_2_2.9","SI_2_2.10","SI_2_2.11","SI_2_2.12","SI_2_2.13"
"NÚMERO SECUENCIAL",905832,905833,905834,905835,905836,905837,3775808,905838,905839,905840,905841,905842,905843
"DESCRIPCIÓN DE LA SERIE","INTERVENCIÓN BCE. TIPO SUBASTA PRINCIPAL. TIPO MÍNIMO","INTERVENCIÓN BCE. TIPO SUBASTA PRINCIPAL. VARIACIÓN DEL TIPO MÍNIMO","INTERVENCIÓN BCE. TIPO SUBASTA PRINCIPAL. TIPO MARGINAL","INTERVENCIÓN BCE. TIPO SUBASTA PRINCIPAL. TIPO MEDIO","INTERVENCIÓN BCE. TIPO FACILIDAD DE CRÉDITO","INTERVENCIÓN BCE. TIPO FACILIDAD DE DEPÓSITO","ECONOMIA MUNDIAL. TIPO DE INTERÉS DÍA A DÍA. MERCADOS UEM. INTERBANCARIO. ESTER. BCE. ","MERCADOS MONETARIOS. TIPO EONIA","MERCADOS MONETARIOS. EURIBOR 1 MES","MERCADOS MONETARIOS. EURIBOR 3 MESES","MERCADOS MONETARIOS. EURIBOR 6 MESES","MERCADOS MONETARIOS. EURIBOR 12 MESES","FUTUROS EURIBOR 3 MESES. PRIMER VENCIMIENTO"
"DESCRIPCIÓN DE LAS UNIDADES","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Céntimos de Euros","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje"
"03 ENE2000","_","_","_","_",4.000,2.000,"_",3.060,3.171,3.338,3.523,3.885,"_"
"04 ENE2000","_","_","_","_",4.000,2.000,"_",3.010,3.159,3.343,3.553,3.952,96.335
"05 ENE2000","_","_","_","_",4.000,2.000,"_","_",3.151,3.341,3.550,3.955,96.345
"06 ENE2000","_","_","_","_","_","_","_",2.920,"_","_","_","_",96.355
"07 ENE2000","_","_","_","_",4.000,2.000,"_",2.890,3.116,3.322,3.546,3.941,96.375
"10 ENE2000","_","_","_","_",4.000,2.000,"_",2.980,3.114,3.317,3.534,3.914,96.395
"11 ENE2000",3.000,0.000,3.000,3.000,4.000,2.000,"_",3.010,3.114,3.315,3.532,3.913,96.370
"12 ENE2000","_","_","_","_",4.000,2.000,"_",3.070,3.128,3.322,3.545,3.948,96.375
"13 ENE2000","_","_","_","_",4.000,2.000,"_",3.040,3.128,3.322,3.544,3.946,96.385
"14 ENE2000","_","_","_","_",4.000,2.000,"_",3.030,3.125,3.321,3.539,3.932,96.410
