"","SI_2_1.1","SI_2_1.2","SI_2_1.3","SI_2_1.4","SI_2_1.5","SI_2_1.6","SI_2_1.7","SI_2_1.8","SI_2_1.9","SI_2_1.10","SI_2_1.11","SI_2_1.12","SI_2_1.13","SI_2_1.14","SI_2_1.15","SI_2_1.16","SI_2_1.17","SI_2_1.18","SI_2_1.19","SI_2_1.20","SI_2_1.21","SI_2_1.22","SI_2_1.23","SI_2_1.24","SI_2_1.25","SI_2_1.26","SI_2_1.27","SI_2_1.28","SI_2_1.29","SI_2_1.30","SI_2_1.31","SI_2_1.32","SI_2_1.33","SI_2_1.34","SI_2_1.35","SI_2_1.36","SI_2_1.37","SI_2_1.38","SI_2_1.39","SI_2_1.40","SI_2_1.41","SI_2_1.42","SI_2_1.43","SI_2_1.44","SI_2_1.45","SI_2_1.46","SI_2_1.47","SI_2_1.48","SI_2_1.49","SI_2_1.50","SI_2_1.51","SI_2_1.52","SI_2_1.53","SI_2_1.54","SI_2_1.55","SI_2_1.56","SI_2_1.57","SI_2_1.58","SI_2_1.59","SI_2_1.60","SI_2_1.61","SI_2_1.62","SI_2_1.63","SI_2_1.64","SI_2_1.65"
"NÚMERO SECUENCIAL",905971,905972,905973,905974,905975,905976,905977,905978,905979,905980,905981,905982,905983,905984,905985,905986,905987,905988,905989,906086,906087,905990,906088,905991,905992,905993,905994,906089,905995,905996,905997,905998,905999,906000,906001,906002,906003,906004,906005,906006,906007,906008,906009,906010,906011,906012,906090,906091,906013,906092,906014,906093,906094,2405698,1489713,906095,906015,906016,906017,906018,906019,906020,906021,906096,906022
"DESCRIPCIÓN DE LA SERIE","UEM. CONSUMO PRIVADO (CNTR). Tasa de variación interanual","UEM. Indicador de confianza de los consumidores","UEM. Índice de ventas del comercio al por menor. Tasa de variación interanual","UEM. Indicador de confianza del comercio al por menor","UEM. CONSUMO PúBLICO (CNTR). Tasa de variación interanual","UEM. Formación bruta de capital fijo (CNTR). Tasa de variación interanual","UEM. IPI de bienes de capital. Tasa de variación interanual","UEM. VARIACIÓN DE EXISTENCIAS (CNTR). Aportación al crecimiento del PIB","UEM. Nivel de existencias (encuesta de industria)","UEM. SALDO NETO DE COMERCIO EXTERIOR (CNTR). Aportación al crecimiento del PIB","UEM. Exportaciones de bienes y servicios (CNTR). Tasa de variación interanual","UEM. Exportaciones de bienes extra-UEM. Tasa de variación interanual","UEM. Expectativas de exportación en los próximos meses (encuesta de industria)","UEM. Importaciones de bienes y servicios (CNTR). Tasa de variación interanual","UEM. Importaciones de bienes extra-UEM. Tasa de variación interanual","UEM. PRODUCTO INTERIOR BRUTO (CNTR). Tasa de variación interanual","UEM. VAB en la agricultura (CNTR). Tasa de variación interanual","UEM. VAB en la industria (CNTR). Tasa de variación interanual","UEM. Índice de producción industrial (IPI). Tasa de variación interanual","UEM. Indicador de confianza industrial","UEM. VAB en la construcción (CNTR). Tasa de variación interanual","UEM. IPI de construcción. Tasa de variación interanual","UEM. Indicador de confianza de la construcción","UEM. VAB en los servicios de mercado (CNTR). Tasa de variación interanual","UEM. PMI servicios","UEM. Tasa de paro","UEM. Empleo, total economía (BCE). Tasa de variación interanual","UEM. Expectativas de empleo (encuesta industria)","UEM. Remuneración por asalariado (BCE). Tasa de variación interanual","UEM. Costes laborales unitarios (BCE). Tasa de variación interanual","UEM. Productividad del trabajo (BCE). Tasa de variación interanual","UEM. Índice de coste laboral por hora, total economía, total. Tasa de variación interanual","UEM. Índice de coste laboral por hora, total economía, salarios. Tasa de variación interanual","UEM. DEFLACTOR DEL PIB (CNTR). Tasa de variación interanual","UEM. Índice armonizado de precios de consumo (IAPC). Tasa de variación interanual","UEM. IAPC de alimentos. Tasa de variación interanual","UEM. IAPC de industriales no energéticos. Tasa de variación interanual","UEM. IAPC de energía. Tasa de variación interanual","UEM. IAPC de servicios. Tasa de variación interanual","UEM. IPSEBENE (servicios y bienes elaborados no energéticos). Tasa de variación interanual","UEM. Índice de precios industriales (IPRI). Tasa de variación interanual","UEM. IPRI de bienes de consumo. Tasa de variación interanual","UEM. SALDO DE BALANZA DE PAGOS. Saldo comercial","UEM. SALDO DE BALANZA DE PAGOS. Saldo por cuenta corriente","UEM. SALDO DE BALANZA DE PAGOS. Saldo por cuenta de capital","UEM.TCER con precios de consumo, del euro frente a EER-19 (UM19)","UEM.TCER con precios de consumo, del euro frente a EER-19 (UM19)","PIB. Alemania. Tasa de variación interanual","IAPC. Alemania. Tasa de variación interanual","PIB. Francia. Tasa de variación interanual","IAPC. Francia. Tasa de variación interanual","PIB. Italia. Tasa de variación interanual","IAPC. Italia. Tasa de variación interanual","Descripción Familia:Contabilidad nacional de España. Metodología:METODOLOGÍA DEL AÑO SEC2010. Año Base:Año base 2010. Valoración:Índices de volumen encadenados. Operaciones y otros Flujos:Producto interior bruto. Sector de Sa","IAPC. España. Tasa de variación interanual","PIB. Holanda. Tasa de variación interanual","IAPC. Holanda. Tasa de variación interanual","MAGNITUDES MONETARIAS. M1. Tasa de variación interanual","MAGNITUDES MONETARIAS. M2. Tasa de variación interanual","MAGNITUDES MONETARIAS. M3. Tasa de variación interanual","MAGNITUDES MONETARIAS. Crédito a residentes de la UEM. Tasa de variación interanual","MAGNITUDES MONETARIAS. Crédito a residentes de la UEM. Crédito a AAPP. Tasa de variación interanual","MAGNITUDES MONETARIAS. Crédito a residentes de la UEM. Al sector privado. Tasa de variación interanual","MAGNITUDES MONETARIAS. Crédito a residentes de la UEM. Al sector privado: Préstamos. Tasa de variación interanual","MAGNITUDES MONETARIAS. Activos exteriores netos"
"DESCRIPCIÓN DE LAS UNIDADES","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Miles de millones de Euros","Miles de millones de Euros","Miles de millones de Euros","Base primer trimestre de 1999 = 100","Base primer trimestre de 1999 = 100","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Miles de millones de Euros"
"ENE 1980","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",-1.0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"FEB 1980","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",-3.0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 1980","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",-1.0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ABR 1980","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",-5.0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAY 1980","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",-7.0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1980","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",-12.0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUL 1980","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",-18.0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
