"","SI_3_1.1","SI_3_1.2","SI_3_1.3","SI_3_1.4","SI_3_1.5","SI_3_1.6","SI_3_1.7","SI_3_1.8","SI_3_1.9","SI_3_1.10","SI_3_1.11","SI_3_1.12","SI_3_1.13","SI_3_1.14","SI_3_1.15","SI_3_1.16","SI_3_1.17","SI_3_1.18","SI_3_1.19","SI_3_1.20","SI_3_1.21","SI_3_1.22","SI_3_1.23","SI_3_1.24","SI_3_1.25","SI_3_1.26","SI_3_1.27","SI_3_1.28","SI_3_1.29","SI_3_1.30","SI_3_1.31","SI_3_1.32","SI_3_1.33","SI_3_1.34","SI_3_1.35","SI_3_1.36","SI_3_1.37","SI_3_1.38","SI_3_1.39","SI_3_1.40","SI_3_1.41","SI_3_1.42","SI_3_1.43","SI_3_1.44","SI_3_1.45","SI_3_1.46","SI_3_1.47","SI_3_1.48","SI_3_1.49","SI_3_1.50","SI_3_1.51","SI_3_1.52","SI_3_1.53","SI_3_1.54","SI_3_1.55","SI_3_1.56","SI_3_1.57","SI_3_1.58","SI_3_1.59","SI_3_1.60","SI_3_1.61","SI_3_1.62","SI_3_1.63","SI_3_1.64","SI_3_1.65","SI_3_1.66","SI_3_1.67","SI_3_1.68","SI_3_1.69","SI_3_1.70","SI_3_1.71","SI_3_1.72","SI_3_1.73","SI_3_1.74","SI_3_1.75","SI_3_1.76","SI_3_1.77","SI_3_1.78","SI_3_1.79","SI_3_1.80","SI_3_1.81","SI_3_1.82","SI_3_1.83","SI_3_1.84","SI_3_1.85","SI_3_1.86","SI_3_1.87","SI_3_1.88","SI_3_1.89","SI_3_1.90","SI_3_1.91","SI_3_1.92","SI_3_1.93","SI_3_1.94","SI_3_1.95"
"N⁄MERO SECUENCIAL",907993,907994,907995,907996,907997,907998,907999,908000,908001,908002,908003,908004,908005,908006,908007,908364,908365,908366,908367,908012,908013,908080,908014,908015,908016,908017,908018,908019,908020,908021,908022,908023,908024,908025,908026,908027,908028,908029,908030,908031,908032,908033,908081,908082,908083,908368,908085,908086,908087,908088,908089,908090,908188,908091,908092,908093,908094,908095,908096,908097,908098,908369,908100,908101,908102,908103,908104,908105,908106,908370,908108,908109,908110,908111,908112,908113,908114,908371,908116,908117,1165123,908119,908120,908121,908122,908372,908124,908125,908126,908127,908128,908129,908130,908373,908374
"DESCRIPCI”N DE LA SERIE","UNI”N EUROPEA. ACTIVIDAD: PIB (CNTR). Tasa de variaciÛn interanual","UNI”N EUROPEA. Õndice armonizado de precios de consumo (IAPC). Tasa de variaciÛn interanual","UNI”N EUROPEA. IPSEBENE (servicios y bienes elaborados no energÈticos). Tasa de variaciÛn interanual","REINO UNIDO. CONSUMO PRIVADO (CNTR). Tasa de variaciÛn interanualÅÅ","REINO UNIDO. CONSUMO P˙BLICO (CNTR). Tasa de variaciÛn interanual","REINO UNIDO. FORMACI”N BRUTA DE CAPITAL FIJO (CNTR). Tasa de variaciÛn interanual","REINO UNIDO. VARIACI”N DE EXISTENCIAS (CNTR). AportaciÛn al crecimiento del PIB","REINO UNIDO. SALDO NETO DE COMERCIO EXTERIOR (CNTR). AportaciÛn al crecimiento del PIB","REINO UNIDO. Exportaciones de bienes y servicios (CNTR). Tasa de variaciÛn interanual","REINO UNIDO. Importaciones de bienes y servicios (CNTR). Tasa de variaciÛn interanual","REINO UNIDO. ACTIVIDAD: PIB (CNTR). Tasa de variaciÛn interanual","REINO UNIDO. MERCADO DE TRABAJO. Tasa de paro (% poblaciÛn activa)","REINO UNIDO. DEFLACTOR DEL PIB (CNTR). Tasa de variaciÛn interanual","REINO UNIDO. Precios al por menor excluidos intereses hipotecas. Tasa de variaciÛn interanual","REINO UNIDO. IPC armonizado. Tasa de variaciÛn interanual","REINO UNIDO. VARIABLES MONETARIAS Y FINANCIERAS. Tipo de interÈs oficial","REINO UNIDO. VARIABLES MONETARIAS Y FINANCIERAS. Tipo de interÈs a 3 meses","REINO UNIDO. VARIABLES MONETARIAS Y FINANCIERAS. Tipo de interÈs a 10 aÒos","REINO UNIDO. VARIABLES MONETARIAS Y FINANCIERAS. Õndice de bolsa (FTSE 100)","REINO UNIDO. TCEN frenta a paÌses desarrollados","ESTADOS UNIDOS. CONSUMO PRIVADO (CNTR). Tasa de variaciÛn interanual","ESTADOS UNIDOS. Ahorro/renta personal","ESTADOS UNIDOS. GASTO P˙BLICO (CNTR). Tasa de variaciÛn interanual","EEUU. Saldo Administraciones P˙blicas en porcentaje del PIB","ESTADOS UNIDOS. F.B. DE CAPITAL PRIVADA (CNTR). Tasa de variaciÛn interanual","ESTADOS UNIDOS. VARIACI”N DE EXISTENCIAS (CNTR). AportaciÛn al crecimiento del PIB","ESTADOS UNIDOS. SALDO NETO DE COMERCIO EXTERIOR (CNTR). AportaciÛn al crecimiento del PIB","ESTADOS UNIDOS. Exportaciones de bienes y servicios (CNTR). Tasa de variaciÛn interanual","ESTADOS UNIDOS. Importaciones de bienes y servicios (CNTR). Tasa de variaciÛn interanual","ESTADOS UNIDOS. Balanza comercial. Saldo acumulado","ESTADOS UNIDOS. Balanza cuenta corriente. Saldo en porcentaje del PIB","ESTADOS UNIDOS. ACTIVIDAD: PIB (CNTR). Tasa de variaciÛn interanual","ESTADOS UNIDOS. ProducciÛn industrial. Tasa de variaciÛn interanual","ESTADOS UNIDOS. NAPM (Encuesta directores de compras). Tasa de variaciÛn interanual","ESTADOS UNIDOS. MERCADO DE TRABAJO. Empleo no agrÌcola. Tasa de variaciÛn interanual","ESTADOS UNIDOS. MERCADO DE TRABAJO. Tasa de paro (% poblaciÛn activa)","ESTADOS UNIDOS. MERCADO DE TRABAJO. Productividad/hora sector no agrario. Tasa de variaciÛn interanual","ESTADOS UNIDOS. MERCADO DE TRABAJO. CLU sector no agrario. Tasa de variaciÛn interanual","ESTADOS UNIDOS. DEFLACTOR DEL PIB (CNTR). Tasa de variaciÛn interanual","ESTADOS UNIDOS. Precios al consumo. Tasa de variaciÛn interanual","ESTADOS UNIDOS. IPC sin alimentos ni energÌa. Tasa de variaciÛn interanual","ESTADOS UNIDOS. Precios producciÛn. Tasa de variaciÛn interanual","ESTADOS UNIDOS. VARIABLES MONETARIAS Y FINANCIERAS. Tipo objetivo Fondos Federales","ESTADOS UNIDOS. VARIABLES MONETARIAS Y FINANCIERAS. Tipo de interÈs a 3 meses","ESTADOS UNIDOS. VARIABLES MONETARIAS Y FINANCIERAS. Tipo de interÈs a 10 aÒos","ESTADOS UNIDOS. VARIABLES MONETARIAS Y FINANCIERAS. Õndice S&P 500. Rentabilidad acumulada en el aÒo","ESTADOS UNIDOS. TCEN frente a paÌses desarrollados","JAP”N. CONSUMO PRIVADO (CNTR). Tasa de variaciÛn interanual","JAP”N. CONSUMO P˙BLICO (CNTR). Tasa de variaciÛn interanual","JAP”N. FORMACI”N BRUTA DE CAPITAL FIJO (CNTR). Tasa de variaciÛn interanual","JAP”N. SALDO NETO DE COMERCIO EXTERIOR (CNTR). AportaciÛn al crecimiento del PIB","JAP”N. Exportaciones de bienes y servicios (CNTR). Tasa de variaciÛn interanual","JAP”N. Importaciones de bienes y servicios (CNTR). Tasa de variaciÛn interanual","JAP”N. Balanza cuenta corriente. Saldo en mm $","JAP”N. ACTIVIDAD: PIB (CNTR). Tasa de variaciÛn interanual","JAP”N. MERCADO DE TRABAJO. Tasa de paro","JAP”N. DEFLACTOR DEL PIB (CNTR). Tasa de variaciÛn interanual","JAP”N. Precios al consumo. Tasa de variaciÛn interanual","JAP”N. VARIABLES MONETARIAS Y FINANCIERAS. Tipo de interÈs oficial (a 1 dÌa)","JAP”N. VARIABLES MONETARIAS Y FINANCIERAS. Tipo de interÈs a 3 meses","JAP”N. VARIABLES MONETARIAS Y FINANCIERAS. Tipo de interÈs a 10 aÒos","JAP”N. VARIABLES MONETARIAS Y FINANCIERAS. Õndice de bolsa (NIKKEI 225). Rentabilidad acumulada en el aÒo","JAP”N. TCEN frente a paÌses desarrollados","BRASIL. ACTIVIDAD: PIB (CNTR). Tasa de variaciÛn interanual","BRASIL. MERCADO DE TRABAJO. Tasa de paro","BRASIL. PRECIOS AL CONSUMO. Tasa de variaciÛn interanual","BRASIL. SALDO DE LA BALANZA CORRIENTE (mm $)","BRASIL. Balanza comercial. Saldo en mm $","BRASIL. Reservas de divisas. Saldo en mm $","BRASIL. VARIABLES MONETARIAS Y FINANCIERAS. Õndice de bolsa. Rentabilidad acumulada en el aÒo","BRASIL. VARIABLES MONETARIAS Y FINANCIERAS. Tipo de cambio frente al $","M…JICO. ACTIVIDAD: PIB (CNTR). Tasa de variaciÛn interanual","M…JICO. MERCADO DE TRABAJO. Tasa de paro","M…JICO. PRECIOS AL CONSUMO. Tasa de variaciÛn interanual","M…JICO. SALDO DE LA BALANZA CORRIENTE (mm $)","M…JICO. Balanza comercial. Saldo en mm $","M…JICO. Reservas de divisas. Saldo en mm $","M…JICO. VARIABLES MONETARIAS Y FINANCIERAS. Õndice de bolsa. Rentabilidad acumulada en el aÒo","M…JICO. VARIABLES MONETARIAS Y FINANCIERAS. Tipo de cambio frente al $","ARGENTINA. ACTIVIDAD: PIB (CNTR). Tasa de variaciÛn interanual","ARGENTINA. MERCADO DE TRABAJO. Tasa de paro","ARGENTINA. PRECIOS AL CONSUMO. Tasa de variaciÛn interanual","ARGENTINA. SALDO DE LA BALANZA CORRIENTE (mm $)","ARGENTINA. Balanza comercial. Saldo en mm $","ARGENTINA. Reservas de divisas. Saldo en mm $","ARGENTINA. VARIABLES MONETARIAS Y FINANCIERAS. Õndice de bolsa. Rentabilidad acumulada en el aÒo","ARGENTINA. Tipo de cambio a minoristas de las casas de cambio frente al dÛlar","CHILE. ACTIVIDAD: PIB (CNTR). Tasa de variaciÛn interanual","CHILE. MERCADO DE TRABAJO. Tasa de paro","CHILE. PRECIOS AL CONSUMO. Tasa de variaciÛn interanual","CHILE. SALDO DE LA BALANZA CORRIENTE (mm $)","CHILE. Balanza comercial. Saldo en mm $","CHILE. Reservas de divisas. Saldo en mm $","CHILE. VARIABLES MONETARIAS Y FINANCIERAS. Õndice de bolsa. Rentabilidad acumulada en el aÒo","CHILE. VARIABLES MONETARIAS Y FINANCIERAS. Tipo de cambio frente al $"
"DESCRIPCI”N DE LAS UNIDADES","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Base primer trimestre de 1999 = 100","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Miles de millones de DÛlares de Estados Unidos","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Base primer trimestre de 1999 = 100","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Miles de millones de DÛlares de Estados Unidos","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Base primer trimestre de 1999 = 100","Porcentaje","Porcentaje","Porcentaje","Miles de millones de DÛlares de Estados Unidos","Miles de millones de DÛlares de Estados Unidos","Miles de millones de DÛlares de Estados Unidos","Porcentaje","Reales brasileÒos por DÛlar de Estados Unidos","Porcentaje","Porcentaje","Porcentaje","Miles de millones de DÛlares de Estados Unidos","Miles de millones de DÛlares de Estados Unidos","Miles de millones de DÛlares de Estados Unidos","Porcentaje","Pesos mexicanos por DÛlar de Estados Unidos","Porcentaje","Porcentaje","Porcentaje","Miles de millones de DÛlares de Estados Unidos","Miles de millones de DÛlares de Estados Unidos","Miles de millones de DÛlares de Estados Unidos","Porcentaje","Pesos argentinos por DÛlar de Estados Unidos","Porcentaje","Porcentaje","Porcentaje","Miles de millones de DÛlares de Estados Unidos","Miles de millones de DÛlares de Estados Unidos","Miles de millones de DÛlares de Estados Unidos","Porcentaje","Pesos chilenos por DÛlar de Estados Unidos"
"ENE 1990","_","_","_","_","_","_","_","_","_","_","_",5.3,"_","_",5.7,15.0,15.1,11.0,"_","_","_",7.4,"_","_","_","_","_","_","_",-7.5,"_","_","_","_","_",5.4,"_","_","_","_","_","_","_",8.2,8.2,"_","_","_","_","_","_","_","_","_","_",2.2,"_","_",4.3,6.9,"_","_","_","_","_","_","_",0.6,9.0,"_",14.1,"_","_","_","_",0.2,6.0,"_",2.7,"_","_","_","_",0.4,1.3,"_","_","_","_","_","_","_",4.4,"_","_"
"FEB 1990","_","_","_","_","_","_","_","_","_","_","_",5.3,"_","_",6.1,15.0,15.1,11.5,"_","_","_",8.1,"_","_","_","_","_","_","_",-5.1,"_","_","_","_","_",5.3,"_","_","_","_","_","_","_",8.2,8.5,"_","_","_","_","_","_","_","_","_","_",2.2,"_","_",4.3,7.1,"_","_","_","_","_","_","_",0.7,8.8,"_",23.7,"_","_","_","_",0.3,8.3,"_",2.7,"_","_","_","_",0.6,1.0,"_","_","_","_","_","_","_",4.7,"_","_"
"MAR 1990","_","_","_","_","_","_","_","_","_","_","_",5.3,"_","_",6.1,15.0,15.2,12.4,"_","_","_",7.8,"_",-5.4,"_","_","_","_","_",-6.3,-1.6,"_","_","_","_",5.2,"_","_","_","_","_","_","_",8.4,8.6,"_","_","_","_","_","_","_","_","_","_",2.0,"_","_",5.3,7.4,"_","_","_","_","_","_",-2.7,0.6,7.4,"_",34.4,"_","_","_",-2.2,0.0,4.4,"_",2.8,"_","_","_",0.9,0.9,1.2,"_","_","_","_","_","_","_",4.8,"_","_"
"ABR 1990","_","_","_","_","_","_","_","_","_","_","_",5.2,"_","_",6.6,15.0,15.2,12.7,"_","_","_",8.2,"_","_","_","_","_","_","_",-5.3,"_","_","_","_","_",5.4,"_","_","_","_","_","_","_",8.4,8.8,"_","_","_","_","_","_","_","_","_","_",2.1,"_","_",5.3,7.3,"_","_","_","_","_","_","_",1.2,8.8,"_",46.3,"_","_","_","_",-0.1,5.3,"_",2.8,"_","_","_","_",0.7,1.6,"_","_","_","_","_","_","_",5.0,"_","_"
"MAY 1990","_","_","_","_","_","_","_","_","_","_","_",5.2,"_","_",6.7,15.0,15.1,12.4,"_","_","_",8.0,"_","_","_","_","_","_","_",-5.6,"_","_","_","_","_",5.4,"_","_","_","_","_","_",7.9,8.3,8.8,"_","_","_","_","_","_","_","_","_","_",2.1,"_","_",5.3,7.2,"_","_","_","_","_","_","_",1.7,10.0,"_",51.2,"_","_","_","_",-0.4,5.8,"_",2.8,"_","_","_","_",0.8,2.4,"_","_","_","_","_","_","_",4.9,"_","_"
"JUN 1990","_","_","_","_","_","_","_","_","_","_","_",5.3,"_","_",6.9,15.0,14.9,11.8,"_","_","_",7.9,"_",-0.8,"_","_","_","_","_",-4.5,-1.3,"_","_","_","_",5.2,"_","_","_","_","_","_",7.9,8.2,8.5,"_","_","_","_","_","_","_","_","_","_",2.2,"_","_",5.3,7.3,"_","_","_","_","_","_",1.7,1.1,10.2,"_",56.2,"_","_","_",-1.7,-0.4,6.7,"_",2.8,"_","_","_",1.1,0.8,3.0,"_","_","_","_","_","_","_",5.3,"_","_"
"JUL 1990","_","_","_","_","_","_","_","_","_","_","_",5.3,"_","_",6.9,15.0,14.9,11.9,"_","_","_",8.0,"_","_","_","_","_","_","_",-6.5,"_","_","_","_","_",5.5,"_","_","_","_","_","_",7.7,8.1,8.5,"_","_","_","_","_","_","_","_","_","_",2.1,"_","_",5.3,7.6,"_","_","_","_","_","_","_",1.5,10.5,"_",65.8,"_","_","_","_",-0.5,7.1,"_",2.9,"_","_","_","_",1.0,2.8,"_","_","_","_","_","_","_",5.7,"_","_"
