Date;IPC_Month_Var
sep-19;0
ago-19;-0,1
jul-19;-0,6
jun-19;-0,1
may-19;0,2
abr-19;1
mar-19;0,4
feb-19;0,2
ene-19;-1,3
dic-18;-0,4
nov-18;-0,1
oct-18;0,9
sep-18;0,2
ago-18;0,1
jul-18;-0,7
jun-18;0,3
may-18;0,9
abr-18;0,8
mar-18;0,1
feb-18;0,1
ene-18;-1,1
dic-17;0
nov-17;0,5
oct-17;0,9
sep-17;0,2
ago-17;0,2
jul-17;-0,7
jun-17;0
may-17;-0,1
abr-17;1
mar-17;0
feb-17;-0,4
ene-17;-0,5
dic-16;0,6
nov-16;0,4
oct-16;1,1
sep-16;0
ago-16;0,1
jul-16;-0,7
jun-16;0,5
may-16;0,5
abr-16;0,7
mar-16;0,6
feb-16;-0,4
ene-16;-1,9
dic-15;-0,3
nov-15;0,4
oct-15;0,6
sep-15;-0,3
ago-15;-0,3
jul-15;-0,9
jun-15;0,3
may-15;0,5
abr-15;0,9
mar-15;0,6
feb-15;0,2
ene-15;-1,6
dic-14;-0,6
nov-14;-0,1
oct-14;0,5
sep-14;0,2
ago-14;0,2
jul-14;-0,9
jun-14;0
may-14;0
abr-14;0,9
mar-14;0,2
feb-14;0
ene-14;-1,3
dic-13;0,1
nov-13;0.2
oct-13;0,4
sep-13;-0.2
ago-13;0,3
jul-13;-0.5
jun-13;0,1
may-13;0.2
abr-13;0,4
mar-13;0.4
feb-13;0,2
ene-13;-1.3
dic-12;0,1
nov-12;-0,1
oct-12;0,8
sep-12;1
ago-12;0,6
jul-12;-0,2
jun-12;-0,2
may-12;-0,1
abr-12;1,4
mar-12;0,7
feb-12;0,1
ene-12;-1,1
dic-11;0,1
nov-11;0,4
oct-11;0,8
sep-11;0,2
ago-11;0,1
jul-11;-0,5
jun-11;-0,1
may-11;0
abr-11;1,2
mar-11;0,7
feb-11;0,1
ene-11;-0,7
dic-10;0,6
nov-10;0,5
oct-10;0,9
sep-10;0,1
ago-10;0,3
jul-10;-0,4
jun-10;0,2
may-10;0,2
abr-10;1,1
mar-10;0,7
feb-10;-0,2
ene-10;-1
dic-09;0
nov-09;0,5
oct-09;0,7
sep-09;-0,2
;
