"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"23.10.2019","7,195","7,170","7,235","7,150","-","0,35%"
"22.10.2019","7,170","7,250","7,390","7,120","922,12K","-0,14%"
"21.10.2019","7,180","7,100","7,420","7,050","1,67M","2,57%"
"18.10.2019","7,000","7,140","7,170","6,960","1,50M","-4,11%"
"17.10.2019","7,300","7,390","7,440","7,220","692,25K","-1,62%"
"16.10.2019","7,420","7,420","7,490","7,330","531,12K","0,41%"
"15.10.2019","7,390","7,250","7,420","7,250","913,98K","1,79%"
"14.10.2019","7,260","7,350","7,360","7,210","532,33K","-1,09%"
"11.10.2019","7,340","7,220","7,340","7,120","1,49M","1,66%"
"10.10.2019","7,220","7,080","7,220","7,080","581,75K","1,40%"
"09.10.2019","7,120","7,050","7,160","7,030","523,86K","0,42%"
"08.10.2019","7,090","7,130","7,150","7,040","713,92K","-0,28%"
"07.10.2019","7,110","7,050","7,120","7,000","535,67K","0,85%"
"04.10.2019","7,050","7,060","7,110","6,970","563,81K","0,57%"
"03.10.2019","7,010","7,020","7,040","6,920","593,17K","-0,43%"
"02.10.2019","7,040","7,210","7,210","7,030","583,55K","-1,68%"
"01.10.2019","7,160","7,150","7,300","7,130","638,86K","0,56%"
"30.09.2019","7,120","7,130","7,160","7,020","819,04K","0,71%"
"27.09.2019","7,070","7,050","7,120","7,000","501,49K","1,00%"
"26.09.2019","7,000","7,110","7,240","7,000","499,96K","-2,37%"
"25.09.2019","7,170","7,200","7,200","7,010","474,86K","0,14%"
"24.09.2019","7,160","7,170","7,200","7,090","438,60K","0,14%"
"23.09.2019","7,150","7,160","7,180","7,040","679,90K","-0,69%"
"20.09.2019","7,200","7,350","7,380","7,120","909,46K","-2,04%"
"19.09.2019","7,350","7,410","7,470","7,350","548,35K","-1,34%"
"18.09.2019","7,450","7,360","7,450","7,330","581,22K","1,09%"
"17.09.2019","7,370","7,470","7,550","7,290","649,23K","-1,47%"
"16.09.2019","7,480","7,530","7,530","7,430","407,87K","-0,93%"
"13.09.2019","7,550","7,360","7,600","7,360","352,78K","2,44%"
"12.09.2019","7,370","7,600","7,620","7,330","739,54K","-3,03%"
"11.09.2019","7,600","7,630","7,670","7,550","307,75K","0,93%"
"10.09.2019","7,530","7,430","7,630","7,410","1,09M","1,35%"
"09.09.2019","7,430","7,240","7,460","7,240","586,97K","3,48%"
"06.09.2019","7,180","7,410","7,430","7,170","878,65K","-4,27%"
"05.09.2019","7,500","7,460","7,500","7,380","642,80K","1,63%"
"04.09.2019","7,380","7,330","7,510","7,330","375,91K","1,23%"
"03.09.2019","7,290","7,290","7,370","7,260","476,13K","0,00%"
"02.09.2019","7,290","7,510","7,550","7,220","541,63K","-2,80%"
"30.08.2019","7,500","7,240","7,580","7,240","1,04M","3,45%"
"29.08.2019","7,250","7,170","7,270","7,130","409,55K","1,12%"
"28.08.2019","7,170","7,170","7,250","7,080","353,51K","-1,10%"
"27.08.2019","7,250","7,240","7,310","7,180","347,81K","0,00%"
"26.08.2019","7,250","7,170","7,260","7,090","356,43K","1,12%"
"23.08.2019","7,170","7,280","7,390","7,170","268,74K","-1,10%"
"22.08.2019","7,250","7,260","7,360","7,220","436,68K","0,00%"
"21.08.2019","7,250","7,170","7,300","7,170","382,88K","1,12%"
"20.08.2019","7,170","7,310","7,330","7,160","359,07K","-1,78%"
"19.08.2019","7,300","7,180","7,320","7,180","477,15K","2,24%"
"16.08.2019","7,140","6,930","7,140","6,930","499,00K","3,03%"
"15.08.2019","6,930","7,040","7,100","6,910","562,99K","-1,00%"
"14.08.2019","7,000","7,250","7,250","6,930","524,15K","-2,91%"
"13.08.2019","7,210","7,220","7,340","7,120","569,97K","-0,55%"
"12.08.2019","7,250","7,330","7,390","7,190","355,41K","-0,41%"
"09.08.2019","7,280","7,460","7,510","7,270","488,28K","-2,80%"
"08.08.2019","7,490","7,410","7,790","7,330","692,39K","1,90%"
"07.08.2019","7,350","7,160","7,420","7,110","915,35K","3,81%"
"06.08.2019","7,080","7,380","7,410","7,070","1,11M","-4,07%"
"05.08.2019","7,380","7,350","7,430","7,310","784,31K","-1,47%"
"02.08.2019","7,490","7,720","7,770","7,480","1,32M","-4,34%"
"01.08.2019","7,830","7,960","7,980","7,620","1,31M","-1,76%"
"31.07.2019","7,970","8,110","8,110","7,970","1,18M","-1,73%"
"30.07.2019","8,110","8,360","8,360","8,080","544,10K","-2,52%"
"29.07.2019","8,320","8,190","8,320","8,190","423,50K","1,09%"
"26.07.2019","8,230","8,160","8,250","8,160","441,25K","0,37%"
"25.07.2019","8,200","8,310","8,370","8,140","438,37K","-1,09%"
"24.07.2019","8,290","8,160","8,350","8,150","456,17K","1,10%"
"23.07.2019","8,200","8,110","8,260","8,060","883,10K","1,36%"
"22.07.2019","8,090","8,040","8,090","7,960","522,60K","1,13%"
"19.07.2019","8,000","8,030","8,050","7,960","505,86K","0,50%"
"18.07.2019","7,960","8,010","8,010","7,880","839,73K","-1,12%"
"17.07.2019","8,050","8,140","8,180","8,030","634,26K","-1,35%"
"16.07.2019","8,160","8,170","8,240","8,140","1,02M","0,00%"
"15.07.2019","8,160","8,140","8,220","8,100","333,77K","0,37%"
"12.07.2019","8,130","8,040","8,210","8,040","650,66K","1,12%"
"11.07.2019","8,040","8,060","8,100","8,010","585,38K","-0,25%"
"10.07.2019","8,060","8,160","8,180","8,060","743,36K","-0,86%"
"09.07.2019","8,130","8,300","8,300","8,110","579,47K","-2,05%"
"08.07.2019","8,300","8,450","8,450","8,290","387,38K","-1,31%"
"05.07.2019","8,410","8,540","8,540","8,400","555,69K","-2,55%"
"04.07.2019","8,630","8,650","8,690","8,600","394,08K","0,23%"
"03.07.2019","8,610","8,490","8,620","8,410","530,83K","2,50%"
"02.07.2019","8,400","8,520","8,540","8,360","304,17K","-1,18%"
"01.07.2019","8,500","8,470","8,520","8,420","402,30K","1,19%"
"28.06.2019","8,400","8,210","8,400","8,210","484,90K","2,31%"
"27.06.2019","8,210","8,280","8,280","8,140","436,03K","0,00%"
"26.06.2019","8,210","8,210","8,280","8,180","293,89K","0,24%"
"25.06.2019","8,190","8,300","8,300","8,180","297,97K","-0,73%"
"24.06.2019","8,250","8,160","8,260","8,100","448,91K","0,98%"
"21.06.2019","8,170","8,150","8,230","8,130","1,06M","0,00%"
"20.06.2019","8,170","8,210","8,310","8,170","722,93K","-1,21%"
"19.06.2019","8,270","8,350","8,400","8,250","437,79K","-0,60%"
"18.06.2019","8,320","8,410","8,460","8,310","1,27M","-1,54%"
"17.06.2019","8,450","8,490","8,580","8,440","325,21K","0,12%"
"14.06.2019","8,440","8,600","8,600","8,420","360,40K","-1,40%"
"13.06.2019","8,560","8,490","8,590","8,450","304,59K","1,18%"
"12.06.2019","8,460","8,560","8,670","8,460","398,50K","-1,51%"
"11.06.2019","8,590","8,600","8,610","8,520","527,66K","0,94%"
"10.06.2019","8,510","8,370","8,570","8,370","742,17K","2,04%"
"07.06.2019","8,340","8,300","8,380","8,300","439,70K","0,36%"
