"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"23.10.2019","13,08","13,12","13,13","13,04","-","-0,30%"
"22.10.2019","13,12","13,11","13,20","13,08","1,00M","-0,53%"
"21.10.2019","13,19","13,22","13,22","13,04","1,26M","-0,08%"
"18.10.2019","13,20","13,13","13,27","13,07","841,82K","-0,90%"
"17.10.2019","13,32","13,39","13,57","13,29","1,06M","-0,37%"
"16.10.2019","13,37","13,26","13,42","13,24","886,15K","0,68%"
"15.10.2019","13,28","13,26","13,35","13,20","996,20K","0,23%"
"14.10.2019","13,25","13,19","13,25","13,07","951,59K","0,30%"
"11.10.2019","13,21","12,92","13,21","12,88","1,36M","2,17%"
"10.10.2019","12,93","12,90","12,93","12,74","1,14M","0,62%"
"09.10.2019","12,85","12,95","13,00","12,78","1,39M","-0,77%"
"08.10.2019","12,95","12,91","12,98","12,84","1,03M","0,70%"
"07.10.2019","12,86","12,90","12,90","12,72","706,62K","0,08%"
"04.10.2019","12,85","12,78","12,86","12,67","852,28K","1,18%"
"03.10.2019","12,70","12,64","12,88","12,61","516,85K","0,40%"
"02.10.2019","12,65","12,85","12,85","12,64","719,09K","-1,79%"
"01.10.2019","12,88","12,88","12,91","12,77","1,44M","0,55%"
"30.09.2019","12,81","12,81","12,87","12,70","802,51K","0,08%"
"27.09.2019","12,80","12,93","12,93","12,71","656,47K","-0,70%"
"26.09.2019","12,89","12,62","12,92","12,60","1,03M","2,06%"
"25.09.2019","12,63","12,67","12,70","12,54","700,61K","-0,47%"
"24.09.2019","12,69","12,83","12,83","12,64","1,04M","-0,78%"
"23.09.2019","12,79","12,74","12,79","12,65","689,59K","0,16%"
"20.09.2019","12,77","12,70","12,82","12,63","1,90M","0,71%"
"19.09.2019","12,68","12,60","12,73","12,54","874,92K","0,79%"
"18.09.2019","12,58","12,20","12,59","12,20","1,62M","3,11%"
"17.09.2019","12,20","11,97","12,20","11,92","1,15M","2,26%"
"16.09.2019","11,93","11,93","12,04","11,89","694,94K","-0,25%"
"13.09.2019","11,96","11,94","11,96","11,85","715,19K","0,34%"
"12.09.2019","11,92","11,94","12,02","11,77","1,09M","0,17%"
"11.09.2019","11,90","12,00","12,00","11,81","1,04M","-0,34%"
"10.09.2019","11,94","12,09","12,10","11,86","1,16M","-1,00%"
"09.09.2019","12,06","12,08","12,14","12,02","489,33K","0,17%"
"06.09.2019","12,04","12,07","12,13","12,03","601,52K","-0,41%"
"05.09.2019","12,09","12,19","12,21","12,01","728,45K","-0,25%"
"04.09.2019","12,12","12,20","12,23","12,09","603,93K","0,50%"
"03.09.2019","12,06","12,05","12,18","12,05","701,44K","-0,25%"
"02.09.2019","12,09","12,15","12,19","12,06","941,50K","-0,58%"
"30.08.2019","12,16","12,02","12,22","12,02","815,97K","0,58%"
"29.08.2019","12,09","12,24","12,31","12,07","679,21K","-0,98%"
"28.08.2019","12,21","12,24","12,30","12,20","990,40K","-1,37%"
"27.08.2019","12,38","12,30","12,39","12,22","946,54K","0,32%"
"26.08.2019","12,34","12,14","12,40","12,13","390,90K","0,82%"
"23.08.2019","12,24","12,27","12,38","12,17","594,64K","-0,08%"
"22.08.2019","12,25","12,11","12,25","12,07","765,02K","0,66%"
"21.08.2019","12,17","12,22","12,27","12,07","397,40K","-0,16%"
"20.08.2019","12,19","12,28","12,34","12,15","439,98K","-0,65%"
"19.08.2019","12,27","12,24","12,28","12,19","454,84K","0,99%"
"16.08.2019","12,15","12,06","12,16","12,06","554,06K","0,58%"
"15.08.2019","12,08","12,14","12,23","11,98","550,22K","-0,25%"
"14.08.2019","12,11","12,10","12,13","12,02","719,41K","0,25%"
"13.08.2019","12,08","12,01","12,13","11,95","748,21K","0,25%"
"12.08.2019","12,05","12,15","12,22","12,02","612,85K","-0,50%"
"09.08.2019","12,11","11,90","12,11","11,86","1,11M","1,51%"
"08.08.2019","11,93","11,88","11,99","11,82","601,40K","0,68%"
"07.08.2019","11,85","11,74","11,87","11,74","607,28K","1,20%"
"06.08.2019","11,71","11,85","11,95","11,71","878,78K","-1,10%"
"05.08.2019","11,84","12,12","12,14","11,70","1,07M","-2,87%"
"02.08.2019","12,19","12,35","12,56","12,19","1,13M","-1,93%"
"01.08.2019","12,43","12,37","12,47","12,28","790,10K","0,65%"
"31.07.2019","12,35","12,38","12,44","12,27","851,78K","0,08%"
"30.07.2019","12,34","12,49","12,51","12,25","604,41K","-0,88%"
"29.07.2019","12,45","12,41","12,49","12,39","571,96K","0,32%"
"26.07.2019","12,41","12,55","12,55","12,33","630,73K","-0,88%"
"25.07.2019","12,52","12,55","12,63","12,44","551,25K","0,00%"
"24.07.2019","12,52","12,36","12,54","12,36","726,20K","0,97%"
"23.07.2019","12,40","12,31","12,43","12,24","699,42K","0,98%"
"22.07.2019","12,28","12,43","12,43","12,11","573,15K","-1,29%"
"19.07.2019","12,44","12,53","12,55","12,40","526,87K","-0,16%"
"18.07.2019","12,46","12,43","12,50","12,37","679,76K","-0,56%"
"17.07.2019","12,53","12,40","12,57","12,40","545,02K","0,89%"
"16.07.2019","12,42","12,48","12,48","12,35","583,47K","-0,64%"
"15.07.2019","12,50","12,47","12,52","12,37","469,86K","0,89%"
"12.07.2019","12,39","12,40","12,49","12,35","693,49K","-0,32%"
"11.07.2019","12,43","12,46","12,55","12,36","445,22K","0,00%"
"10.07.2019","12,43","12,58","12,58","12,39","468,11K","-1,35%"
"09.07.2019","12,60","12,49","12,60","12,49","802,36K","0,56%"
"08.07.2019","12,53","12,48","12,55","12,44","1,18M","0,40%"
"05.07.2019","12,48","12,58","12,63","12,44","477,58K","-0,79%"
"04.07.2019","12,58","12,54","12,64","12,45","892,00K","0,64%"
"03.07.2019","12,50","12,35","12,54","12,35","1,05M","1,21%"
"02.07.2019","12,35","12,21","12,35","12,15","692,92K","0,90%"
"01.07.2019","12,24","12,27","12,27","12,13","814,49K","0,33%"
"28.06.2019","12,20","11,89","12,20","11,88","1,19M","2,43%"
"27.06.2019","11,91","12,10","12,10","11,86","875,87K","-1,33%"
"26.06.2019","12,07","12,29","12,29","12,06","845,28K","-1,79%"
"25.06.2019","12,29","12,31","12,34","12,23","715,73K","-0,49%"
"24.06.2019","12,35","12,35","12,42","12,32","975,36K","-0,08%"
"21.06.2019","12,36","12,27","12,36","12,23","2,23M","0,98%"
"20.06.2019","12,24","12,24","12,37","12,15","964,49K","0,66%"
"19.06.2019","12,16","12,24","12,24","12,11","1,94M","-0,90%"
