"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"23.10.2019","23,930","24,060","24,130","23,925","-","-0,79%"
"22.10.2019","24,120","23,920","24,250","23,830","440,42K","0,58%"
"21.10.2019","23,980","24,220","24,290","23,800","781,67K","-0,75%"
"18.10.2019","24,160","24,120","24,280","24,070","708,34K","0,33%"
"17.10.2019","24,080","24,140","24,490","24,000","1,67M","0,21%"
"16.10.2019","24,030","24,250","24,390","23,920","1,21M","-0,91%"
"15.10.2019","24,250","24,150","24,370","24,120","1,19M","0,50%"
"14.10.2019","24,130","23,930","24,180","23,870","1,29M","0,79%"
"11.10.2019","23,940","23,720","23,940","23,540","1,85M","0,93%"
"10.10.2019","23,720","23,600","23,740","23,430","822,59K","0,30%"
"09.10.2019","23,650","23,770","23,770","23,470","1,69M","-0,30%"
"08.10.2019","23,720","24,000","24,000","23,680","1,58M","-0,84%"
"07.10.2019","23,920","23,660","23,970","23,640","578,30K","1,36%"
"04.10.2019","23,600","23,630","23,750","23,490","913,36K","0,47%"
"03.10.2019","23,490","23,610","23,680","23,350","966,99K","-0,25%"
"02.10.2019","23,550","24,380","24,380","23,550","1,32M","-3,21%"
"01.10.2019","24,330","24,350","24,430","24,220","687,99K","-0,04%"
"30.09.2019","24,340","24,160","24,480","24,120","903,58K","1,37%"
"27.09.2019","24,010","24,110","24,280","23,960","704,66K","-0,50%"
"26.09.2019","24,130","23,850","24,160","23,790","1,02M","1,51%"
"25.09.2019","23,770","24,360","24,360","23,770","814,45K","-2,50%"
"24.09.2019","24,380","24,330","24,410","24,180","738,77K","0,16%"
"23.09.2019","24,340","24,240","24,590","24,170","3,04M","0,12%"
"20.09.2019","24,310","24,340","24,610","24,180","2,34M","0,12%"
"19.09.2019","24,280","24,250","24,390","24,090","1,28M","0,33%"
"18.09.2019","24,200","23,620","24,420","23,500","2,30M","2,11%"
"17.09.2019","23,700","23,260","23,730","23,230","1,75M","2,11%"
"16.09.2019","23,210","22,950","23,320","22,930","1,09M","0,91%"
"13.09.2019","23,000","23,400","23,470","22,970","1,20M","-2,04%"
"12.09.2019","23,480","23,380","23,770","23,210","1,62M","0,64%"
"11.09.2019","23,330","23,270","23,430","22,980","2,09M","0,78%"
"10.09.2019","23,150","22,920","23,180","22,600","938,97K","1,40%"
"09.09.2019","22,830","23,210","23,290","22,820","1,27M","-1,55%"
"06.09.2019","23,190","23,660","23,720","23,130","1,22M","-2,36%"
"05.09.2019","23,750","23,890","23,930","23,660","698,59K","-0,21%"
"04.09.2019","23,800","23,920","23,950","23,720","1,02M","0,17%"
"03.09.2019","23,760","23,860","24,010","23,760","1,31M","-0,59%"
"02.09.2019","23,900","24,000","24,220","23,890","691,14K","0,42%"
"30.08.2019","23,800","23,860","24,000","23,740","957,13K","-0,04%"
"29.08.2019","23,810","23,960","24,080","23,780","556,72K","-0,54%"
"28.08.2019","23,940","23,900","24,070","23,800","491,49K","-0,08%"
"27.08.2019","23,960","23,580","24,070","23,520","997,92K","1,31%"
"26.08.2019","23,650","23,300","23,660","23,290","352,63K","0,55%"
"23.08.2019","23,520","23,450","23,660","23,430","468,84K","0,21%"
"22.08.2019","23,470","23,710","23,850","23,420","661,06K","-1,01%"
"21.08.2019","23,710","23,700","23,880","23,700","644,23K","0,42%"
"20.08.2019","23,610","23,850","23,950","23,570","553,31K","-1,30%"
"19.08.2019","23,920","23,810","23,920","23,560","741,75K","0,93%"
"16.08.2019","23,700","23,320","23,780","23,320","730,96K","1,50%"
"15.08.2019","23,350","23,340","23,480","23,170","817,71K","-0,34%"
"14.08.2019","23,430","23,380","23,540","23,290","1,81M","-0,21%"
"13.08.2019","23,480","23,360","23,590","23,360","1,25M","0,17%"
"12.08.2019","23,440","23,520","23,650","23,400","812,75K","-0,21%"
"09.08.2019","23,490","23,550","23,590","23,380","1,52M","-0,21%"
"08.08.2019","23,540","23,630","23,630","23,360","1,00M","0,26%"
"07.08.2019","23,480","23,350","23,600","23,300","1,11M","0,90%"
"06.08.2019","23,270","23,190","23,470","23,120","1,02M","-0,30%"
"05.08.2019","23,340","23,000","23,380","22,960","827,36K","0,09%"
"02.08.2019","23,320","23,070","23,540","23,060","1,17M","0,30%"
"01.08.2019","23,250","22,880","23,280","22,870","1,05M","1,53%"
"31.07.2019","22,900","22,620","22,920","22,440","1,63M","1,15%"
"30.07.2019","22,640","23,200","23,200","22,640","989,88K","-2,12%"
"29.07.2019","23,130","22,800","23,130","22,800","954,93K","0,35%"
