"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"23.10.2019","18,190","18,195","18,273","18,127","-","-0,03%"
"22.10.2019","18,195","18,010","18,195","17,980","648,31K","1,03%"
"21.10.2019","18,010","18,150","18,165","17,940","3,93M","-0,41%"
"18.10.2019","18,085","17,950","18,125","17,905","3,82M","0,98%"
"17.10.2019","17,910","18,105","18,215","17,895","1,76M","-1,05%"
"16.10.2019","18,100","18,070","18,155","17,965","2,83M","0,22%"
"15.10.2019","18,060","18,075","18,140","17,970","2,15M","-0,06%"
"14.10.2019","18,070","18,010","18,225","17,970","791,30K","0,39%"
"11.10.2019","18,000","18,025","18,035","17,860","1,22M","0,50%"
"10.10.2019","17,910","18,055","18,075","17,835","1,60M","-0,67%"
"09.10.2019","18,030","18,035","18,150","17,995","1,17M","0,00%"
"08.10.2019","18,030","18,170","18,180","17,990","1,95M","0,00%"
"07.10.2019","18,030","18,085","18,180","18,005","1,37M","-0,30%"
"04.10.2019","18,085","18,100","18,130","17,990","1,07M","0,36%"
"03.10.2019","18,020","18,130","18,180","17,980","1,07M","0,11%"
"02.10.2019","18,000","18,565","18,565","18,000","2,09M","-2,76%"
"01.10.2019","18,510","18,635","18,670","18,415","1,06M","-0,67%"
"30.09.2019","18,635","18,135","18,635","18,130","1,55M","2,62%"
"27.09.2019","18,160","18,220","18,275","18,065","906,89K","-0,36%"
"26.09.2019","18,225","18,040","18,225","17,990","1,08M","1,03%"
"25.09.2019","18,040","18,270","18,325","17,970","1,60M","-1,20%"
"24.09.2019","18,260","18,300","18,305","18,185","1,23M","-0,05%"
"23.09.2019","18,270","18,415","18,485","18,210","922,90K","-0,22%"
"20.09.2019","18,310","18,560","18,635","18,240","2,18M","-1,29%"
"19.09.2019","18,550","18,575","18,770","18,470","1,35M","-0,24%"
"18.09.2019","18,595","18,490","18,710","18,295","2,45M","0,57%"
"17.09.2019","18,490","18,055","18,495","18,015","3,00M","2,72%"
"16.09.2019","18,000","18,025","18,165","17,970","2,06M","-0,33%"
"13.09.2019","18,060","18,360","18,370","18,025","1,14M","-1,50%"
"12.09.2019","18,335","18,360","18,560","18,185","2,50M","0,14%"
"11.09.2019","18,310","18,080","18,310","17,825","1,99M","1,69%"
"10.09.2019","18,005","18,045","18,045","17,750","1,17M","0,14%"
"09.09.2019","17,980","18,150","18,180","17,980","961,45K","-1,05%"
"06.09.2019","18,170","18,305","18,320","18,140","1,12M","-0,76%"
"05.09.2019","18,310","18,380","18,400","18,220","1,16M","0,05%"
"04.09.2019","18,300","18,300","18,395","18,250","1,49M","-0,27%"
"03.09.2019","18,350","18,160","18,380","18,070","1,19M","0,96%"
"02.09.2019","18,175","18,070","18,280","18,050","676,13K","0,28%"
"30.08.2019","18,125","17,855","18,135","17,840","1,55M","2,08%"
"29.08.2019","17,755","17,780","17,975","17,745","700,03K","-0,39%"
"28.08.2019","17,825","17,845","17,950","17,700","1,92M","-0,36%"
"27.08.2019","17,890","17,610","17,900","17,485","1,83M","1,85%"
"26.08.2019","17,565","17,400","17,580","17,390","451,48K","0,69%"
"23.08.2019","17,445","17,595","17,650","17,445","2,61M","-0,29%"
"22.08.2019","17,495","17,610","17,695","17,495","952,46K","-0,54%"
"21.08.2019","17,590","17,600","17,660","17,485","557,11K","0,37%"
"20.08.2019","17,525","17,740","17,850","17,525","871,63K","-1,68%"
"19.08.2019","17,825","17,850","17,850","17,610","894,12K","0,25%"
"16.08.2019","17,780","17,505","17,910","17,500","1,04M","1,46%"
"15.08.2019","17,525","17,495","17,645","17,340","1,20M","0,34%"
"14.08.2019","17,465","17,600","17,705","17,380","1,13M","-0,74%"
"13.08.2019","17,595","17,585","17,835","17,560","1,08M","0,03%"
"12.08.2019","17,590","17,650","17,680","17,560","1,03M","-0,06%"
"09.08.2019","17,600","17,605","17,780","17,440","1,63M","-0,17%"
"08.08.2019","17,630","17,755","17,805","17,540","1,13M","-0,31%"
"07.08.2019","17,685","17,575","17,855","17,570","3,58M","0,88%"
"06.08.2019","17,530","17,535","17,710","17,330","2,15M","-0,26%"
"05.08.2019","17,575","17,515","17,730","17,485","1,41M","-0,40%"
"02.08.2019","17,645","17,410","17,765","17,385","2,56M","0,83%"
"01.08.2019","17,500","17,080","17,540","17,020","1,70M","2,34%"
"31.07.2019","17,100","17,105","17,180","16,740","2,57M","0,47%"
"30.07.2019","17,020","17,305","17,365","17,005","2,93M","-1,19%"
"29.07.2019","17,225","17,200","17,500","17,200","1,69M","-0,17%"
"26.07.2019","17,255","17,435","17,435","17,185","1,32M","-1,06%"
"25.07.2019","17,440","17,405","17,775","17,275","1,34M","0,66%"
"24.07.2019","17,325","17,300","17,470","17,185","1,17M","-0,06%"
"23.07.2019","17,335","17,515","17,565","17,315","2,05M","-1,14%"
"22.07.2019","17,535","17,605","17,645","17,380","2,54M","-0,82%"
"19.07.2019","17,680","17,740","17,835","17,570","1,32M","0,14%"
"18.07.2019","17,655","17,450","17,755","17,320","4,72M","-0,56%"
"17.07.2019","17,755","17,385","17,805","17,350","2,27M","1,75%"
"16.07.2019","17,450","17,685","17,695","17,360","10,26M","-0,99%"
"15.07.2019","17,625","17,535","17,875","17,305","2,57M","0,37%"
"12.07.2019","17,560","17,535","17,615","17,475","5,77M","-0,17%"
"11.07.2019","17,590","17,575","17,715","17,515","1,66M","0,29%"
"10.07.2019","17,540","17,610","17,655","17,330","2,10M","-1,18%"
"09.07.2019","17,750","17,650","17,805","17,535","1,84M","0,31%"
"08.07.2019","17,695","17,840","17,850","17,450","3,21M","-1,03%"
"05.07.2019","17,880","18,640","18,835","17,765","8,10M","-3,77%"
"04.07.2019","18,580","18,950","18,950","18,490","13,30M","-1,69%"
"03.07.2019","18,900","18,730","19,025","18,715","5,42M","1,39%"
"02.07.2019","18,640","18,375","18,705","18,225","7,27M","1,64%"
"01.07.2019","18,340","18,540","18,540","18,080","2,93M","0,14%"
"28.06.2019","18,315","18,640","18,640","18,305","2,72M","-1,93%"
"27.06.2019","18,675","19,000","19,005","18,510","1,88M","-4,99%"
"26.06.2019","19,655","19,640","19,835","19,635","1,58M","-0,46%"
"25.06.2019","19,745","19,610","19,770","19,525","1,49M","1,00%"
"24.06.2019","19,550","19,745","19,930","19,475","2,70M","-1,49%"
"21.06.2019","19,845","19,475","19,845","19,390","11,12M","2,43%"
"20.06.2019","19,375","19,600","19,645","19,225","15,14M","-0,49%"
"19.06.2019","19,470","19,720","19,730","19,395","5,35M","-0,79%"
"18.06.2019","19,625","19,260","19,770","19,150","6,77M","2,24%"
"17.06.2019","19,195","19,455","19,495","19,195","2,13M","-0,93%"
"14.06.2019","19,375","19,560","19,660","19,370","1,89M","-0,49%"
"13.06.2019","19,470","19,460","19,695","19,460","1,24M","-0,18%"
"12.06.2019","19,505","19,195","19,555","19,195","1,18M","1,35%"
"11.06.2019","19,245","19,430","19,440","19,165","904,90K","-0,39%"
"10.06.2019","19,320","19,660","19,670","19,320","656,93K","-1,78%"
"07.06.2019","19,670","19,570","19,680","19,420","1,12M","1,18%"
"06.06.2019","19,440","19,255","19,535","19,255","3,94M","1,33%"
"05.06.2019","19,185","18,960","19,210","18,860","5,39M","2,02%"
"04.06.2019","18,805","19,105","19,130","18,805","1,56M","-1,72%"
"03.06.2019","19,135","18,975","19,220","18,855","1,17M","0,55%"
"31.05.2019","19,030","19,125","19,210","18,775","1,90M","-0,73%"
"30.05.2019","19,170","19,085","19,290","19,080","935,50K","0,55%"
"29.05.2019","19,065","19,545","19,545","19,050","1,51M","-2,58%"
"28.05.2019","19,570","19,900","19,940","19,560","1,38M","-1,78%"
"27.05.2019","19,925","19,780","19,970","19,780","493,94K","1,12%"
"24.05.2019","19,705","19,735","19,875","19,675","1,25M","-0,08%"
"23.05.2019","19,720","19,730","19,875","19,570","1,10M","-0,53%"
"22.05.2019","19,825","19,700","19,825","19,645","1,02M","0,61%"
"21.05.2019","19,705","19,680","19,785","19,470","1,61M","0,46%"
"20.05.2019","19,615","19,700","19,850","19,600","1,58M","-0,23%"
"17.05.2019","19,660","19,555","19,710","19,445","2,42M","0,98%"
"16.05.2019","19,470","19,360","19,535","19,275","1,48M","0,70%"
"15.05.2019","19,335","19,290","19,395","19,110","2,14M","0,42%"
"14.05.2019","19,255","19,380","19,380","19,140","1,30M","-0,36%"
"13.05.2019","19,325","18,930","19,350","18,920","3,40M","2,25%"
"10.05.2019","18,900","18,605","19,020","18,605","2,50M","1,34%"
"09.05.2019","18,650","18,400","18,880","18,400","3,06M","1,19%"
"08.05.2019","18,430","18,550","18,610","18,300","1,39M","-0,54%"
"07.05.2019","18,530","18,400","18,575","18,380","2,85M","0,79%"
"06.05.2019","18,385","18,225","18,385","18,220","683,78K","0,25%"
"03.05.2019","18,340","18,335","18,355","18,170","1,18M","0,49%"
"02.05.2019","18,250","18,500","18,530","18,215","2,02M","-1,27%"
"30.04.2019","18,485","18,315","18,545","18,275","2,00M","1,09%"
"29.04.2019","18,285","18,205","18,285","18,070","922,70K","-0,30%"
"26.04.2019","18,340","18,400","18,485","18,205","1,02M","0,30%"
"25.04.2019","18,285","18,180","18,410","18,170","1,34M","0,19%"
"24.04.2019","18,250","18,305","18,335","18,080","1,02M","-0,27%"
"23.04.2019","18,300","18,300","18,390","18,220","989,43K","-0,08%"
"18.04.2019","18,315","18,265","18,385","18,135","845,53K","0,08%"
"17.04.2019","18,300","18,245","18,380","18,010","3,41M","0,38%"
"16.04.2019","18,230","18,555","18,600","18,230","2,00M","-1,62%"
"15.04.2019","18,530","18,620","18,720","18,500","1,52M","-0,11%"
"12.04.2019","18,550","18,715","18,895","18,440","2,60M","-0,48%"
"11.04.2019","18,640","18,780","18,780","18,600","1,70M","-0,96%"
"10.04.2019","18,820","18,815","19,000","18,815","2,05M","0,03%"
"09.04.2019","18,815","18,850","18,880","18,675","2,21M","-0,19%"
"08.04.2019","18,850","19,000","19,085","18,850","2,00M","-0,66%"
"05.04.2019","18,975","19,105","19,105","18,770","1,27M","-0,55%"
"04.04.2019","19,080","18,975","19,120","18,960","1,22M","0,61%"
"03.04.2019","18,965","19,000","19,040","18,810","1,71M","0,42%"
"02.04.2019","18,885","18,780","18,935","18,780","1,53M","0,53%"
"01.04.2019","18,785","19,050","19,085","18,725","1,67M","-1,13%"
"29.03.2019","19,000","19,155","19,170","18,900","1,51M","-0,24%"
"28.03.2019","19,045","19,200","19,305","19,045","1,06M","-1,04%"
"27.03.2019","19,245","19,300","19,300","18,985","1,43M","-0,28%"
"26.03.2019","19,300","19,260","19,390","19,205","1,62M","0,36%"
"25.03.2019","19,230","19,310","19,440","19,205","1,86M","-0,93%"
"22.03.2019","19,410","19,590","19,590","19,300","3,51M","-0,67%"
"21.03.2019","19,540","19,480","19,585","19,410","1,28M","0,51%"
"20.03.2019","19,440","19,480","19,560","19,415","2,55M","-0,31%"
"19.03.2019","19,500","19,200","19,565","19,200","1,74M","1,30%"
"18.03.2019","19,250","19,175","19,290","19,115","1,18M","0,36%"
"15.03.2019","19,180","19,200","19,335","19,120","3,60M","-0,29%"
"14.03.2019","19,235","19,095","19,325","19,045","1,84M","1,00%"
"13.03.2019","19,045","19,130","19,190","18,980","1,51M","-0,57%"
"12.03.2019","19,155","19,005","19,155","18,920","1,48M","0,52%"
"11.03.2019","19,055","19,115","19,130","18,905","1,01M","-0,13%"
"08.03.2019","19,080","19,115","19,280","19,045","1,25M","-0,73%"
"07.03.2019","19,220","18,730","19,220","18,675","2,19M","2,64%"
"06.03.2019","18,725","18,495","18,860","18,495","1,66M","1,41%"
"05.03.2019","18,465","18,500","18,540","18,330","2,71M","-1,86%"
"04.03.2019","18,815","18,800","18,820","18,690","2,34M","0,43%"
"01.03.2019","18,735","18,935","18,935","18,620","2,00M","-1,39%"
"28.02.2019","19,000","18,855","19,040","18,810","1,62M","0,11%"
"27.02.2019","18,980","19,060","19,095","18,835","1,68M","-0,50%"
"26.02.2019","19,075","19,050","19,155","19,000","1,23M","-0,16%"
"25.02.2019","19,105","19,200","19,265","18,925","1,44M","-0,23%"
"22.02.2019","19,150","18,750","19,150","18,720","3,59M","1,46%"
"21.02.2019","18,875","18,920","19,010","18,600","4,15M","0,16%"
"20.02.2019","18,845","19,420","19,475","18,725","3,30M","-2,58%"
"19.02.2019","19,345","19,425","19,455","19,330","1,32M","-0,41%"
"18.02.2019","19,425","19,350","19,495","19,285","1,26M","0,28%"
"15.02.2019","19,370","19,570","19,585","19,340","2,33M","-1,20%"
"14.02.2019","19,605","19,625","19,745","19,455","2,62M","0,28%"
"13.02.2019","19,550","19,885","19,885","19,425","2,23M","-1,64%"
"12.02.2019","19,875","19,890","20,070","19,875","1,13M","-0,08%"
"11.02.2019","19,890","20,170","20,170","19,845","1,06M","-0,95%"
"08.02.2019","20,080","20,100","20,250","20,080","801,48K","-0,59%"
"07.02.2019","20,200","20,240","20,300","20,080","1,08M","-0,20%"
"06.02.2019","20,240","20,190","20,370","20,130","1,19M","0,00%"
"05.02.2019","20,240","20,250","20,320","20,060","1,75M","0,00%"
"04.02.2019","20,240","19,870","20,240","19,855","1,76M","1,99%"
