"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"23.10.2019","42,230","41,740","42,620","41,730","-","0,60%"
"22.10.2019","41,980","41,840","42,780","41,380","128,63K","-0,14%"
"21.10.2019","42,040","42,060","42,840","41,680","472,88K","-0,24%"
"18.10.2019","42,140","42,000","42,580","41,820","107,42K","-0,28%"
"17.10.2019","42,260","42,660","43,100","42,240","84,12K","-0,89%"
"16.10.2019","42,640","42,320","42,980","41,920","71,83K","0,57%"
"15.10.2019","42,400","42,080","42,720","41,920","85,27K","0,90%"
"14.10.2019","42,020","42,300","42,300","41,100","104,60K","-0,99%"
"11.10.2019","42,440","41,660","42,440","41,220","132,57K","2,07%"
"10.10.2019","41,580","41,540","41,800","41,240","108,79K","0,19%"
"09.10.2019","41,500","41,360","41,780","41,140","76,13K","0,78%"
"08.10.2019","41,180","40,840","41,460","40,440","108,91K","1,18%"
"07.10.2019","40,700","40,560","40,880","40,180","138,43K","0,74%"
"04.10.2019","40,400","40,840","40,840","40,200","84,73K","-0,59%"
"03.10.2019","40,640","40,700","40,840","40,140","145,06K","-0,15%"
"02.10.2019","40,700","42,500","42,500","40,640","118,70K","-3,87%"
"01.10.2019","42,340","43,200","43,340","42,300","75,53K","-1,53%"
"30.09.2019","43,000","42,340","43,060","42,280","91,29K","1,46%"
"27.09.2019","42,380","42,160","42,740","41,780","63,04K","1,19%"
"26.09.2019","41,880","41,480","42,160","41,380","101,70K","1,36%"
"25.09.2019","41,320","42,300","42,300","40,900","133,39K","-2,50%"
"24.09.2019","42,380","42,740","43,020","42,340","55,81K","-0,38%"
"23.09.2019","42,540","43,400","43,700","42,540","88,63K","-2,65%"
"20.09.2019","43,700","43,580","43,800","42,920","276,26K","0,64%"
"19.09.2019","43,420","43,500","44,460","43,240","118,03K","0,00%"
"18.09.2019","43,420","43,120","43,660","43,100","108,57K","0,23%"
"17.09.2019","43,320","42,880","43,400","42,780","102,61K","0,74%"
"16.09.2019","43,000","43,680","43,680","42,860","93,04K","-1,65%"
"13.09.2019","43,720","43,760","44,160","43,200","89,47K","0,23%"
"12.09.2019","43,620","45,200","45,540","43,240","133,38K","-3,11%"
"11.09.2019","45,020","45,100","45,380","44,900","135,32K","0,22%"
"10.09.2019","44,920","44,060","44,980","43,840","70,67K","2,18%"
"09.09.2019","43,960","44,060","44,480","43,840","58,48K","-0,09%"
"06.09.2019","44,000","44,540","44,980","44,000","90,25K","-1,35%"
"05.09.2019","44,600","44,400","44,880","44,160","70,86K","1,00%"
"04.09.2019","44,160","43,800","44,200","43,800","67,29K","1,42%"
"03.09.2019","43,540","43,540","43,840","43,300","76,23K","0,14%"
"02.09.2019","43,480","42,440","43,480","42,440","62,72K","2,60%"
"30.08.2019","42,380","42,480","42,620","42,220","166,16K","0,00%"
"29.08.2019","42,380","42,040","42,500","41,940","90,29K","1,19%"
"28.08.2019","41,880","42,380","42,520","41,840","89,97K","-1,32%"
"27.08.2019","42,440","42,340","42,760","42,180","96,18K","0,14%"
"26.08.2019","42,380","42,000","42,680","41,940","53,08K","0,62%"
"23.08.2019","42,120","42,860","43,000","42,120","67,77K","-0,80%"
"22.08.2019","42,460","42,880","43,080","42,440","57,37K","-1,30%"
"21.08.2019","43,020","42,800","43,320","42,800","98,46K","0,99%"
"20.08.2019","42,600","43,560","43,960","42,600","84,00K","-2,34%"
"19.08.2019","43,620","43,100","43,660","43,040","82,02K","1,21%"
"16.08.2019","43,100","42,620","43,360","42,620","87,65K","1,22%"
"15.08.2019","42,580","42,920","42,960","42,000","53,32K","-0,61%"
"14.08.2019","42,840","43,160","43,420","42,660","101,37K","-0,93%"
"13.08.2019","43,240","42,960","43,620","42,560","115,27K","0,42%"
"12.08.2019","43,060","43,780","44,020","42,960","55,68K","-1,24%"
"09.08.2019","43,600","44,700","44,740","43,340","66,99K","-2,68%"
"08.08.2019","44,800","44,420","44,880","44,380","47,47K","1,91%"
"07.08.2019","43,960","44,200","44,320","43,520","79,28K","0,23%"
"06.08.2019","43,860","45,340","45,620","43,860","84,52K","-3,09%"
"05.08.2019","45,260","45,800","46,040","45,060","80,81K","-2,12%"
"02.08.2019","46,240","46,380","47,160","46,180","153,82K","-2,53%"
"01.08.2019","47,440","44,460","47,580","44,300","176,31K","7,04%"
"31.07.2019","44,320","44,500","44,500","40,120","789,08K","-2,51%"
"30.07.2019","45,460","47,320","47,320","45,280","168,01K","-4,09%"
"29.07.2019","47,400","47,300","47,400","47,000","79,56K","0,64%"
"26.07.2019","47,100","47,160","47,200","46,800","72,31K","0,13%"
"25.07.2019","47,040","46,800","47,220","46,640","96,14K","0,60%"
"24.07.2019","46,760","46,620","46,960","46,480","132,47K","-0,21%"
"23.07.2019","46,860","46,900","47,440","46,720","112,01K","0,43%"
