"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"23.10.2019","2,671","2,635","2,675","2,615","74,64K","1,44%"
"22.10.2019","2,633","2,645","2,651","2,630","46,14K","-0,53%"
"21.10.2019","2,647","2,639","2,660","2,631","54,49K","0,42%"
"18.10.2019","2,636","2,600","2,646","2,585","71,81K","1,46%"
"17.10.2019","2,598","2,587","2,618","2,577","53,90K","0,31%"
"16.10.2019","2,590","2,612","2,613","2,573","54,26K","-0,92%"
"15.10.2019","2,614","2,632","2,642","2,606","53,71K","-0,76%"
"14.10.2019","2,634","2,627","2,635","2,594","58,73K","0,23%"
"11.10.2019","2,628","2,611","2,639","2,606","71,34K","0,54%"
"10.10.2019","2,614","2,569","2,620","2,547","76,15K","1,79%"
"09.10.2019","2,568","2,567","2,579","2,561","46,71K","0,00%"
"08.10.2019","2,568","2,573","2,602","2,562","62,32K","-0,35%"
"07.10.2019","2,577","2,557","2,590","2,553","49,61K","0,59%"
"04.10.2019","2,562","2,554","2,566","2,530","48,82K","0,31%"
"03.10.2019","2,554","2,566","2,582","2,538","51,49K","-0,66%"
"02.10.2019","2,571","2,565","2,586","2,547","62,20K","0,39%"
"01.10.2019","2,561","2,574","2,577","2,515","74,86K","-0,70%"
"30.09.2019","2,579","2,598","2,619","2,572","50,07K","-0,73%"
"27.09.2019","2,598","2,577","2,619","2,571","59,06K","0,78%"
"26.09.2019","2,578","2,611","2,619","2,574","52,15K","-1,30%"
"25.09.2019","2,612","2,604","2,623","2,587","55,85K","0,19%"
"24.09.2019","2,607","2,619","2,623","2,572","50,89K","-0,15%"
"23.09.2019","2,611","2,594","2,634","2,572","62,44K","0,15%"
"20.09.2019","2,607","2,607","2,634","2,586","54,67K","-0,04%"
"19.09.2019","2,608","2,613","2,624","2,603","42,04K","-0,19%"
"18.09.2019","2,613","2,625","2,638","2,598","42,94K","-0,53%"
"17.09.2019","2,627","2,643","2,647","2,606","56,69K","-0,49%"
"16.09.2019","2,640","2,692","2,707","2,638","75,60K","-2,22%"
"13.09.2019","2,700","2,643","2,704","2,640","64,70K","2,27%"
"12.09.2019","2,640","2,618","2,668","2,590","95,18K","0,96%"
"11.09.2019","2,615","2,623","2,638","2,600","54,05K","-0,49%"
"10.09.2019","2,628","2,627","2,643","2,603","57,00K","0,04%"
"09.09.2019","2,627","2,631","2,633","2,614","47,65K","-0,27%"
"06.09.2019","2,634","2,631","2,649","2,620","59,96K","-0,30%"
"05.09.2019","2,642","2,591","2,649","2,587","97,19K","1,81%"
"04.09.2019","2,595","2,529","2,598","2,527","75,99K","2,65%"
"03.09.2019","2,528","2,555","2,568","2,482","107,50K","-0,16%"
"02.09.2019","2,532","2,552","2,567","2,528","-","-0,78%"
"01.09.2019","2,552","2,557","2,557","2,547","-","0,04%"
"30.08.2019","2,551","2,575","2,583","2,546","59,78K","-1,05%"
"29.08.2019","2,578","2,569","2,597","2,553","70,76K","0,55%"
"28.08.2019","2,564","2,554","2,575","2,546","70,65K","0,43%"
"27.08.2019","2,553","2,545","2,577","2,535","64,33K","0,12%"
"26.08.2019","2,550","2,525","2,557","2,499","43,71K","0,47%"
"23.08.2019","2,538","2,567","2,583","2,532","56,09K","-1,09%"
"22.08.2019","2,566","2,586","2,591","2,557","47,82K","-1,00%"
