"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"23.10.2019","64,88","64,61","65,18","64,41","-","0,32%"
"22.10.2019","64,67","64,39","65,19","63,97","-","0,34%"
"21.10.2019","64,45","65,21","65,45","64,45","-","-1,12%"
"18.10.2019","65,18","65,14","65,39","65,01","-","0,14%"
"17.10.2019","65,09","64,53","65,14","64,20","-","0,84%"
"16.10.2019","64,55","63,48","64,58","63,06","-","1,77%"
"15.10.2019","63,43","62,04","63,69","61,73","-","1,98%"
"14.10.2019","62,20","64,31","65,87","62,20","-","-2,81%"
"11.10.2019","64,00","61,71","64,00","61,54","-","3,98%"
"10.10.2019","61,55","62,05","62,47","61,37","-","-0,85%"
"09.10.2019","62,08","61,26","62,38","61,00","-","1,21%"
"08.10.2019","61,34","61,61","61,79","60,80","-","-0,79%"
"07.10.2019","61,83","61,88","62,27","61,40","-","0,10%"
"04.10.2019","61,77","61,72","62,13","61,23","-","0,34%"
"03.10.2019","61,56","61,26","62,91","61,16","-","0,44%"
"02.10.2019","61,29","60,95","61,53","60,39","-","0,56%"
"01.10.2019","60,95","60,89","61,13","60,20","-","0,35%"
"30.09.2019","60,74","60,88","61,13","60,09","-","-0,41%"
"27.09.2019","60,99","60,04","61,00","59,59","-","1,25%"
"26.09.2019","60,24","60,58","60,94","59,93","-","-0,63%"
"25.09.2019","60,62","60,64","60,65","59,64","-","0,40%"
"24.09.2019","60,38","60,81","60,95","59,66","-","-0,72%"
"23.09.2019","60,82","60,62","61,67","60,14","-","0,45%"
"20.09.2019","60,55","60,31","60,87","60,21","-","0,31%"
"19.09.2019","60,36","60,53","61,12","60,29","-","-0,10%"
"18.09.2019","60,42","61,23","61,34","60,42","-","-1,45%"
"17.09.2019","61,31","62,46","62,55","60,81","-","-2,01%"
"16.09.2019","62,57","62,58","62,78","61,89","-","0,43%"
"13.09.2019","62,30","62,29","63,30","62,07","-","0,45%"
"12.09.2019","62,02","59,52","62,36","59,47","-","4,45%"
"11.09.2019","59,38","59,22","59,55","58,97","-","0,34%"
"10.09.2019","59,18","58,91","59,70","58,91","-","0,39%"
"09.09.2019","58,95","58,48","59,09","58,34","-","0,86%"
"06.09.2019","58,45","59,08","59,86","58,04","-","-1,18%"
"05.09.2019","59,15","58,34","59,17","58,15","-","1,67%"
"04.09.2019","58,18","57,97","58,78","57,85","-","0,55%"
"03.09.2019","57,86","58,54","58,72","57,56","-","-1,73%"
"30.08.2019","58,88","59,00","59,30","58,48","-","-0,19%"
"29.08.2019","58,99","58,73","59,28","57,96","-","0,49%"
"28.08.2019","58,70","58,02","58,92","57,84","-","1,33%"
"27.08.2019","57,93","57,68","59,41","57,41","-","0,28%"
"26.08.2019","57,77","57,90","57,94","56,59","-","-0,70%"
"23.08.2019","58,18","58,89","59,54","58,07","-","-1,19%"
"22.08.2019","58,88","59,95","60,03","58,87","-","-1,75%"
"21.08.2019","59,93","58,88","59,98","58,69","-","1,44%"
"20.08.2019","59,08","59,35","59,65","59,08","-","-0,17%"
"19.08.2019","59,18","60,14","60,18","59,12","-","-1,56%"
"16.08.2019","60,12","59,57","60,23","59,54","-","0,89%"
"15.08.2019","59,59","59,47","60,18","59,27","-","0,13%"
"14.08.2019","59,51","59,40","59,86","58,95","-","-0,08%"
"13.08.2019","59,56","58,11","59,95","57,90","-","2,44%"
"12.08.2019","58,14","58,99","59,04","57,57","-","-1,21%"
"09.08.2019","58,85","59,68","59,68","58,80","-","-1,31%"
"08.08.2019","59,63","58,88","59,78","58,69","-","1,24%"
"07.08.2019","58,90","58,74","58,93","57,52","-","0,20%"
"06.08.2019","58,78","58,57","58,80","58,18","-","0,31%"
"05.08.2019","58,60","59,75","60,10","57,27","-","-1,38%"
"02.08.2019","59,42","62,14","62,15","59,38","-","-4,64%"
"01.08.2019","62,31","63,87","63,87","62,26","-","-2,46%"
"31.07.2019","63,88","63,38","63,98","63,14","-","0,88%"
"30.07.2019","63,32","64,05","64,15","62,86","-","-1,43%"
"29.07.2019","64,24","64,04","64,43","63,27","-","-0,34%"
"26.07.2019","64,46","64,12","64,61","63,58","-","0,39%"
"25.07.2019","64,21","64,18","64,67","63,97","-","-0,02%"
"24.07.2019","64,22","63,57","64,67","63,54","-","0,78%"
"23.07.2019","63,72","63,29","63,82","62,94","-","0,52%"
"22.07.2019","63,39","63,23","63,97","63,11","-","0,48%"
"19.07.2019","63,09","61,69","63,27","61,69","-","2,22%"
"18.07.2019","61,72","62,48","62,58","61,67","-","-1,31%"
"17.07.2019","62,54","63,07","63,17","62,34","-","-0,90%"
"16.07.2019","63,11","63,90","63,90","62,85","-","-1,33%"
"15.07.2019","63,96","62,83","64,09","62,69","-","2,12%"
"12.07.2019","62,63","63,18","63,45","62,63","-","-0,78%"
"11.07.2019","63,12","63,96","64,10","62,86","-","-1,21%"
"10.07.2019","63,89","63,08","64,20","62,75","-","1,33%"
"09.07.2019","63,05","64,76","65,02","62,76","-","-3,25%"
"08.07.2019","65,17","66,27","66,48","65,16","-","-1,73%"
"05.07.2019","66,32","66,51","66,74","65,84","-","-0,30%"
"03.07.2019","66,52","66,39","67,16","66,28","-","0,03%"
"02.07.2019","66,50","65,81","66,88","65,28","-","1,34%"
"01.07.2019","65,62","67,10","67,84","65,59","-","-0,17%"
"28.06.2019","65,73","65,97","66,73","65,56","-","-0,39%"
"27.06.2019","65,99","66,54","66,72","65,78","-","-0,53%"
"26.06.2019","66,34","65,63","67,48","65,47","-","1,19%"
"25.06.2019","65,56","65,39","66,15","65,22","-","0,21%"
"24.06.2019","65,42","64,71","65,55","64,69","-","6,10%"
"21.06.2019","61,66","63,39","63,95","60,52","-","-2,51%"
"20.06.2019","63,25","65,31","65,72","62,99","-","-3,35%"
"19.06.2019","65,44","65,56","66,36","65,32","-","0,05%"
"18.06.2019","65,41","65,44","66,99","64,98","-","0,08%"
"17.06.2019","65,36","66,03","66,49","65,35","-","-0,97%"
"14.06.2019","66,00","66,91","66,92","65,91","-","-1,32%"
"13.06.2019","66,88","66,62","67,51","66,05","-","0,56%"
"12.06.2019","66,51","65,65","66,94","65,42","-","1,26%"
"11.06.2019","65,68","65,73","66,36","65,30","-","-0,32%"
"10.06.2019","65,89","65,87","66,50","64,86","-","-0,30%"
"07.06.2019","66,09","68,66","68,72","65,59","-","-3,56%"
"06.06.2019","68,53","68,66","68,72","67,50","-","-0,32%"
"05.06.2019","68,75","69,11","69,61","68,44","-","-0,32%"
"04.06.2019","68,97","69,59","69,82","68,49","-","-0,62%"
"03.06.2019","69,40","68,16","69,53","66,91","-","1,80%"
"31.05.2019","68,17","69,31","69,67","68,00","-","-1,64%"
"30.05.2019","69,31","69,01","69,49","68,20","-","0,25%"
"29.05.2019","69,14","69,58","69,81","68,66","-","-0,29%"
"28.05.2019","69,34","68,51","69,49","68,46","-","1,46%"
"24.05.2019","68,34","67,41","68,58","67,36","-","1,21%"
"23.05.2019","67,52","66,78","68,22","66,53","-","1,20%"
"22.05.2019","66,72","67,41","67,45","66,12","-","-0,94%"
"21.05.2019","67,35","67,98","68,22","67,02","-","-0,91%"
"20.05.2019","67,97","66,25","67,97","65,85","-","3,22%"
"17.05.2019","65,85","66,64","66,78","65,84","-","-1,54%"
"16.05.2019","66,88","66,62","67,16","66,41","-","0,71%"
"15.05.2019","66,41","66,69","67,27","65,80","-","-0,46%"
"14.05.2019","66,72","65,81","67,14","64,51","-","1,26%"
"13.05.2019","65,89","68,57","68,58","65,49","-","-3,77%"
"10.05.2019","68,47","70,59","71,50","68,35","-","-2,35%"
"09.05.2019","70,12","72,23","72,34","69,65","-","-3,06%"
"08.05.2019","72,33","73,19","73,62","71,93","-","-1,13%"
"07.05.2019","73,16","73,69","74,72","73,16","-","-0,44%"
"06.05.2019","73,48","75,08","75,08","73,04","-","-2,96%"
"03.05.2019","75,72","75,45","76,31","75,44","-","0,37%"
"02.05.2019","75,44","76,36","76,59","75,38","-","-1,57%"
"01.05.2019","76,64","76,71","76,88","75,66","-","-0,17%"
"30.04.2019","76,77","76,88","77,32","76,56","-","-0,26%"
"29.04.2019","76,97","77,75","78,09","76,85","-","-0,89%"
"26.04.2019","77,66","78,36","78,39","77,28","-","-0,86%"
"25.04.2019","78,33","77,15","78,47","77,15","-","1,53%"
"24.04.2019","77,15","77,79","77,93","77,06","-","-0,89%"
"23.04.2019","77,84","78,43","78,50","77,17","-","-0,74%"
"22.04.2019","78,42","78,44","78,83","78,16","-","1,40%"
"18.04.2019","77,34","78,03","78,22","77,02","-","-1,06%"
"17.04.2019","78,17","77,91","78,44","77,52","-","0,31%"
"16.04.2019","77,93","76,61","78,22","76,60","-","1,66%"
"15.04.2019","76,66","78,12","79,16","75,72","-","-1,78%"
"12.04.2019","78,05","77,06","78,65","76,89","-","1,36%"
"11.04.2019","77,00","77,61","77,94","76,87","-","-0,75%"
"10.04.2019","77,58","78,07","78,31","77,32","-","-0,60%"
"09.04.2019","78,05","78,82","79,31","77,60","-","-1,08%"
"08.04.2019","78,90","78,34","79,08","77,88","-","0,69%"
"05.04.2019","78,36","77,23","78,48","77,09","-","1,23%"
"04.04.2019","77,41","76,94","77,78","76,94","-","0,42%"
"03.04.2019","77,09","77,31","77,94","76,91","-","-0,27%"
"02.04.2019","77,30","77,28","77,36","76,49","-","0,04%"
"01.04.2019","77,27","77,61","77,89","77,19","-","-0,40%"
"29.03.2019","77,58","75,87","77,80","75,73","-","2,16%"
"28.03.2019","75,94","76,93","77,15","75,53","-","-1,33%"
"27.03.2019","76,96","77,76","77,78","76,61","-","-1,18%"
"26.03.2019","77,88","77,53","77,98","77,43","-","0,15%"
"25.03.2019","77,76","76,72","77,76","76,18","-","1,53%"
"22.03.2019","76,59","76,97","77,58","76,06","-","-0,74%"
"21.03.2019","77,16","75,67","77,83","75,38","-","2,17%"
"20.03.2019","75,52","75,50","75,88","75,17","-","-0,15%"
"19.03.2019","75,63","75,23","76,35","75,22","-","0,44%"
"18.03.2019","75,30","75,59","75,91","74,95","-","-0,28%"
"15.03.2019","75,51","74,33","75,83","74,33","-","1,57%"
"14.03.2019","74,34","75,63","75,88","74,03","-","-1,85%"
"13.03.2019","75,74","74,86","75,98","74,72","-","1,22%"
"12.03.2019","74,83","73,21","75,00","73,18","-","2,20%"
"11.03.2019","73,22","73,31","73,85","73,06","-","-0,15%"
"08.03.2019","73,33","73,18","73,78","72,52","-","0,29%"
"07.03.2019","73,12","74,34","74,63","73,06","-","-1,63%"
"06.03.2019","74,33","74,52","74,89","74,05","-","-0,31%"
"05.03.2019","74,56","73,11","74,70","73,11","-","1,94%"
"04.03.2019","73,14","74,01","74,63","73,12","-","-1,02%"
"01.03.2019","73,89","72,61","73,95","72,61","-","1,54%"
"28.02.2019","72,77","72,32","73,13","72,08","-","0,46%"
