"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"23.10.2019","7,8661","7,8759","7,8819","7,8534","-0,09%"
"22.10.2019","7,8731","7,8886","7,8960","7,8674","-0,21%"
"21.10.2019","7,8893","7,8907","7,9077","7,8781","-0,27%"
"18.10.2019","7,9109","7,8747","7,9131","7,8620","0,48%"
"17.10.2019","7,8729","7,8539","7,8800","7,8410","0,24%"
"16.10.2019","7,8540","7,8147","7,8647","7,8083","0,52%"
"15.10.2019","7,8133","7,7907","7,8225","7,7800","0,24%"
"14.10.2019","7,7947","7,8304","7,8346","7,7774","-0,41%"
"11.10.2019","7,8266","7,8324","7,8552","7,8095","-0,07%"
"10.10.2019","7,8322","7,8251","7,8608","7,8055","0,09%"
"09.10.2019","7,8250","7,8266","7,8464","7,8167","-0,03%"
"08.10.2019","7,8274","7,8441","7,8603","7,8167","-0,19%"
"07.10.2019","7,8425","7,8453","7,8639","7,8354","-0,06%"
"04.10.2019","7,8475","7,8374","7,8597","7,8324","0,11%"
"03.10.2019","7,8388","7,8338","7,8639","7,8210","0,06%"
"02.10.2019","7,8338","7,8147","7,8374","7,7938","0,25%"
"01.10.2019","7,8145","7,7924","7,8232","7,7767","0,29%"
"30.09.2019","7,7917","7,7919","7,8122","7,7755","0,00%"
"27.09.2019","7,7915","7,7870","7,8059","7,7736","0,02%"
"26.09.2019","7,7903","7,8060","7,8216","7,7802","-0,18%"
"25.09.2019","7,8043","7,8399","7,8434","7,8007","-0,48%"
"24.09.2019","7,8423","7,8271","7,8466","7,8063","0,22%"
"23.09.2019","7,8254","7,8132","7,8495","7,8076","0,15%"
"20.09.2019","7,8135","7,8354","7,8454","7,7972","-0,28%"
"19.09.2019","7,8353","7,8146","7,8567","7,8097","0,25%"
"18.09.2019","7,8159","7,8518","7,8547","7,8038","-0,47%"
"17.09.2019","7,8525","7,7736","7,8545","7,7722","0,99%"
"16.09.2019","7,7755","7,8461","7,8503","7,7687","-0,83%"
"13.09.2019","7,8404","7,8364","7,8681","7,8300","0,11%"
"12.09.2019","7,8319","7,8353","7,8495","7,7437","-0,05%"
"11.09.2019","7,8355","7,8563","7,8717","7,8179","-0,25%"
"10.09.2019","7,8548","7,8661","7,8704","7,8347","-0,17%"
"09.09.2019","7,8684","7,8426","7,8833","7,8369","0,26%"
"06.09.2019","7,8479","7,8894","7,8990","7,8425","-0,51%"
"05.09.2019","7,8883","7,8812","7,9280","7,8562","0,02%"
"04.09.2019","7,8864","7,8834","7,8929","7,8601","0,11%"
"03.09.2019","7,8781","7,8674","7,8811","7,8402","0,15%"
"02.09.2019","7,8662","7,8630","7,8785","7,8548","0,00%"
"30.08.2019","7,8661","7,9018","7,9096","7,8460","-0,43%"
"29.08.2019","7,8997","7,9361","7,9493","7,8890","-0,47%"
"28.08.2019","7,9374","7,9432","7,9569","7,9310","-0,07%"
"27.08.2019","7,9433","7,9400","7,9698","7,9310","0,05%"
"26.08.2019","7,9393","7,9074","7,9724","7,8996","0,39%"
"23.08.2019","7,9082","7,8504","7,9146","7,8268","0,76%"
"22.08.2019","7,8483","7,8290","7,8705","7,8278","0,24%"
"21.08.2019","7,8295","7,8373","7,8481","7,8205","-0,10%"
"20.08.2019","7,8374","7,8110","7,8423","7,8103","0,34%"
"19.08.2019","7,8109","7,8111","7,8350","7,8045","0,01%"
"16.08.2019","7,8105","7,8129","7,8236","7,7914","-0,02%"
"15.08.2019","7,8123","7,8233","7,8599","7,8037","-0,16%"
"14.08.2019","7,8245","7,8654","7,8725","7,8167","-0,55%"
"13.08.2019","7,8680","7,9188","7,9384","7,8680","-0,59%"
"12.08.2019","7,9143","7,9119","7,9255","7,8836","0,06%"
"09.08.2019","7,9098","7,8772","7,9268","7,8765","0,42%"
"08.08.2019","7,8765","7,9069","7,9182","7,8744","-0,38%"
"07.08.2019","7,9067","7,8667","7,9394","7,8661","0,47%"
"06.08.2019","7,8696","7,8967","7,9351","7,8410","-0,37%"
"05.08.2019","7,8986","7,7086","7,9058","7,7086","2,44%"
"02.08.2019","7,7102","7,6476","7,7165","7,6407","0,83%"
"01.08.2019","7,6471","7,6255","7,6554","7,5967","0,29%"
"31.07.2019","7,6249","7,6792","7,6892","7,6139","-0,71%"
"30.07.2019","7,6796","7,6825","7,6860","7,6650","-0,04%"
"29.07.2019","7,6823","7,6541","7,6866","7,6501","0,36%"
"26.07.2019","7,6544","7,6603","7,6720","7,6440","-0,08%"
"25.07.2019","7,6608","7,6565","7,6908","7,6239","0,06%"
"24.07.2019","7,6559","7,6712","7,6780","7,6493","-0,21%"
"23.07.2019","7,6723","7,7134","7,7141","7,6658","-0,54%"
"22.07.2019","7,7138","7,7203","7,7248","7,7095","-0,12%"
"19.07.2019","7,7232","7,7583","7,7625","7,7107","-0,46%"
"18.07.2019","7,7586","7,7158","7,7621","7,7078","0,57%"
"17.07.2019","7,7150","7,7078","7,7219","7,7051","0,08%"
"16.07.2019","7,7089","7,7431","7,7480","7,7027","-0,44%"
"15.07.2019","7,7430","7,7528","7,7598","7,7389","-0,16%"
"12.07.2019","7,7553","7,7316","7,7588","7,7282","0,31%"
"11.07.2019","7,7317","7,7316","7,7503","7,7248","-0,01%"
"10.07.2019","7,7327","7,7172","7,7423","7,7114","0,16%"
"09.07.2019","7,7201","7,7231","7,7278","7,7114","0,04%"
"08.07.2019","7,7173","7,7367","7,7428","7,7104","-0,27%"
"05.07.2019","7,7381","7,7542","7,7624","7,7203","-0,21%"
"04.07.2019","7,7546","7,7608","7,7698","7,7467","-0,08%"
"03.07.2019","7,7606","7,7546","7,7841","7,7540","0,06%"
"02.07.2019","7,7561","7,7309","7,7870","7,7268","0,31%"
"01.07.2019","7,7325","7,8092","7,8120","7,7283","-0,96%"
"28.06.2019","7,8075","7,8197","7,8261","7,7946","-0,15%"
"27.06.2019","7,8190","7,8197","7,8290","7,8055","-0,04%"
"26.06.2019","7,8223","7,8213","7,8374","7,8007","0,03%"
"25.06.2019","7,8196","7,8349","7,8548","7,8045","-0,25%"
"24.06.2019","7,8391","7,8084","7,8455","7,8084","0,38%"
"21.06.2019","7,8098","7,7385","7,8174","7,7213","0,93%"
"20.06.2019","7,7379","7,7466","7,7755","7,7229","-0,16%"
"19.06.2019","7,7500","7,7272","7,7693","7,7250","0,30%"
"18.06.2019","7,7268","7,7726","7,7931","7,7211","-0,55%"
"17.06.2019","7,7694","7,7668","7,7886","7,7570","0,09%"
"14.06.2019","7,7628","7,8094","7,8180","7,7580","-0,55%"
"13.06.2019","7,8056","7,8067","7,8232","7,7965","-0,05%"
"12.06.2019","7,8098","7,8293","7,8521","7,8049","-0,28%"
"11.06.2019","7,8316","7,8402","7,8457","7,8101","-0,13%"
"10.06.2019","7,8421","7,8216","7,8503","7,8128","0,14%"
"07.06.2019","7,8308","7,7942","7,8418","7,7741","0,51%"
"06.06.2019","7,7913","7,7591","7,8183","7,7535","0,50%"
"05.06.2019","7,7527","7,7721","7,8081","7,7514","-0,26%"
"04.06.2019","7,7732","7,7606","7,7919","7,7563","0,16%"
"03.06.2019","7,7605","7,7100","7,7757","7,7011","0,50%"
"31.05.2019","7,7222","7,6866","7,7222","7,6818","0,52%"
"30.05.2019","7,6822","7,6956","7,7059","7,6716","-0,19%"
"29.05.2019","7,6966","7,7112","7,7241","7,6905","-0,20%"
"28.05.2019","7,7120","7,7259","7,7434","7,7100","-0,16%"
"27.05.2019","7,7246","7,7260","7,7383","7,7148","-0,09%"
"24.05.2019","7,7313","7,7270","7,7392","7,7161","0,06%"
"23.05.2019","7,7263","7,7012","7,7312","7,6864","0,31%"
"22.05.2019","7,7024","7,7068","7,7183","7,6963","-0,01%"
"21.05.2019","7,7033","7,7232","7,7267","7,6940","-0,23%"
"20.05.2019","7,7214","7,7217","7,7293","7,7011","0,01%"
"17.05.2019","7,7209","7,6921","7,7309","7,6880","0,38%"
"16.05.2019","7,6919","7,7011","7,7227","7,6864","-0,14%"
"15.05.2019","7,7027","7,7089","7,7210","7,6878","-0,09%"
"14.05.2019","7,7097","7,7218","7,7447","7,7022","-0,14%"
"13.05.2019","7,7203","7,6697","7,7466","7,6622","0,70%"
