"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"23.10.2019","91,425","91,750","92,350","91,275","-","-0,68%"
"22.10.2019","92,050","91,600","92,700","91,400","52,67K","-0,05%"
"21.10.2019","92,100","91,350","92,100","90,800","56,13K","0,99%"
"18.10.2019","91,200","92,100","92,550","90,900","54,43K","-0,98%"
"17.10.2019","92,100","92,100","92,350","91,250","70,36K","0,11%"
"16.10.2019","92,000","91,200","92,700","90,750","73,84K","0,33%"
"15.10.2019","91,700","92,050","93,050","91,550","82,15K","-0,86%"
"14.10.2019","92,500","91,350","93,150","90,350","89,72K","1,37%"
"11.10.2019","91,250","91,350","91,700","90,600","83,71K","0,11%"
"10.10.2019","91,150","90,750","91,150","89,550","107,34K","0,94%"
"09.10.2019","90,300","90,800","92,150","88,300","143,07K","-1,79%"
"08.10.2019","91,950","96,200","96,350","91,500","225,26K","-5,01%"
"07.10.2019","96,800","95,250","96,800","94,750","62,14K","1,20%"
"04.10.2019","95,650","95,350","95,900","94,800","66,63K","0,90%"
"03.10.2019","94,800","95,950","96,350","94,550","59,48K","-0,94%"
"02.10.2019","95,700","96,100","98,650","95,700","152,52K","0,16%"
"01.10.2019","95,550","96,950","97,450","95,300","70,99K","-1,60%"
"30.09.2019","97,100","97,050","97,100","95,700","50,66K","0,31%"
"27.09.2019","96,800","96,300","98,700","96,300","71,64K","1,20%"
"26.09.2019","95,650","94,650","96,000","94,400","89,28K","1,11%"
"25.09.2019","94,600","96,850","96,850","94,400","71,76K","-2,32%"
"24.09.2019","96,850","95,100","96,850","95,100","51,44K","1,47%"
"23.09.2019","95,450","94,950","95,450","94,700","42,46K","0,53%"
"20.09.2019","94,950","95,550","96,000","94,950","106,74K","-0,78%"
"19.09.2019","95,700","96,500","96,700","95,000","44,44K","-0,83%"
"18.09.2019","96,500","95,800","97,150","95,500","76,32K","0,57%"
"17.09.2019","95,950","95,150","96,150","95,000","81,38K","0,52%"
"16.09.2019","95,450","97,200","97,200","95,450","86,95K","-2,05%"
"13.09.2019","97,450","97,700","97,700","95,650","83,05K","-0,51%"
"12.09.2019","97,950","98,250","98,550","95,550","67,02K","0,05%"
"11.09.2019","97,900","94,950","97,900","94,800","130,15K","2,89%"
"10.09.2019","95,150","96,900","97,100","93,600","98,49K","-2,11%"
"09.09.2019","97,200","98,250","98,350","96,950","50,49K","-0,51%"
"06.09.2019","97,700","99,000","99,350","97,700","59,75K","-1,11%"
"05.09.2019","98,800","99,500","100,200","98,450","63,99K","-0,65%"
"04.09.2019","99,450","98,750","99,450","98,500","51,82K","1,48%"
"03.09.2019","98,000","96,850","98,250","96,450","66,47K","1,08%"
"02.09.2019","96,950","97,750","98,250","96,450","47,18K","-0,67%"
"30.08.2019","97,600","98,750","99,650","97,600","98,41K","-1,31%"
"29.08.2019","98,900","97,850","98,900","97,550","60,13K","1,07%"
"28.08.2019","97,850","95,950","97,950","95,900","71,04K","1,77%"
"27.08.2019","96,150","95,300","96,500","95,150","82,21K","1,32%"
"26.08.2019","94,900","94,250","95,550","93,850","30,88K","-0,16%"
"23.08.2019","95,050","96,700","96,800","94,800","62,94K","-0,83%"
"22.08.2019","95,850","96,000","96,800","95,700","73,66K","-0,52%"
"21.08.2019","96,350","96,000","96,900","95,550","54,11K","0,31%"
"20.08.2019","96,050","94,900","96,400","94,750","75,12K","1,11%"
"19.08.2019","95,000","94,300","95,100","93,650","52,13K","1,77%"
"16.08.2019","93,350","91,600","93,350","91,600","78,45K","2,19%"
"15.08.2019","91,350","91,550","92,200","90,400","71,95K","-0,22%"
"14.08.2019","91,550","91,100","91,800","90,500","93,43K","0,66%"
"13.08.2019","90,950","88,550","91,050","88,250","86,48K","1,56%"
"12.08.2019","89,550","91,050","91,550","89,400","80,00K","-0,67%"
"09.08.2019","90,150","91,400","91,650","90,100","77,22K","-1,69%"
"08.08.2019","91,700","91,000","91,950","90,450","95,71K","1,49%"
"07.08.2019","90,350","91,000","91,600","90,350","123,04K","-0,11%"
"06.08.2019","90,450","91,000","92,050","90,300","157,85K","-1,31%"
"05.08.2019","91,650","93,750","93,850","90,550","135,80K","-2,71%"
"02.08.2019","94,200","96,150","97,200","93,600","142,42K","-2,79%"
"01.08.2019","96,900","96,100","97,650","95,650","115,62K","0,62%"
"31.07.2019","96,300","95,600","96,300","93,500","171,60K","0,05%"
"30.07.2019","96,250","98,350","98,600","93,300","254,66K","-3,46%"
"29.07.2019","99,700","99,250","100,200","98,450","45,68K","0,35%"
"26.07.2019","99,350","101,100","101,300","99,100","64,93K","-1,54%"
"25.07.2019","100,900","101,300","103,500","100,700","102,97K","0,00%"
"24.07.2019","100,900","99,300","101,200","99,300","115,20K","1,61%"
"23.07.2019","99,300","99,250","100,700","98,850","85,08K","0,10%"
"22.07.2019","99,200","98,150","99,200","97,350","51,11K","1,12%"
"19.07.2019","98,100","99,350","99,550","97,650","85,27K","-0,91%"
"18.07.2019","99,000","98,000","99,000","96,700","75,12K","-0,05%"
"17.07.2019","99,050","99,800","99,950","98,550","58,52K","-0,65%"
"16.07.2019","99,700","98,550","99,700","97,950","102,95K","0,96%"
"15.07.2019","98,750","98,100","99,250","97,550","99,34K","0,66%"
"12.07.2019","98,100","97,600","98,100","96,600","55,27K","0,31%"
"11.07.2019","97,800","97,500","98,300","97,100","101,03K","0,26%"
"10.07.2019","97,550","96,400","97,650","95,600","71,85K","0,88%"
"09.07.2019","96,700","95,950","96,950","95,650","66,19K","0,47%"
"08.07.2019","96,250","96,000","97,100","95,750","74,56K","-0,41%"
"05.07.2019","96,650","97,100","98,450","96,000","87,37K","-0,46%"
"04.07.2019","97,100","98,500","98,500","96,400","58,74K","-0,87%"
"03.07.2019","97,950","97,400","98,600","97,350","78,39K","1,03%"
"02.07.2019","96,950","94,850","97,400","94,850","71,54K","1,41%"
"01.07.2019","95,600","95,250","95,750","94,500","62,32K","1,27%"
"28.06.2019","94,400","95,350","95,800","93,700","128,60K","-0,63%"
"27.06.2019","95,000","96,500","96,550","94,600","117,17K","-4,90%"
"26.06.2019","99,900","100,100","100,200","98,950","116,80K","-0,30%"
"25.06.2019","100,200","98,950","100,500","98,450","76,90K","0,96%"
"24.06.2019","99,250","101,200","101,600","99,050","92,60K","-1,05%"
"21.06.2019","100,300","102,900","103,100","100,300","366,06K","-2,34%"
"20.06.2019","102,700","102,200","103,200","102,200","78,18K","0,69%"
"19.06.2019","102,000","102,900","102,900","101,100","71,82K","-0,49%"
"18.06.2019","102,500","102,000","103,400","100,400","74,95K","0,79%"
"17.06.2019","101,700","104,100","104,200","101,700","79,79K","-2,59%"
"14.06.2019","104,400","103,600","104,600","103,100","114,33K","0,68%"
"13.06.2019","103,700","102,300","104,400","102,200","109,52K","1,37%"
"12.06.2019","102,300","101,000","102,400","101,000","63,13K","0,79%"
"11.06.2019","101,500","100,700","102,000","100,200","89,96K","1,00%"
"10.06.2019","100,500","102,000","102,500","100,000","65,56K","-1,57%"
"07.06.2019","102,100","102,200","102,800","101,300","105,77K","0,10%"
"06.06.2019","102,000","100,900","102,600","100,800","132,82K","1,39%"
"05.06.2019","100,600","99,600","100,900","98,950","117,49K","1,77%"
"04.06.2019","98,850","97,650","99,750","97,050","248,02K","0,97%"
"03.06.2019","97,900","95,200","98,100","94,350","148,35K","2,14%"
"31.05.2019","95,850","95,100","96,050","93,850","92,54K","0,63%"
"30.05.2019","95,250","95,300","96,650","94,850","68,55K","-0,31%"
"29.05.2019","95,550","95,850","95,850","94,700","84,71K","-0,31%"
"28.05.2019","95,850","97,350","97,900","95,850","97,51K","-1,13%"
"27.05.2019","96,950","96,200","97,800","96,150","45,26K","1,04%"
"24.05.2019","95,950","94,700","96,750","94,400","84,96K","1,11%"
"23.05.2019","94,900","95,700","95,950","94,900","96,28K","-1,56%"
"22.05.2019","96,400","96,750","97,300","95,750","64,31K","-0,21%"
"21.05.2019","96,600","95,700","96,650","95,400","65,98K","0,94%"
"20.05.2019","95,700","95,150","96,450","95,000","78,45K","0,84%"
"17.05.2019","94,900","95,250","95,550","94,200","83,26K","0,42%"
"16.05.2019","94,500","96,500","97,150","93,900","139,76K","-2,93%"
"15.05.2019","97,350","98,200","98,650","96,200","79,73K","-0,76%"
"14.05.2019","98,100","95,750","98,200","95,500","98,95K","2,62%"
"13.05.2019","95,600","97,300","98,200","94,900","156,31K","-2,40%"
"10.05.2019","97,950","101,500","101,800","96,000","229,87K","-3,02%"
"09.05.2019","101,000","99,850","101,100","99,700","85,79K","1,20%"
"08.05.2019","99,800","100,000","100,400","99,450","94,77K","-0,05%"
"07.05.2019","99,850","98,900","101,000","98,900","102,94K","0,60%"
"06.05.2019","99,250","100,700","100,800","98,400","111,29K","-1,93%"
"03.05.2019","101,200","101,000","101,700","100,900","67,70K","0,80%"
"02.05.2019","100,400","102,600","103,100","100,400","127,62K","-2,81%"
"30.04.2019","103,300","102,800","103,300","102,300","88,18K","0,68%"
"29.04.2019","102,600","102,000","102,600","100,400","144,13K","0,00%"
"26.04.2019","102,600","103,000","103,100","101,900","70,88K","-0,29%"
"25.04.2019","102,900","101,700","103,200","101,700","88,68K","0,88%"
"24.04.2019","102,000","101,500","102,000","100,100","87,16K","0,10%"
"23.04.2019","101,900","102,000","102,400","100,700","76,55K","0,00%"
"18.04.2019","101,900","100,500","102,100","100,500","83,45K","0,99%"
"17.04.2019","100,900","102,600","102,600","99,500","194,07K","-2,04%"
"16.04.2019","103,000","102,800","103,800","102,500","127,65K","-0,39%"
"15.04.2019","103,400","103,500","104,500","102,800","138,00K","0,39%"
"12.04.2019","103,000","105,100","105,700","103,000","142,69K","-2,18%"
"11.04.2019","105,300","105,200","105,900","104,000","101,00K","0,10%"
"10.04.2019","105,200","103,900","106,600","103,900","282,57K","1,54%"
"09.04.2019","103,600","104,400","104,900","102,500","205,17K","-0,86%"
"08.04.2019","104,500","104,000","104,700","103,400","91,48K","0,58%"
"05.04.2019","103,900","105,700","105,900","102,100","190,04K","-1,70%"
"04.04.2019","105,700","103,000","105,900","103,000","210,00K","2,62%"
"03.04.2019","103,000","102,300","103,000","101,000","111,94K","1,48%"
"02.04.2019","101,500","99,350","102,300","99,350","210,75K","2,22%"
"01.04.2019","99,300","100,000","100,100","98,000","157,78K","0,00%"
"29.03.2019","99,300","100,500","101,600","99,160","150,42K","-0,68%"
"28.03.2019","99,980","99,000","100,200","99,000","112,22K","0,85%"
"27.03.2019","99,140","98,700","99,500","98,400","109,20K","0,45%"
"26.03.2019","98,700","97,720","99,300","97,720","94,27K","1,11%"
"25.03.2019","97,620","97,660","97,900","94,620","160,05K","-0,45%"
"22.03.2019","98,060","98,720","98,720","97,600","128,00K","0,10%"
"21.03.2019","97,960","96,540","98,260","96,500","97,41K","1,62%"
"20.03.2019","96,400","95,000","96,760","94,300","112,30K","1,26%"
"19.03.2019","95,200","94,460","95,980","94,360","276,68K","0,40%"
"18.03.2019","94,820","93,840","94,900","93,440","171,35K","0,87%"
"15.03.2019","94,000","93,000","94,100","92,860","164,22K","1,10%"
"14.03.2019","92,980","92,660","93,400","92,500","49,92K","0,15%"
"13.03.2019","92,840","91,720","92,840","91,720","87,28K","1,07%"
"12.03.2019","91,860","91,780","92,040","91,200","66,10K","0,09%"
"11.03.2019","91,780","90,380","91,780","90,240","59,61K","1,53%"
"08.03.2019","90,400","89,780","91,000","89,760","60,60K","-0,48%"
"07.03.2019","90,840","89,600","90,840","89,600","113,50K","0,96%"
"06.03.2019","89,980","89,820","90,000","88,960","73,42K","0,09%"
"05.03.2019","89,900","88,280","89,900","88,020","96,24K","0,78%"
"04.03.2019","89,200","88,100","89,600","87,160","141,01K","-0,45%"
"01.03.2019","89,600","86,000","90,100","86,000","267,12K","4,87%"
"28.02.2019","85,440","84,720","85,560","83,700","111,86K","0,52%"
"27.02.2019","85,000","85,300","85,480","84,640","118,64K","-0,65%"
"26.02.2019","85,560","84,300","85,780","84,200","96,72K","0,90%"
"25.02.2019","84,800","84,060","84,800","83,900","81,50K","1,07%"
"22.02.2019","83,900","84,000","84,380","83,640","77,92K","-0,29%"
"21.02.2019","84,140","83,340","84,200","83,280","97,01K","1,03%"
"20.02.2019","83,280","82,840","83,820","82,840","80,48K","0,56%"
"19.02.2019","82,820","82,980","83,480","82,520","60,82K","-0,38%"
"18.02.2019","83,140","82,680","83,180","82,480","60,04K","0,73%"
"15.02.2019","82,540","81,480","82,620","81,120","87,52K","1,18%"
"14.02.2019","81,580","82,240","82,360","81,320","164,43K","-0,17%"
"13.02.2019","81,720","82,720","82,920","81,440","93,86K","-1,07%"
"12.02.2019","82,600","81,940","83,100","81,840","97,97K","1,30%"
"11.02.2019","81,540","81,900","81,940","80,300","104,06K","-0,39%"
"08.02.2019","81,860","83,280","83,360","81,760","96,72K","-1,71%"
"07.02.2019","83,280","84,000","84,560","83,280","85,47K","-1,07%"
"06.02.2019","84,180","84,400","84,900","84,120","80,24K","-0,78%"
"05.02.2019","84,840","83,640","84,840","83,020","97,80K","1,41%"
"04.02.2019","83,660","83,500","83,700","82,840","84,33K","0,26%"
"01.02.2019","83,440","83,500","83,800","82,380","141,67K","0,41%"
"31.01.2019","83,100","82,000","83,480","82,000","191,20K","1,49%"
"30.01.2019","81,880","81,120","81,940","80,680","83,85K","0,66%"
"29.01.2019","81,340","80,400","81,680","80,400","88,38K","1,02%"
"28.01.2019","80,520","81,840","81,840","80,100","88,80K","-1,68%"
"25.01.2019","81,900","81,500","83,000","81,500","107,32K","0,74%"
"24.01.2019","81,300","81,380","81,760","80,800","112,26K","0,40%"
"23.01.2019","80,980","79,680","81,300","79,680","78,97K","1,28%"
"22.01.2019","79,960","79,400","80,680","79,200","77,86K","0,38%"
"21.01.2019","79,660","79,800","80,180","79,520","70,31K","-0,03%"
"18.01.2019","79,680","79,120","80,260","79,120","125,44K","1,07%"
"17.01.2019","78,840","79,600","80,000","78,840","125,53K","-1,00%"
"16.01.2019","79,640","79,800","80,040","76,780","145,10K","-0,45%"
"15.01.2019","80,000","79,580","80,000","79,320","71,24K","0,91%"
"14.01.2019","79,280","78,320","79,620","78,320","97,42K","0,25%"
"11.01.2019","79,080","79,000","79,700","78,540","86,81K","0,43%"
"10.01.2019","78,740","77,520","78,880","77,520","76,15K","1,42%"
"09.01.2019","77,640","78,480","78,820","76,600","111,91K","-0,77%"
