"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"23.10.2019","6,368","6,330","6,407","6,283","-","-0,66%"
"22.10.2019","6,410","6,458","6,502","6,364","2,55M","-0,77%"
"21.10.2019","6,460","6,204","6,516","6,204","4,84M","4,60%"
"18.10.2019","6,176","6,134","6,226","6,090","3,20M","0,16%"
"17.10.2019","6,166","6,130","6,280","6,092","2,48M","0,52%"
"16.10.2019","6,134","6,048","6,174","5,956","8,38M","1,05%"
"15.10.2019","6,070","6,012","6,086","5,924","7,74M","1,78%"
"14.10.2019","5,964","5,964","5,968","5,876","8,32M","-0,83%"
"11.10.2019","6,014","5,810","6,014","5,810","3,03M","3,51%"
"10.10.2019","5,810","5,572","5,810","5,572","2,82M","4,27%"
"09.10.2019","5,572","5,532","5,602","5,524","1,58M","0,65%"
"08.10.2019","5,536","5,630","5,640","5,454","1,72M","-1,21%"
"07.10.2019","5,604","5,564","5,604","5,452","3,46M","0,72%"
"04.10.2019","5,564","5,594","5,594","5,510","1,91M","0,14%"
"03.10.2019","5,556","5,618","5,618","5,492","1,72M","-0,61%"
"02.10.2019","5,590","5,684","5,734","5,578","2,38M","-2,10%"
"01.10.2019","5,710","5,830","5,894","5,710","8,35M","-1,45%"
"30.09.2019","5,794","5,776","5,882","5,750","9,22M","1,01%"
"27.09.2019","5,736","5,674","5,800","5,638","2,50M","1,38%"
"26.09.2019","5,658","5,664","5,684","5,588","1,44M","-0,11%"
"25.09.2019","5,664","5,638","5,664","5,516","1,93M","0,11%"
"24.09.2019","5,658","5,646","5,720","5,628","2,34M","-0,07%"
"23.09.2019","5,662","5,790","5,792","5,608","2,00M","-3,21%"
"20.09.2019","5,850","5,938","5,986","5,798","6,84M","-2,27%"
"19.09.2019","5,986","5,724","5,986","5,700","3,02M","4,54%"
"18.09.2019","5,726","5,760","5,794","5,658","3,48M","-0,17%"
"17.09.2019","5,736","5,950","5,950","5,736","3,82M","-3,14%"
"16.09.2019","5,922","6,030","6,066","5,842","2,90M","-2,79%"
"13.09.2019","6,092","5,988","6,118","5,930","6,67M","3,61%"
"12.09.2019","5,880","5,874","6,024","5,694","4,88M","0,48%"
"11.09.2019","5,852","5,928","6,046","5,822","4,89M","-0,31%"
"10.09.2019","5,870","5,640","5,870","5,582","5,05M","4,23%"
"09.09.2019","5,632","5,514","5,632","5,508","1,89M","2,36%"
"06.09.2019","5,502","5,500","5,568","5,452","2,90M","-0,69%"
"05.09.2019","5,540","5,254","5,540","5,244","3,29M","5,77%"
"04.09.2019","5,238","5,208","5,264","5,200","1,66M","1,59%"
"03.09.2019","5,156","5,226","5,248","5,140","3,29M","-1,26%"
"02.09.2019","5,222","5,280","5,312","5,208","1,05M","-1,43%"
"30.08.2019","5,298","5,338","5,358","5,280","1,12M","-0,38%"
"29.08.2019","5,318","5,266","5,380","5,266","1,12M","0,87%"
"28.08.2019","5,272","5,326","5,350","5,258","1,18M","-0,86%"
"27.08.2019","5,318","5,364","5,412","5,312","1,61M","-1,12%"
"26.08.2019","5,378","5,310","5,396","5,306","1,03M","0,71%"
"23.08.2019","5,340","5,422","5,442","5,340","2,46M","-1,26%"
"22.08.2019","5,408","5,310","5,466","5,304","1,46M","1,73%"
"21.08.2019","5,316","5,314","5,370","5,308","1,05M","0,04%"
"20.08.2019","5,314","5,352","5,388","5,300","2,03M","-0,71%"
"19.08.2019","5,352","5,462","5,530","5,348","2,34M","-1,65%"
"16.08.2019","5,442","5,268","5,442","5,186","5,08M","3,26%"
"15.08.2019","5,270","5,236","5,340","5,176","2,50M","0,88%"
