"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"23.10.2019","22,100","21,700","22,420","21,700","-","0,00%"
"22.10.2019","22,100","21,880","22,280","21,880","-","0,27%"
"21.10.2019","22,040","21,540","22,340","21,400","201,17K","2,42%"
"18.10.2019","21,520","22,200","22,360","21,120","336,32K","-4,53%"
"17.10.2019","22,540","22,500","22,800","22,220","192,19K","-0,18%"
"16.10.2019","22,580","22,200","22,620","22,100","171,01K","1,71%"
"15.10.2019","22,200","22,420","22,600","22,020","201,87K","-0,54%"
"14.10.2019","22,320","22,360","22,580","21,940","117,07K","-0,45%"
"11.10.2019","22,420","21,940","22,460","21,760","366,25K","2,19%"
"10.10.2019","21,940","21,760","22,120","21,200","303,05K","0,83%"
"09.10.2019","21,760","21,180","21,820","21,000","221,85K","1,97%"
"08.10.2019","21,340","21,320","21,500","21,020","236,34K","0,47%"
"07.10.2019","21,240","21,180","21,240","20,500","259,72K","1,14%"
"04.10.2019","21,000","21,120","21,200","20,580","355,87K","0,00%"
"03.10.2019","21,000","22,120","22,120","20,580","385,37K","-5,58%"
"02.10.2019","22,240","22,340","22,460","21,940","225,10K","-1,33%"
"01.10.2019","22,540","23,200","23,400","22,400","114,16K","-2,00%"
"30.09.2019","23,000","22,800","23,280","22,620","178,73K","1,41%"
"27.09.2019","22,680","22,380","22,720","22,300","80,81K","1,61%"
"26.09.2019","22,320","22,380","22,940","22,320","135,24K","-0,18%"
"25.09.2019","22,360","22,260","22,420","21,900","146,90K","0,09%"
"24.09.2019","22,340","22,540","22,700","22,340","73,81K","-0,89%"
"23.09.2019","22,540","22,800","22,800","22,100","174,15K","-1,31%"
"20.09.2019","22,840","23,400","23,540","22,740","301,96K","-2,23%"
"19.09.2019","23,360","23,620","23,940","23,360","157,61K","-1,43%"
"18.09.2019","23,700","24,080","24,080","23,520","231,85K","-1,82%"
"17.09.2019","24,140","24,520","24,520","23,940","276,88K","-1,55%"
"16.09.2019","24,520","23,960","24,520","23,740","267,83K","1,83%"
"13.09.2019","24,080","23,600","24,320","23,560","410,33K","2,12%"
"12.09.2019","23,580","23,460","23,640","23,040","190,38K","1,38%"
"11.09.2019","23,260","23,420","23,660","23,100","215,24K","0,61%"
