"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"23.10.2019","37,56","38,92","38,92","37,23","-","-3,49%"
"22.10.2019","38,92","39,42","39,42","38,54","1,97M","-1,34%"
"21.10.2019","39,45","40,95","41,10","39,45","1,49M","-3,71%"
"18.10.2019","40,97","40,50","41,28","40,39","1,30M","0,02%"
"17.10.2019","40,96","41,44","42,05","40,63","1,77M","-0,90%"
"16.10.2019","41,33","40,38","41,33","40,28","2,14M","2,40%"
"15.10.2019","40,36","39,12","40,55","38,99","1,33M","3,20%"
"14.10.2019","39,11","37,80","39,31","37,80","871,11K","3,52%"
"11.10.2019","37,78","38,06","38,45","36,83","1,24M","0,07%"
"10.10.2019","37,76","37,81","37,85","36,33","1,37M","0,25%"
"09.10.2019","37,66","36,91","37,90","36,62","1,64M","3,42%"
"08.10.2019","36,42","35,38","37,13","35,12","4,99M","2,64%"
"07.10.2019","35,48","35,61","35,70","35,06","579,80K","-0,19%"
"04.10.2019","35,55","35,42","35,67","35,15","575,18K","0,72%"
"03.10.2019","35,29","35,19","35,94","35,04","602,22K","0,64%"
"02.10.2019","35,07","35,70","36,03","34,97","602,50K","-1,91%"
"01.10.2019","35,75","35,66","36,20","35,18","967,33K","0,79%"
"30.09.2019","35,47","35,74","35,74","34,63","753,01K","-1,35%"
"27.09.2019","35,96","36,23","36,50","35,90","535,14K","-0,59%"
"26.09.2019","36,17","35,63","36,17","35,26","733,77K","1,60%"
"25.09.2019","35,60","35,53","35,84","35,29","546,51K","0,53%"
"24.09.2019","35,42","34,78","35,71","34,69","726,11K","1,83%"
"23.09.2019","34,78","33,70","34,84","33,65","829,79K","2,80%"
"20.09.2019","33,83","33,81","33,86","33,38","1,35M","0,42%"
"19.09.2019","33,69","33,93","34,16","33,52","587,10K","-0,69%"
"18.09.2019","33,93","33,93","34,10","33,75","625,97K","-0,03%"
"17.09.2019","33,94","33,94","33,98","33,32","1,08M","-0,11%"
"16.09.2019","33,97","35,07","35,13","33,89","746,28K","-3,30%"
"13.09.2019","35,13","35,14","35,26","34,47","1,04M","0,21%"
"12.09.2019","35,06","34,45","35,86","34,16","1,14M","2,32%"
"11.09.2019","34,26","33,79","34,45","33,52","1,15M","1,95%"
"10.09.2019","33,61","34,08","34,16","32,81","1,38M","-1,56%"
"09.09.2019","34,14","35,64","35,71","34,10","621,78K","-3,72%"
