Date,Last,Open,Max,Min,Vol,Var_%,Company
2019-10-22,92.05,91.6,92.7,91.4,52.67,-0.05,Acciona
2019-10-21,92.1,91.35,92.1,90.8,56.13,0.99,Acciona
2019-10-18,91.2,92.1,92.55,90.9,54.43,-0.98,Acciona
2019-10-17,92.1,92.1,92.35,91.25,70.36,0.11,Acciona
2019-10-16,92.0,91.2,92.7,90.75,73.84,0.33,Acciona
2019-10-15,91.7,92.05,93.05,91.55,82.15,-0.86,Acciona
2019-10-14,92.5,91.35,93.15,90.35,89.72,1.37,Acciona
2019-10-11,91.25,91.35,91.7,90.6,83.71,0.11,Acciona
2019-10-10,91.15,90.75,91.15,89.55,107.34,0.94,Acciona
2019-10-09,90.3,90.8,92.15,88.3,143.07,-1.79,Acciona
2019-10-07,96.8,95.25,96.8,94.75,62.14,1.2,Acciona
2019-10-04,95.65,95.35,95.9,94.8,66.63,0.9,Acciona
2019-10-03,94.8,95.95,96.35,94.55,59.48,-0.94,Acciona
2019-10-02,95.7,96.1,98.65,95.7,152.52,0.16,Acciona
2019-10-01,95.55,96.95,97.45,95.3,70.99,-1.6,Acciona
2019-09-30,97.1,97.05,97.1,95.7,50.66,0.31,Acciona
2019-09-27,96.8,96.3,98.7,96.3,71.64,1.2,Acciona
2019-09-26,95.65,94.65,96.0,94.4,89.28,1.11,Acciona
2019-09-25,94.6,96.85,96.85,94.4,71.76,-2.32,Acciona
2019-09-24,96.85,95.1,96.85,95.1,51.44,1.47,Acciona
2019-09-23,95.45,94.95,95.45,94.7,42.46,0.53,Acciona
2019-09-20,94.95,95.55,96.0,94.95,106.74,-0.78,Acciona
2019-09-19,95.7,96.5,96.7,95.0,44.44,-0.83,Acciona
2019-09-18,96.5,95.8,97.15,95.5,76.32,0.57,Acciona
2019-09-17,95.95,95.15,96.15,95.0,81.38,0.52,Acciona
2019-09-16,95.45,97.2,97.2,95.45,86.95,-2.05,Acciona
2019-09-13,97.45,97.7,97.7,95.65,83.05,-0.51,Acciona
2019-09-12,97.95,98.25,98.55,95.55,67.02,0.05,Acciona
2019-09-11,97.9,94.95,97.9,94.8,130.15,2.89,Acciona
2019-09-10,95.15,96.9,97.1,93.6,98.49,-2.11,Acciona
2019-09-09,97.2,98.25,98.35,96.95,50.49,-0.51,Acciona
2019-09-06,97.7,99.0,99.35,97.7,59.75,-1.11,Acciona
