"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"23.10.2019","20,940","20,720","20,960","20,720","-","1,16%"
"22.10.2019","20,700","20,640","20,750","20,360","810,70K","1,17%"
"21.10.2019","20,460","20,400","20,610","20,290","1,05M","0,54%"
"18.10.2019","20,350","20,270","20,450","20,210","1,87M","0,25%"
"17.10.2019","20,300","20,770","20,890","20,300","1,63M","-1,93%"
"16.10.2019","20,700","20,800","20,890","20,590","1,21M","0,15%"
"15.10.2019","20,670","20,850","20,850","20,410","1,05M","-0,19%"
"14.10.2019","20,710","20,670","20,890","20,540","757,41K","0,73%"
"11.10.2019","20,560","20,520","20,730","20,400","1,15M","0,34%"
"10.10.2019","20,490","20,620","20,710","20,360","889,90K","-0,44%"
"09.10.2019","20,580","20,700","20,750","20,460","1,17M","-0,19%"
"08.10.2019","20,620","21,220","21,220","20,580","1,12M","-2,14%"
"07.10.2019","21,070","20,990","21,220","20,960","883,73K","0,67%"
"04.10.2019","20,930","20,900","20,940","20,740","760,36K","0,43%"
"03.10.2019","20,840","21,070","21,370","20,840","720,05K","-1,28%"
"02.10.2019","21,110","21,630","21,630","21,050","1,60M","-1,86%"
"01.10.2019","21,510","21,300","21,640","21,300","1,47M","1,18%"
"30.09.2019","21,260","21,330","21,580","21,190","1,81M","0,71%"
"27.09.2019","21,110","21,100","21,200","20,980","606,06K","-0,09%"
"26.09.2019","21,130","20,770","21,130","20,730","768,28K","2,13%"
"25.09.2019","20,690","20,800","21,210","20,590","1,41M","-1,10%"
"24.09.2019","20,920","20,650","20,940","20,560","2,21M","1,41%"
"23.09.2019","20,630","20,950","20,970","20,440","900,30K","-0,86%"
"20.09.2019","20,810","21,120","21,260","20,810","2,75M","-1,05%"
"19.09.2019","21,030","21,090","21,370","20,780","1,99M","-0,28%"
"18.09.2019","21,090","20,240","21,230","20,050","2,05M","3,74%"
"17.09.2019","20,330","20,420","20,460","20,260","1,46M","0,10%"
"16.09.2019","20,310","20,180","20,700","20,130","1,41M","0,30%"
"13.09.2019","20,250","20,110","20,350","20,020","1,09M","0,25%"
"12.09.2019","20,200","20,090","20,300","19,850","1,17M","-0,15%"
"11.09.2019","20,230","19,880","20,260","19,740","1,62M","2,56%"
"10.09.2019","19,725","19,445","19,890","19,155","1,20M","1,41%"
"09.09.2019","19,450","19,600","19,740","19,400","889,78K","-0,49%"
"06.09.2019","19,545","20,150","20,150","19,450","1,95M","-3,72%"
"05.09.2019","20,300","20,100","20,300","20,020","757,40K","1,10%"
"04.09.2019","20,080","19,930","20,080","19,740","831,83K","1,31%"
"03.09.2019","19,820","19,895","19,960","19,685","720,29K","0,08%"
"02.09.2019","19,805","19,830","20,210","19,805","566,82K","-0,25%"
"30.08.2019","19,855","19,520","19,960","19,520","1,47M","1,95%"
"29.08.2019","19,475","19,890","20,040","19,350","1,12M","-2,09%"
"28.08.2019","19,890","20,020","20,130","19,820","752,34K","-1,19%"
"27.08.2019","20,130","19,825","20,220","19,785","1,01M","1,87%"
"26.08.2019","19,760","19,780","19,895","19,670","404,02K","-0,53%"
"23.08.2019","19,865","20,020","20,180","19,845","624,05K","-0,25%"
"22.08.2019","19,915","19,940","20,310","19,915","673,55K","-0,03%"
"21.08.2019","19,920","19,980","20,140","19,860","923,44K","-0,45%"
"20.08.2019","20,010","20,220","20,450","19,920","826,18K","-1,96%"
"19.08.2019","20,410","20,330","20,410","20,070","699,46K","0,59%"
"16.08.2019","20,290","19,850","20,350","19,840","1,36M","2,68%"
"15.08.2019","19,760","20,130","20,180","19,620","1,21M","-2,08%"
"14.08.2019","20,180","20,180","20,340","20,010","980,74K","0,15%"
"13.08.2019","20,150","19,900","20,490","19,900","1,27M","0,65%"
"12.08.2019","20,020","20,000","20,110","19,815","772,47K","0,38%"
"09.08.2019","19,945","20,270","20,420","19,945","1,94M","-2,04%"
"08.08.2019","20,360","20,090","20,380","20,060","1,47M","1,80%"
"07.08.2019","20,000","19,920","20,180","19,835","1,51M","0,48%"
"06.08.2019","19,905","19,850","20,300","19,520","1,57M","0,35%"
"05.08.2019","19,835","19,825","20,320","19,745","1,32M","-0,63%"
"02.08.2019","19,960","19,470","20,050","19,460","1,33M","1,50%"
"01.08.2019","19,665","19,640","19,755","19,480","1,44M","-0,05%"
"31.07.2019","19,675","19,160","19,690","18,860","2,44M","2,77%"
"30.07.2019","19,145","19,770","19,835","19,145","1,08M","-2,89%"
"29.07.2019","19,715","19,500","19,865","19,500","955,31K","1,28%"
"26.07.2019","19,465","19,560","19,640","19,435","926,61K","-0,59%"
"25.07.2019","19,580","19,530","20,010","19,390","1,20M","0,59%"
"24.07.2019","19,465","19,300","19,585","19,165","953,00K","0,59%"
"23.07.2019","19,350","19,280","19,385","19,065","1,31M","0,44%"
"22.07.2019","19,265","19,600","19,600","19,195","929,68K","-1,00%"
"19.07.2019","19,460","19,495","19,670","19,360","1,34M","-0,84%"
"18.07.2019","19,625","19,350","19,725","19,110","2,66M","-0,38%"
"17.07.2019","19,700","19,200","19,850","19,020","2,10M","3,03%"
"16.07.2019","19,120","19,655","19,655","19,010","1,84M","-2,89%"
"15.07.2019","19,690","19,160","20,140","18,800","3,06M","2,77%"
"12.07.2019","19,160","19,220","19,355","19,040","2,24M","-0,60%"
"11.07.2019","19,275","19,280","19,580","19,180","1,53M","-0,05%"
"10.07.2019","19,285","19,350","19,465","19,100","2,11M","-1,31%"
"09.07.2019","19,540","19,260","19,865","19,130","2,11M","-1,69%"
