"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"23.10.2019","23,640","23,590","23,720","23,505","-","-0,04%"
"22.10.2019","23,650","23,500","23,720","23,450","543,98K","0,34%"
"21.10.2019","23,570","23,680","23,720","23,360","775,88K","-0,46%"
"18.10.2019","23,680","23,420","23,680","23,320","730,81K","1,24%"
"17.10.2019","23,390","23,500","23,670","23,390","1,31M","-0,21%"
"16.10.2019","23,440","23,540","23,680","23,350","966,23K","-0,51%"
"15.10.2019","23,560","23,440","23,600","23,400","930,59K","0,73%"
"14.10.2019","23,390","23,450","23,610","23,380","698,03K","-0,47%"
"11.10.2019","23,500","23,630","23,630","23,350","1,08M","0,09%"
"10.10.2019","23,480","23,820","23,820","23,430","1,05M","-1,14%"
"09.10.2019","23,750","23,700","23,790","23,550","1,57M","0,55%"
"08.10.2019","23,620","23,990","23,990","23,620","1,07M","-1,09%"
"07.10.2019","23,880","23,750","23,970","23,740","836,77K","0,29%"
"04.10.2019","23,810","23,540","23,860","23,350","1,22M","1,10%"
"03.10.2019","23,550","23,460","23,760","23,390","708,76K","0,34%"
"02.10.2019","23,470","23,910","23,940","23,470","1,37M","-1,76%"
"01.10.2019","23,890","24,200","24,200","23,760","877,77K","-1,04%"
"30.09.2019","24,140","23,890","24,140","23,820","1,05M","1,22%"
"27.09.2019","23,850","23,910","24,000","23,610","921,26K","-0,67%"
"26.09.2019","24,010","23,560","24,150","23,560","806,84K","2,04%"
"25.09.2019","23,530","23,930","23,970","23,520","886,77K","-1,71%"
"24.09.2019","23,940","23,760","23,940","23,640","610,69K","0,97%"
"23.09.2019","23,710","23,650","23,890","23,590","683,01K","0,51%"
"20.09.2019","23,590","23,640","23,840","23,570","1,91M","-0,13%"
"19.09.2019","23,620","23,680","23,740","23,470","803,11K","0,04%"
"18.09.2019","23,610","23,470","23,690","23,370","1,14M","0,34%"
"17.09.2019","23,530","23,240","23,530","23,160","939,79K","1,07%"
"16.09.2019","23,280","23,330","23,450","23,260","829,95K","-0,47%"
"13.09.2019","23,390","23,470","23,530","23,310","776,31K","-0,72%"
"12.09.2019","23,560","23,400","23,860","23,340","927,71K","0,77%"
"11.09.2019","23,380","23,500","23,500","22,890","1,04M","-0,21%"
"10.09.2019","23,430","23,350","23,490","22,960","1,28M","0,26%"
"09.09.2019","23,370","23,600","23,730","23,300","950,71K","-0,97%"
"06.09.2019","23,600","23,690","23,730","23,470","1,35M","-0,46%"
"05.09.2019","23,710","23,890","23,910","23,640","957,07K","-0,59%"
"04.09.2019","23,850","23,650","23,860","23,610","954,15K","0,93%"
"03.09.2019","23,630","23,570","23,760","23,520","987,27K","0,04%"
"02.09.2019","23,620","23,400","23,690","23,360","366,06K","1,07%"
"30.08.2019","23,370","23,460","23,650","23,370","652,55K","-0,26%"
"29.08.2019","23,430","23,380","23,680","23,380","467,22K","-0,30%"
"28.08.2019","23,500","23,420","23,550","23,260","600,48K","0,26%"
"27.08.2019","23,440","23,080","23,520","23,080","1,15M","1,52%"
"26.08.2019","23,090","23,010","23,110","22,940","306,09K","0,09%"
"23.08.2019","23,070","23,060","23,270","23,000","1,85M","0,44%"
"22.08.2019","22,970","23,290","23,410","22,970","954,06K","-1,50%"
"21.08.2019","23,320","23,310","23,430","23,160","481,24K","0,30%"
"20.08.2019","23,250","23,490","23,560","23,240","2,55M","-1,19%"
"19.08.2019","23,530","23,570","23,570","23,250","651,78K","0,34%"
"16.08.2019","23,450","23,200","23,580","23,170","1,43M","1,25%"
"15.08.2019","23,160","23,000","23,210","22,920","827,49K","0,56%"
"14.08.2019","23,030","23,070","23,230","22,730","836,24K","-0,26%"
"13.08.2019","23,090","23,070","23,220","23,020","887,01K","0,00%"
"12.08.2019","23,090","23,070","23,160","22,950","485,23K","0,17%"
"09.08.2019","23,050","23,040","23,070","22,890","1,52M","0,17%"
"08.08.2019","23,010","22,910","23,070","22,860","764,16K","0,79%"
"07.08.2019","22,830","22,840","23,070","22,810","2,43M","0,53%"
"06.08.2019","22,710","22,670","22,960","22,670","1,11M","0,04%"
"05.08.2019","22,700","22,940","23,090","22,590","934,25K","0,00%"
"02.08.2019","22,700","22,550","22,910","22,500","1,07M","0,09%"
"01.08.2019","22,680","22,160","22,710","22,160","710,13K","1,48%"
"31.07.2019","22,350","22,090","22,350","21,890","1,30M","0,72%"
"30.07.2019","22,190","22,600","22,600","22,120","1,86M","-1,60%"
"29.07.2019","22,550","22,560","22,720","22,490","726,81K","-0,27%"
"26.07.2019","22,610","22,970","22,970","22,570","897,96K","-1,09%"
"25.07.2019","22,860","22,810","23,210","22,700","1,01M","0,09%"
"24.07.2019","22,840","22,900","23,170","22,750","2,00M","-0,22%"
"23.07.2019","22,890","23,150","23,170","22,730","976,02K","-1,08%"
"22.07.2019","23,140","22,850","23,140","22,750","1,10M","1,00%"
"19.07.2019","22,910","23,100","23,140","22,850","811,20K","-0,61%"
"18.07.2019","23,050","22,690","23,080","22,660","1,17M","1,05%"
"17.07.2019","22,810","22,560","22,950","22,550","1,90M","1,20%"
"16.07.2019","22,540","22,600","22,650","22,420","992,16K","-0,27%"
"15.07.2019","22,600","22,500","22,720","22,450","1,08M","0,18%"
"12.07.2019","22,560","22,710","22,720","22,390","1,08M","-0,88%"
"11.07.2019","22,760","22,800","22,990","22,730","1,15M","-0,70%"
"10.07.2019","22,920","22,860","23,000","22,610","1,18M","-0,17%"
"09.07.2019","22,960","22,830","23,110","22,830","7,51M","0,44%"
"08.07.2019","22,860","22,790","22,940","22,560","5,92M","-0,39%"
"05.07.2019","22,950","23,250","23,450","22,730","6,89M","-1,50%"
"04.07.2019","23,300","23,420","23,440","23,230","14,01M","-0,68%"
"03.07.2019","23,460","23,340","23,560","23,310","9,56M","0,99%"
"02.07.2019","23,230","22,830","23,230","22,710","1,82M","2,02%"
"01.07.2019","22,770","22,640","22,910","22,290","2,32M","0,71%"
"28.06.2019","22,610","23,000","23,010","22,430","1,73M","-3,50%"
"27.06.2019","23,430","23,500","23,530","23,300","2,04M","-0,30%"
"26.06.2019","23,500","23,630","23,630","23,360","1,38M","-0,51%"
"25.06.2019","23,620","23,650","23,930","23,610","6,14M","-0,38%"
"24.06.2019","23,710","23,850","23,900","23,400","6,00M","-0,25%"
"21.06.2019","23,770","23,650","23,840","23,580","7,57M","0,76%"
"20.06.2019","23,590","23,770","23,930","23,530","14,74M","0,04%"
"19.06.2019","23,580","23,950","23,950","23,450","10,33M","-1,30%"
"18.06.2019","23,890","23,530","23,960","23,410","1,66M","1,66%"
"17.06.2019","23,500","23,800","23,880","23,460","2,21M","-1,22%"
"14.06.2019","23,790","23,830","23,950","23,670","2,93M","-0,38%"
"13.06.2019","23,880","23,580","24,120","23,580","1,17M","1,19%"
"12.06.2019","23,600","23,250","23,680","23,250","1,23M","0,98%"
"11.06.2019","23,370","23,340","23,420","23,220","659,43K","0,13%"
"10.06.2019","23,340","23,580","23,600","23,210","520,42K","-1,02%"
"07.06.2019","23,580","23,150","23,580","23,120","1,03M","1,86%"
"06.06.2019","23,150","22,820","23,300","22,780","1,64M","1,71%"
"05.06.2019","22,760","22,480","22,760","22,370","2,05M","2,02%"
"04.06.2019","22,310","22,320","22,460","22,240","1,27M","-0,45%"
"03.06.2019","22,410","22,180","22,440","22,160","822,18K","0,45%"
"31.05.2019","22,310","22,470","22,550","22,050","1,26M","-0,71%"
"30.05.2019","22,470","22,460","22,660","22,350","460,08K","0,04%"
"29.05.2019","22,460","22,810","22,850","22,440","1,12M","-1,88%"
"28.05.2019","22,890","23,060","23,120","22,870","1,43M","-0,52%"
"27.05.2019","23,010","23,010","23,320","22,980","404,06K","0,26%"
"24.05.2019","22,950","22,700","23,030","22,620","1,24M","1,68%"
"23.05.2019","22,570","22,880","23,020","22,570","1,14M","-1,66%"
"22.05.2019","22,950","22,740","23,000","22,680","594,92K","0,79%"
"21.05.2019","22,770","22,820","23,020","22,650","752,76K","-0,18%"
"20.05.2019","22,810","22,870","23,100","22,700","1,48M","0,09%"
"17.05.2019","22,790","22,760","22,860","22,680","969,43K","0,35%"
"16.05.2019","22,710","22,650","22,890","22,590","932,55K","0,53%"
"15.05.2019","22,590","22,160","22,620","22,090","1,23M","1,62%"
"14.05.2019","22,230","22,440","22,450","22,210","959,99K","-0,71%"
"13.05.2019","22,390","22,300","22,450","22,130","934,80K","0,54%"
"10.05.2019","22,270","21,860","22,360","21,740","1,15M","2,16%"
"09.05.2019","21,800","21,900","22,030","21,730","1,43M","-0,46%"
"08.05.2019","21,900","22,220","22,260","21,900","1,53M","-2,36%"
"07.05.2019","22,430","22,400","22,660","22,230","1,13M","-0,18%"
"06.05.2019","22,470","22,140","22,560","22,140","672,81K","0,81%"
"03.05.2019","22,290","22,070","22,420","21,980","976,50K","1,32%"
"02.05.2019","22,000","22,180","22,260","21,930","1,46M","-0,95%"
"30.04.2019","22,210","22,090","22,310","21,890","1,28M","0,36%"
"29.04.2019","22,130","22,140","22,180","21,940","754,96K","-0,81%"
"26.04.2019","22,310","22,310","22,420","22,030","699,00K","0,00%"
"25.04.2019","22,310","21,980","22,430","21,980","1,37M","1,55%"
"24.04.2019","21,970","21,990","22,050","21,610","968,86K","0,46%"
"23.04.2019","21,870","21,920","22,030","21,830","755,37K","-0,23%"
"18.04.2019","21,920","21,790","21,970","21,660","2,12M","0,60%"
"17.04.2019","21,790","21,860","21,970","21,570","2,45M","-0,68%"
"16.04.2019","21,940","22,210","22,280","21,880","1,33M","-1,48%"
"15.04.2019","22,270","22,210","22,300","22,110","949,91K","0,27%"
"12.04.2019","22,210","22,550","22,630","22,170","1,30M","-1,51%"
"11.04.2019","22,550","22,900","22,900","22,440","926,68K","-1,23%"
"10.04.2019","22,830","22,830","22,920","22,730","1,72M","0,00%"
"09.04.2019","22,830","22,670","22,850","22,550","1,10M","0,66%"
"08.04.2019","22,680","22,720","22,850","22,680","1,37M","-0,13%"
"05.04.2019","22,710","22,820","22,860","22,580","981,70K","-0,39%"
"04.04.2019","22,800","22,670","23,020","22,670","1,11M","0,71%"
"03.04.2019","22,640","22,750","22,750","22,420","1,37M","0,00%"
"02.04.2019","22,640","22,740","22,820","22,630","1,17M","-0,22%"
"01.04.2019","22,690","22,920","22,950","22,630","1,10M","-0,22%"
"29.03.2019","22,740","22,850","22,980","22,700","1,48M","-0,22%"
"28.03.2019","22,790","22,900","23,130","22,790","1,26M","-1,00%"
"27.03.2019","23,020","22,790","23,080","22,500","1,25M","0,22%"
"26.03.2019","22,970","23,190","23,300","22,850","1,00M","-0,56%"
"25.03.2019","23,100","22,960","23,150","22,960","1,31M","-0,17%"
"22.03.2019","23,140","22,950","23,170","22,830","2,67M","0,92%"
"21.03.2019","22,930","22,830","22,990","22,790","670,32K","0,22%"
"20.03.2019","22,880","22,840","22,990","22,780","1,26M","-0,09%"
"19.03.2019","22,900","22,760","23,020","22,680","1,68M","0,70%"
"18.03.2019","22,740","22,500","22,740","22,480","1,05M","0,80%"
"15.03.2019","22,560","22,580","22,720","22,430","1,77M","-0,04%"
"14.03.2019","22,570","22,610","22,700","22,470","868,30K","0,13%"
"13.03.2019","22,540","22,570","22,730","22,480","972,52K","-1,05%"
"12.03.2019","22,780","22,550","22,780","22,420","936,07K","1,20%"
"11.03.2019","22,510","22,570","22,610","22,260","856,18K","-0,27%"
"08.03.2019","22,570","22,460","22,900","22,390","1,20M","-0,27%"
"07.03.2019","22,630","21,950","22,640","21,950","1,52M","3,29%"
"06.03.2019","21,910","21,860","21,960","21,720","756,80K","0,46%"
"05.03.2019","21,810","21,840","21,920","21,660","1,22M","-0,37%"
"04.03.2019","21,890","21,960","22,050","21,820","588,33K","-0,14%"
"01.03.2019","21,920","22,190","22,290","21,880","1,56M","-1,04%"
"28.02.2019","22,150","21,800","22,170","21,800","1,20M","1,56%"
"27.02.2019","21,810","22,090","22,380","21,810","1,66M","-0,91%"
"26.02.2019","22,010","21,900","22,050","21,890","800,76K","-0,05%"
"25.02.2019","22,020","22,000","22,060","21,870","771,87K","0,09%"
"22.02.2019","22,000","21,880","22,000","21,760","971,79K","0,50%"
"21.02.2019","21,890","21,910","22,140","21,700","1,14M","0,09%"
"20.02.2019","21,870","21,670","21,970","21,630","1,06M","1,02%"
"19.02.2019","21,650","21,670","21,740","21,590","776,18K","-0,23%"
"18.02.2019","21,700","21,480","21,700","21,450","1,00M","0,88%"
"15.02.2019","21,510","21,800","21,800","21,340","1,42M","-1,33%"
"14.02.2019","21,800","21,750","21,890","21,670","1,34M","0,55%"
"13.02.2019","21,680","21,870","21,960","21,530","1,17M","-1,00%"
"12.02.2019","21,900","21,800","22,080","21,740","1,26M","0,74%"
"11.02.2019","21,740","21,640","21,820","21,520","954,41K","0,18%"
"08.02.2019","21,700","21,750","21,820","21,530","857,88K","-0,73%"
"07.02.2019","21,860","21,860","21,990","21,730","755,09K","-0,36%"
"06.02.2019","21,940","21,940","22,090","21,840","881,36K","-0,23%"
"05.02.2019","21,990","21,750","21,990","21,640","1,34M","0,92%"
"04.02.2019","21,790","21,630","21,840","21,560","1,21M","0,23%"
"01.02.2019","21,740","21,850","21,880","21,580","867,62K","-0,37%"
"31.01.2019","21,820","21,570","21,840","21,570","1,79M","1,25%"
"30.01.2019","21,550","21,580","21,660","21,490","770,70K","-0,32%"
"29.01.2019","21,620","21,270","21,650","21,270","1,48M","1,79%"
"28.01.2019","21,240","21,210","21,370","21,140","793,93K","-0,42%"
"25.01.2019","21,330","21,590","21,650","21,270","866,33K","-1,07%"
"24.01.2019","21,560","21,360","21,580","21,360","1,40M","0,75%"
"23.01.2019","21,400","21,190","21,400","21,120","1,14M","0,90%"
"22.01.2019","21,210","21,040","21,290","21,040","1,32M","0,62%"
"21.01.2019","21,080","21,150","21,160","20,970","553,03K","-0,28%"
"18.01.2019","21,140","20,990","21,190","20,890","1,28M","1,00%"
"17.01.2019","20,930","20,660","21,000","20,640","1,03M","1,26%"
