"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"23.10.2019","18,660","18,780","18,780","18,520","10,11K","0,54%"
"22.10.2019","18,560","18,620","18,640","18,420","93,26K","0,43%"
"21.10.2019","18,480","18,740","18,740","18,300","109,41K","-0,65%"
"18.10.2019","18,600","18,360","18,600","18,300","92,44K","0,87%"
"17.10.2019","18,440","18,480","18,600","18,360","94,12K","0,44%"
"16.10.2019","18,360","18,580","18,620","18,360","47,53K","-1,18%"
"15.10.2019","18,580","18,440","18,600","18,440","110,63K","0,76%"
"14.10.2019","18,440","18,300","18,520","18,260","101,36K","0,66%"
"11.10.2019","18,320","18,260","18,320","18,080","144,59K","0,99%"
"10.10.2019","18,140","18,320","18,360","18,120","98,23K","-0,87%"
"09.10.2019","18,300","18,220","18,420","18,140","121,05K","0,11%"
"08.10.2019","18,280","18,100","18,340","18,100","106,41K","0,33%"
"07.10.2019","18,220","18,060","18,300","18,060","88,47K","0,77%"
"04.10.2019","18,080","18,000","18,120","17,880","103,58K","1,23%"
"03.10.2019","17,860","17,820","18,120","17,820","195,88K","-0,56%"
"02.10.2019","17,960","18,060","18,200","17,880","324,70K","-1,75%"
"01.10.2019","18,280","18,540","18,720","18,280","114,17K","-1,40%"
"30.09.2019","18,540","18,260","18,720","18,260","154,18K","-0,22%"
"27.09.2019","18,580","18,580","18,700","18,400","126,60K","0,11%"
"26.09.2019","18,560","18,520","18,800","18,380","403,85K","0,11%"
"25.09.2019","18,540","18,620","18,820","18,420","446,68K","-2,11%"
"24.09.2019","18,940","18,680","19,080","18,680","288,61K","1,83%"
"23.09.2019","18,600","18,560","18,780","18,460","290,93K","-0,11%"
"20.09.2019","18,620","18,540","18,700","18,420","8,05M","0,65%"
"19.09.2019","18,500","18,660","18,660","18,180","212,10K","0,43%"
"18.09.2019","18,420","18,060","18,580","17,980","374,29K","2,79%"
"17.09.2019","17,920","18,340","18,340","17,920","367,15K","-1,54%"
"16.09.2019","18,200","18,300","18,400","18,080","188,71K","-1,09%"
"13.09.2019","18,400","18,900","18,900","18,260","290,28K","-0,76%"
"12.09.2019","18,540","18,940","19,000","18,540","162,93K","-1,70%"
"11.09.2019","18,860","18,840","19,040","18,440","306,23K","1,18%"
"10.09.2019","18,640","18,660","18,660","17,900","349,96K","0,43%"
"09.09.2019","18,560","18,940","18,960","18,300","221,11K","-2,21%"
"06.09.2019","18,980","19,040","19,040","18,760","259,41K","-0,11%"
"05.09.2019","19,000","19,160","19,160","18,740","360,96K","-0,31%"
"04.09.2019","19,060","19,240","19,240","18,940","216,83K","-0,31%"
"03.09.2019","19,120","19,260","19,280","18,900","204,22K","-0,21%"
"02.09.2019","19,160","19,340","19,460","19,080","252,79K","-0,42%"
"30.08.2019","19,240","19,260","19,440","19,180","236,15K","-0,72%"
"29.08.2019","19,380","19,260","19,440","19,200","367,24K","1,36%"
"28.08.2019","19,120","18,980","19,200","18,820","480,26K","0,74%"
"27.08.2019","18,980","18,980","19,280","18,880","315,43K","-0,11%"
"26.08.2019","19,000","19,300","19,400","19,000","200,34K","-3,26%"
"23.08.2019","19,640","20,000","20,000","19,580","58,38K","-0,81%"
"22.08.2019","19,800","20,150","20,200","19,780","51,94K","-0,80%"
"21.08.2019","19,960","20,150","20,150","19,960","50,44K","0,20%"
"20.08.2019","19,920","20,100","20,300","19,880","72,01K","-0,30%"
"19.08.2019","19,980","19,980","20,150","19,800","62,40K","1,01%"
"16.08.2019","19,780","19,960","19,960","19,700","129,01K","0,10%"
"15.08.2019","19,760","19,840","19,840","19,440","38,60K","-0,20%"
"14.08.2019","19,800","19,780","19,880","19,420","202,41K","0,92%"
"13.08.2019","19,620","19,680","19,680","19,360","41,99K","0,00%"
"12.08.2019","19,620","19,700","19,960","19,560","92,23K","0,51%"
"09.08.2019","19,520","19,780","19,920","19,420","165,65K","-1,31%"
"08.08.2019","19,780","19,860","20,050","19,740","146,06K","1,23%"
"07.08.2019","19,540","19,560","19,840","19,440","145,01K","0,51%"
"06.08.2019","19,440","19,540","19,760","19,440","81,75K","-1,12%"
"05.08.2019","19,660","19,920","19,920","19,600","70,92K","-2,67%"
"02.08.2019","20,200","20,300","20,600","20,100","112,58K","-2,65%"
"01.08.2019","20,750","20,600","20,800","20,300","103,93K","1,22%"
"31.07.2019","20,500","20,000","20,500","19,820","249,24K","2,50%"
"30.07.2019","20,000","20,550","20,550","19,560","199,64K","-1,72%"
"29.07.2019","20,350","20,250","20,350","20,150","191,81K","0,74%"
