"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"23.10.2019","8,300","8,400","8,463","8,220","-","-1,31%"
"22.10.2019","8,410","8,640","8,750","8,375","610,52K","-3,22%"
"21.10.2019","8,690","8,585","8,775","8,480","699,40K","1,64%"
"18.10.2019","8,550","8,510","8,670","8,445","639,36K","0,65%"
"17.10.2019","8,495","8,380","8,545","8,285","528,47K","1,43%"
"16.10.2019","8,375","8,345","8,430","8,265","679,39K","0,24%"
"15.10.2019","8,355","8,475","8,520","8,275","467,94K","-1,30%"
"14.10.2019","8,465","8,600","8,600","8,255","792,34K","-1,28%"
"11.10.2019","8,575","8,130","8,625","8,100","1,17M","7,05%"
"10.10.2019","8,010","7,370","8,130","7,350","1,90M","9,58%"
"09.10.2019","7,310","7,360","7,390","7,245","402,49K","-0,81%"
"08.10.2019","7,370","7,695","7,695","7,350","503,82K","-3,53%"
"07.10.2019","7,640","7,710","7,710","7,520","523,87K","0,46%"
"04.10.2019","7,605","7,565","7,700","7,545","580,63K","1,06%"
"03.10.2019","7,525","7,650","7,720","7,450","641,71K","-2,46%"
"02.10.2019","7,715","7,905","7,905","7,700","593,24K","-2,40%"
"01.10.2019","7,905","8,000","8,115","7,850","404,89K","-0,44%"
"30.09.2019","7,940","7,970","8,045","7,900","505,74K","-0,94%"
"27.09.2019","8,015","7,805","8,040","7,795","374,23K","2,95%"
"26.09.2019","7,785","7,865","8,000","7,765","391,31K","-0,76%"
"25.09.2019","7,845","7,975","8,000","7,745","639,61K","-2,12%"
"24.09.2019","8,015","8,190","8,215","8,015","428,33K","-0,80%"
"23.09.2019","8,080","8,270","8,295","8,040","596,62K","-3,06%"
"20.09.2019","8,335","8,300","8,365","8,230","1,01M","0,18%"
"19.09.2019","8,320","8,015","8,490","7,985","973,20K","3,94%"
"18.09.2019","8,005","7,895","8,035","7,830","599,14K","1,59%"
"17.09.2019","7,880","8,040","8,080","7,865","977,19K","-2,41%"
"16.09.2019","8,075","8,095","8,195","8,000","544,36K","-1,40%"
"13.09.2019","8,190","8,150","8,220","8,010","531,47K","0,49%"
"12.09.2019","8,150","8,420","8,480","8,110","892,68K","-2,04%"
"11.09.2019","8,320","8,130","8,430","8,095","1,27M","2,97%"
"10.09.2019","8,080","8,220","8,310","7,960","953,45K","-0,86%"
"09.09.2019","8,150","8,150","8,225","8,075","973,20K","0,06%"
"06.09.2019","8,145","7,950","8,180","7,930","2,17M","4,69%"
