"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"23.10.2019","2,568","2,565","2,584","2,560","-","-0,43%"
"22.10.2019","2,579","2,568","2,587","2,555","2,88M","0,04%"
"21.10.2019","2,578","2,546","2,584","2,544","4,94M","1,18%"
"18.10.2019","2,548","2,529","2,550","2,520","3,72M","0,55%"
"17.10.2019","2,534","2,517","2,572","2,517","4,71M","0,28%"
"16.10.2019","2,527","2,503","2,527","2,493","3,10M","0,64%"
"15.10.2019","2,511","2,480","2,511","2,478","2,87M","1,58%"
"14.10.2019","2,472","2,472","2,477","2,447","2,11M","-0,84%"
"11.10.2019","2,493","2,427","2,493","2,427","3,69M","2,55%"
"10.10.2019","2,431","2,399","2,431","2,393","3,26M","1,67%"
"09.10.2019","2,391","2,390","2,408","2,382","4,62M","0,13%"
"08.10.2019","2,388","2,430","2,432","2,388","4,87M","-1,61%"
"07.10.2019","2,427","2,400","2,433","2,386","3,32M","1,51%"
"04.10.2019","2,391","2,402","2,402","2,377","3,57M","0,13%"
"03.10.2019","2,388","2,412","2,412","2,372","6,84M","-1,16%"
"02.10.2019","2,416","2,446","2,452","2,416","3,60M","-1,83%"
"01.10.2019","2,461","2,478","2,491","2,450","2,78M","-0,40%"
"30.09.2019","2,471","2,462","2,484","2,462","4,15M","-0,16%"
"27.09.2019","2,475","2,464","2,475","2,447","2,51M","0,57%"
"26.09.2019","2,461","2,449","2,474","2,449","2,82M","0,29%"
"25.09.2019","2,454","2,477","2,488","2,430","4,10M","-1,05%"
"24.09.2019","2,480","2,499","2,499","2,462","4,72M","-0,24%"
"23.09.2019","2,486","2,482","2,495","2,461","4,22M","-0,40%"
"20.09.2019","2,496","2,483","2,511","2,483","7,83M","-0,12%"
"19.09.2019","2,499","2,468","2,502","2,459","2,83M","1,30%"
"18.09.2019","2,467","2,490","2,499","2,462","5,57M","-0,80%"
"17.09.2019","2,487","2,502","2,508","2,454","5,67M","-1,19%"
"16.09.2019","2,517","2,545","2,551","2,479","4,50M","-2,33%"
"13.09.2019","2,577","2,536","2,577","2,523","3,27M","1,62%"
"12.09.2019","2,536","2,550","2,550","2,507","5,25M","-0,20%"
"11.09.2019","2,541","2,540","2,562","2,519","4,10M","0,47%"
"10.09.2019","2,529","2,490","2,536","2,486","3,42M","1,44%"
"09.09.2019","2,493","2,466","2,501","2,466","3,75M","1,18%"
"06.09.2019","2,464","2,436","2,464","2,431","2,61M","0,98%"
"05.09.2019","2,440","2,415","2,445","2,415","3,88M","1,71%"
"04.09.2019","2,399","2,403","2,439","2,395","3,39M","0,46%"
"03.09.2019","2,388","2,394","2,408","2,384","3,87M","-0,17%"
"02.09.2019","2,392","2,368","2,400","2,368","2,77M","1,01%"
"30.08.2019","2,368","2,395","2,401","2,358","4,04M","-1,33%"
"29.08.2019","2,400","2,386","2,408","2,382","1,97M","0,25%"
"28.08.2019","2,394","2,415","2,415","2,378","4,81M","-0,99%"
"27.08.2019","2,418","2,393","2,418","2,376","4,12M","0,92%"
"26.08.2019","2,396","2,385","2,406","2,378","1,19M","0,29%"
"23.08.2019","2,389","2,400","2,405","2,379","4,36M","-0,21%"
"22.08.2019","2,394","2,362","2,394","2,360","4,31M","0,67%"
"21.08.2019","2,378","2,363","2,385","2,362","2,05M","0,72%"
"20.08.2019","2,361","2,380","2,380","2,352","2,75M","-0,92%"
"19.08.2019","2,383","2,373","2,394","2,365","2,58M","0,97%"
"16.08.2019","2,360","2,328","2,365","2,328","2,96M","1,20%"
"15.08.2019","2,332","2,352","2,352","2,310","2,64M","0,00%"
"14.08.2019","2,332","2,391","2,402","2,325","3,86M","-2,59%"
"13.08.2019","2,394","2,385","2,422","2,367","3,75M","-0,04%"
"12.08.2019","2,395","2,434","2,440","2,389","3,53M","-0,54%"
"09.08.2019","2,408","2,450","2,456","2,408","8,50M","-1,71%"
"08.08.2019","2,450","2,420","2,450","2,415","3,16M","2,30%"
"07.08.2019","2,395","2,412","2,428","2,385","4,63M","-0,13%"
"06.08.2019","2,398","2,431","2,445","2,398","4,21M","-1,52%"
"05.08.2019","2,435","2,432","2,452","2,408","4,80M","-0,41%"
"02.08.2019","2,445","2,453","2,476","2,426","4,51M","-1,69%"
"01.08.2019","2,487","2,484","2,499","2,473","3,17M","-0,24%"
"31.07.2019","2,493","2,501","2,516","2,480","4,82M","-0,20%"
"30.07.2019","2,498","2,567","2,567","2,493","4,48M","-2,57%"
"29.07.2019","2,564","2,589","2,595","2,537","6,18M","-1,23%"
"26.07.2019","2,596","2,630","2,630","2,581","3,98M","-1,48%"
"25.07.2019","2,635","2,730","2,739","2,635","4,38M","-2,98%"
"24.07.2019","2,716","2,718","2,727","2,709","3,37M","-0,26%"
"23.07.2019","2,723","2,714","2,741","2,709","4,05M","0,89%"
"22.07.2019","2,699","2,729","2,731","2,695","2,48M","-1,17%"
"19.07.2019","2,731","2,728","2,743","2,708","3,06M","0,18%"
"18.07.2019","2,726","2,705","2,737","2,701","2,69M","0,11%"
"17.07.2019","2,723","2,709","2,740","2,687","3,73M","0,67%"
"16.07.2019","2,705","2,706","2,715","2,690","4,14M","0,19%"
"15.07.2019","2,700","2,680","2,716","2,680","4,77M","0,75%"
"12.07.2019","2,680","2,682","2,698","2,670","3,03M","-0,33%"
"11.07.2019","2,689","2,684","2,694","2,671","2,05M","0,71%"
"10.07.2019","2,670","2,678","2,699","2,669","2,34M","-0,41%"
"09.07.2019","2,681","2,665","2,681","2,648","2,46M","0,19%"
"08.07.2019","2,676","2,680","2,686","2,662","3,18M","-0,15%"
"05.07.2019","2,680","2,688","2,696","2,668","4,19M","-0,11%"
"04.07.2019","2,683","2,670","2,695","2,668","1,99M","0,79%"
"03.07.2019","2,662","2,648","2,669","2,638","3,22M","0,68%"
"02.07.2019","2,644","2,620","2,644","2,610","3,86M","1,34%"
"01.07.2019","2,609","2,600","2,623","2,595","16,07M","1,48%"
"28.06.2019","2,571","2,580","2,583","2,551","7,20M","-0,46%"
"27.06.2019","2,583","2,640","2,642","2,577","4,38M","-1,45%"
"26.06.2019","2,621","2,630","2,653","2,620","24,10M","-0,53%"
"25.06.2019","2,635","2,637","2,642","2,619","4,00M","-0,08%"
"24.06.2019","2,637","2,642","2,657","2,625","2,80M","0,38%"
"21.06.2019","2,627","2,630","2,659","2,603","8,03M","-2,88%"
"20.06.2019","2,705","2,748","2,749","2,703","6,18M","-0,84%"
"19.06.2019","2,728","2,680","2,731","2,675","6,21M","1,75%"
"18.06.2019","2,681","2,643","2,685","2,623","3,62M","1,44%"
"17.06.2019","2,643","2,651","2,663","2,641","14,52M","0,23%"
"14.06.2019","2,637","2,661","2,662","2,630","6,25M","-0,94%"
"13.06.2019","2,662","2,664","2,679","2,655","4,27M","-0,22%"
"12.06.2019","2,668","2,671","2,680","2,661","22,69M","-0,63%"
"11.06.2019","2,685","2,675","2,696","2,675","2,87M","0,52%"
"10.06.2019","2,671","2,680","2,684","2,662","1,47M","0,19%"
"07.06.2019","2,666","2,649","2,668","2,640","2,65M","1,29%"
"06.06.2019","2,632","2,640","2,655","2,623","3,15M","-0,19%"
"05.06.2019","2,637","2,669","2,669","2,627","5,84M","-0,75%"
"04.06.2019","2,657","2,596","2,662","2,590","5,10M","1,88%"
"03.06.2019","2,608","2,603","2,613","2,586","3,16M","-0,76%"
"31.05.2019","2,628","2,629","2,636","2,608","3,95M","-0,98%"
"30.05.2019","2,654","2,632","2,660","2,614","1,67M","1,57%"
"29.05.2019","2,613","2,656","2,662","2,613","4,91M","-1,99%"
"28.05.2019","2,666","2,665","2,681","2,654","5,78M","-0,34%"
"27.05.2019","2,675","2,661","2,686","2,657","1,07M","0,79%"
"24.05.2019","2,654","2,634","2,654","2,620","3,05M","1,80%"
"23.05.2019","2,607","2,643","2,656","2,607","2,85M","-1,84%"
"22.05.2019","2,656","2,655","2,670","2,641","3,05M","-0,23%"
"21.05.2019","2,662","2,650","2,671","2,632","2,93M","0,64%"
"20.05.2019","2,645","2,688","2,690","2,618","4,70M","-1,23%"
"17.05.2019","2,678","2,692","2,692","2,639","5,27M","-0,52%"
"16.05.2019","2,692","2,637","2,696","2,625","4,92M","2,20%"
"15.05.2019","2,634","2,620","2,634","2,599","2,78M","0,57%"
"14.05.2019","2,619","2,579","2,619","2,577","3,66M","1,67%"
"13.05.2019","2,576","2,628","2,629","2,576","2,78M","-1,68%"
"10.05.2019","2,620","2,616","2,637","2,608","2,02M","0,69%"
"09.05.2019","2,602","2,640","2,640","2,591","4,31M","-1,63%"
"08.05.2019","2,645","2,670","2,670","2,622","3,67M","-0,04%"
"07.05.2019","2,646","2,673","2,700","2,638","4,47M","0,72%"
"06.05.2019","2,627","2,630","2,639","2,602","2,50M","-1,87%"
"03.05.2019","2,677","2,684","2,690","2,664","2,54M","-0,56%"
