"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"23.10.2019","22,08","22,30","22,36","21,60","243,40K","-1,52%"
"22.10.2019","22,42","22,30","22,82","22,30","375,16K","0,36%"
"21.10.2019","22,34","22,42","22,64","22,26","584,24K","-0,98%"
"18.10.2019","22,56","23,02","23,18","22,34","646,54K","-2,42%"
"17.10.2019","23,12","22,50","23,18","22,40","6,26M","-1,62%"
"16.10.2019","23,50","23,36","23,58","23,16","313,05K","0,43%"
"15.10.2019","23,40","23,36","23,44","22,76","387,59K","0,86%"
"14.10.2019","23,20","23,22","23,82","22,94","660,27K","-0,60%"
"11.10.2019","23,34","23,80","23,96","23,24","360,40K","-1,44%"
"10.10.2019","23,68","23,44","23,76","23,32","233,96K","1,20%"
"09.10.2019","23,40","23,56","23,60","23,26","442,72K","-0,85%"
"08.10.2019","23,60","23,62","23,68","23,14","378,03K","0,43%"
"07.10.2019","23,50","22,86","24,14","22,42","1,07M","3,25%"
"04.10.2019","22,76","23,00","23,30","22,42","910,16K","-0,26%"
"03.10.2019","22,82","22,70","22,96","22,10","913,42K","0,80%"
"02.10.2019","22,64","22,60","22,70","21,62","1,10M","0,18%"
"01.10.2019","22,60","19,20","22,60","19,12","2,31M","21,24%"
"30.09.2019","18,64","18,70","18,77","18,54","145,99K","-0,11%"
"27.09.2019","18,66","18,64","18,90","18,36","179,80K","0,54%"
"26.09.2019","18,56","18,24","18,68","18,24","221,61K","1,64%"
"25.09.2019","18,26","18,28","18,28","17,92","229,55K","-0,22%"
"24.09.2019","18,30","18,10","18,54","18,04","256,26K","1,55%"
"23.09.2019","18,02","18,42","18,42","17,88","245,40K","-2,38%"
"20.09.2019","18,46","18,38","18,54","18,20","539,28K","1,10%"
"19.09.2019","18,26","18,36","18,60","18,12","219,30K","-0,54%"
"18.09.2019","18,36","18,44","18,52","17,96","289,69K","-0,54%"
"17.09.2019","18,46","19,18","19,24","18,28","308,52K","-4,05%"
"16.09.2019","19,24","19,10","19,30","19,00","349,78K","0,73%"
"13.09.2019","19,10","19,10","19,18","19,04","202,34K","0,00%"
"12.09.2019","19,10","18,96","19,24","18,66","514,75K","1,60%"
