"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"23.10.2019","5,598","5,528","5,624","5,516","-","0,11%"
"22.10.2019","5,592","5,556","5,610","5,480","820,11K","0,32%"
"21.10.2019","5,574","5,300","5,654","5,248","625,59K","-0,18%"
"18.10.2019","5,584","5,486","5,614","5,486","532,37K","0,76%"
"17.10.2019","5,542","5,454","5,620","5,442","825,77K","0,69%"
"16.10.2019","5,504","5,810","5,810","5,490","994,88K","-2,58%"
"15.10.2019","5,650","5,642","5,694","5,618","411,13K","0,00%"
"14.10.2019","5,650","5,622","5,654","5,574","469,05K","0,21%"
"11.10.2019","5,638","5,690","5,818","5,550","1,73M","-0,91%"
"10.10.2019","5,690","5,642","5,714","5,600","633,43K","0,85%"
"09.10.2019","5,642","5,750","5,750","5,636","648,33K","-0,67%"
"08.10.2019","5,680","5,796","5,796","5,642","1,30M","-1,22%"
"07.10.2019","5,750","5,792","5,792","5,646","506,93K","0,14%"
"04.10.2019","5,742","5,970","5,970","5,722","625,53K","-0,90%"
"03.10.2019","5,794","5,830","5,846","5,740","938,15K","-0,55%"
"02.10.2019","5,826","5,980","5,980","5,820","876,15K","-3,13%"
"01.10.2019","6,014","5,952","6,060","5,940","803,97K","1,69%"
"30.09.2019","5,914","5,930","5,988","5,914","654,53K","-0,61%"
"27.09.2019","5,950","5,950","5,982","5,846","594,53K","0,24%"
"26.09.2019","5,936","5,912","5,986","5,876","657,43K","1,19%"
"25.09.2019","5,866","6,008","6,008","5,804","1,04M","-2,23%"
"24.09.2019","6,000","6,032","6,088","5,986","621,96K","-0,66%"
"23.09.2019","6,040","6,162","6,162","6,040","1,05M","-1,98%"
"20.09.2019","6,162","6,200","6,282","6,150","2,83M","3,01%"
"19.09.2019","5,982","5,958","6,052","5,958","594,24K","-0,07%"
"18.09.2019","5,986","5,980","6,048","5,948","668,96K","-0,27%"
"17.09.2019","6,002","6,050","6,104","5,940","841,75K","-0,89%"
"16.09.2019","6,056","6,094","6,114","6,042","634,40K","-1,30%"
"13.09.2019","6,136","6,160","6,196","6,102","705,04K","-0,42%"
"12.09.2019","6,162","6,228","6,230","6,104","769,87K","-0,39%"
"11.09.2019","6,186","6,192","6,230","6,156","696,51K","1,05%"
"10.09.2019","6,122","6,262","6,280","6,080","1,21M","-1,89%"
"09.09.2019","6,240","6,190","6,254","6,188","1,01M","0,81%"
"06.09.2019","6,190","6,190","6,198","6,142","1,02M","0,32%"
"05.09.2019","6,170","6,100","6,298","6,064","2,38M","2,76%"
"04.09.2019","6,004","5,978","6,128","5,970","959,62K","1,83%"
"03.09.2019","5,896","5,970","5,970","5,802","650,74K","-1,17%"
"02.09.2019","5,966","5,800","5,974","5,768","1,10M","3,61%"
"30.08.2019","5,758","5,918","5,918","5,692","811,33K","-1,57%"
"29.08.2019","5,850","5,962","6,044","5,812","625,14K","0,00%"
"28.08.2019","5,850","5,900","5,964","5,770","592,65K","-2,14%"
"27.08.2019","5,978","6,060","6,070","5,978","815,56K","-0,37%"
"26.08.2019","6,000","5,950","6,018","5,868","929,72K","-0,37%"
"23.08.2019","6,022","6,020","6,070","5,970","1,47M","0,27%"
"22.08.2019","6,006","5,900","6,050","5,876","3,42M","3,55%"
"21.08.2019","5,800","5,494","5,800","5,454","1,62M","5,88%"
"20.08.2019","5,478","5,660","5,700","5,462","1,05M","-3,08%"
"19.08.2019","5,652","5,606","5,680","5,560","819,55K","2,21%"
"16.08.2019","5,530","5,244","5,580","5,244","2,04M","5,25%"
"15.08.2019","5,254","5,320","5,396","5,196","1,53M","-0,68%"
"14.08.2019","5,290","5,228","5,290","5,132","1,04M","0,95%"
