"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"23.10.2019","12,303","12,270","12,422","12,239","-","0,60%"
"22.10.2019","12,230","12,330","12,400","12,180","1,33M","-0,81%"
"21.10.2019","12,330","12,045","12,450","12,045","2,35M","1,99%"
"18.10.2019","12,090","12,030","12,290","11,955","2,78M","0,12%"
"17.10.2019","12,075","11,805","12,175","11,690","1,90M","2,16%"
"16.10.2019","11,820","12,170","12,210","11,810","2,48M","-2,96%"
"15.10.2019","12,180","12,250","12,335","12,115","1,33M","0,08%"
"14.10.2019","12,170","12,035","12,200","11,960","1,37M","0,95%"
"11.10.2019","12,055","11,660","12,055","11,660","4,97M","3,92%"
"10.10.2019","11,600","11,520","11,615","11,300","3,27M","0,69%"
"09.10.2019","11,520","11,490","11,745","11,465","2,08M","0,22%"
"08.10.2019","11,495","11,750","11,845","11,380","1,39M","-1,96%"
"07.10.2019","11,725","11,510","11,795","11,510","1,52M","1,87%"
"04.10.2019","11,510","11,520","11,625","11,230","2,83M","-0,82%"
"03.10.2019","11,605","11,890","12,045","11,575","1,71M","-2,40%"
"02.10.2019","11,890","12,145","12,215","11,890","3,14M","-2,66%"
"01.10.2019","12,215","12,475","12,660","12,150","2,73M","-1,89%"
"30.09.2019","12,450","12,875","12,875","12,350","3,18M","-3,38%"
"27.09.2019","12,885","12,975","13,040","12,715","2,01M","-0,46%"
"26.09.2019","12,945","13,215","13,345","12,935","2,07M","-1,97%"
"25.09.2019","13,205","13,250","13,335","13,060","1,09M","-1,20%"
"24.09.2019","13,365","13,275","13,490","13,210","1,30M","1,14%"
"23.09.2019","13,215","13,440","13,530","13,090","2,02M","-2,15%"
"20.09.2019","13,505","14,030","14,080","13,420","3,85M","-4,32%"
"19.09.2019","14,115","13,940","14,140","13,915","1,35M","1,00%"
"18.09.2019","13,975","13,880","14,015","13,820","1,41M","0,72%"
"17.09.2019","13,875","13,850","13,875","13,535","1,72M","0,47%"
"16.09.2019","13,810","13,620","13,850","13,540","1,34M","1,06%"
"13.09.2019","13,665","13,530","13,755","13,335","1,31M","1,07%"
"12.09.2019","13,520","13,485","13,645","13,180","1,60M","0,60%"
"11.09.2019","13,440","13,000","13,560","12,995","2,34M","4,11%"
"10.09.2019","12,910","12,585","12,920","12,525","2,32M","2,58%"
"09.09.2019","12,585","12,495","12,600","12,450","1,57M","1,45%"
"06.09.2019","12,405","12,610","12,665","12,190","2,23M","-1,16%"
"05.09.2019","12,550","12,540","12,715","12,520","1,48M","0,60%"
"04.09.2019","12,475","12,360","12,610","12,350","865,79K","1,67%"
"03.09.2019","12,270","12,315","12,340","12,150","909,24K","-0,45%"
"02.09.2019","12,325","12,350","12,485","12,325","1,60M","-0,48%"
"30.08.2019","12,385","12,250","12,500","12,210","1,14M","1,39%"
