"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"23.10.2019","7,219","7,134","7,260","7,112","-","0,99%"
"22.10.2019","7,148","7,097","7,150","7,085","14,45M","0,72%"
"21.10.2019","7,097","7,079","7,149","7,042","8,73M","0,41%"
"18.10.2019","7,068","7,013","7,070","6,998","7,23M","0,30%"
"17.10.2019","7,047","7,055","7,147","7,047","11,21M","-0,45%"
"16.10.2019","7,079","7,069","7,095","6,998","23,37M","0,53%"
"15.10.2019","7,042","7,023","7,070","6,994","22,40M","0,82%"
"14.10.2019","6,985","6,999","7,018","6,940","7,74M","-0,77%"
"11.10.2019","7,039","6,910","7,039","6,896","14,83M","2,15%"
"10.10.2019","6,891","6,820","6,908","6,794","8,26M","1,12%"
"09.10.2019","6,815","6,792","6,850","6,774","9,70M","0,65%"
"08.10.2019","6,771","6,885","6,900","6,736","22,64M","-1,43%"
"07.10.2019","6,869","6,778","6,891","6,767","55,81M","0,88%"
"04.10.2019","6,809","6,799","6,809","6,684","29,54M","0,62%"
"03.10.2019","6,767","6,760","6,810","6,728","15,29M","-0,12%"
"02.10.2019","6,775","6,944","6,998","6,775","21,16M","-2,46%"
"01.10.2019","6,946","7,010","7,048","6,943","8,97M","-0,79%"
"30.09.2019","7,001","6,977","7,034","6,962","11,70M","0,06%"
"27.09.2019","6,997","6,980","7,020","6,948","8,44M","0,76%"
"26.09.2019","6,944","6,880","6,971","6,837","15,78M","0,78%"
"25.09.2019","6,890","6,843","6,930","6,822","19,48M","0,35%"
"24.09.2019","6,866","6,899","6,958","6,866","11,64M","-0,32%"
"23.09.2019","6,888","6,876","6,908","6,832","12,83M","-0,35%"
"20.09.2019","6,912","6,770","6,912","6,740","49,49M","2,34%"
"19.09.2019","6,754","6,733","6,780","6,709","12,12M","0,45%"
"18.09.2019","6,724","6,701","6,727","6,628","17,21M","0,78%"
"17.09.2019","6,672","6,777","6,784","6,653","24,49M","-1,78%"
"16.09.2019","6,793","6,769","6,820","6,734","12,60M","0,06%"
"13.09.2019","6,789","6,743","6,807","6,735","13,65M","1,00%"
"12.09.2019","6,722","6,691","6,744","6,650","14,99M","0,46%"
"11.09.2019","6,691","6,703","6,737","6,639","27,45M","0,07%"
"10.09.2019","6,686","6,650","6,709","6,577","29,87M","0,39%"
"09.09.2019","6,660","6,575","6,673","6,575","18,07M","1,19%"
"06.09.2019","6,582","6,515","6,621","6,509","16,18M","1,15%"
"05.09.2019","6,507","6,479","6,549","6,476","21,24M","1,09%"
"04.09.2019","6,437","6,395","6,513","6,386","17,89M","1,02%"
"03.09.2019","6,372","6,394","6,415","6,323","14,28M","0,25%"
"02.09.2019","6,356","6,301","6,414","6,301","15,42M","0,87%"
"30.08.2019","6,301","6,280","6,325","6,268","14,18M","0,11%"
"29.08.2019","6,294","6,209","6,299","6,209","13,83M","0,96%"
"28.08.2019","6,234","6,149","6,250","6,131","30,68M","1,48%"
"27.08.2019","6,143","6,045","6,151","6,018","21,84M","1,42%"
"26.08.2019","6,057","5,930","6,070","5,915","10,24M","1,99%"
"23.08.2019","5,939","6,023","6,045","5,939","15,01M","-0,90%"
"22.08.2019","5,993","5,950","6,091","5,945","14,37M","0,35%"
"21.08.2019","5,972","5,991","6,006","5,948","10,54M","0,34%"
"20.08.2019","5,952","6,070","6,080","5,952","15,49M","-2,59%"
"19.08.2019","6,110","6,052","6,130","6,044","14,39M","1,73%"
"16.08.2019","6,006","5,945","6,038","5,938","24,35M","1,03%"
"15.08.2019","5,945","6,004","6,037","5,861","14,63M","-0,70%"
"14.08.2019","5,987","6,266","6,277","5,980","29,17M","-4,21%"
"13.08.2019","6,250","6,220","6,308","6,156","19,83M","-0,06%"
"12.08.2019","6,254","6,378","6,382","6,231","15,07M","-1,43%"
"09.08.2019","6,345","6,461","6,488","6,314","24,65M","-2,77%"
"08.08.2019","6,526","6,550","6,562","6,492","14,54M","0,32%"
"07.08.2019","6,505","6,560","6,574","6,430","14,52M","-0,34%"
"06.08.2019","6,527","6,650","6,670","6,507","17,87M","-1,92%"
"05.08.2019","6,655","6,715","6,804","6,640","16,45M","-1,77%"
"02.08.2019","6,775","6,801","6,854","6,744","19,32M","-1,47%"
"01.08.2019","6,876","6,850","6,963","6,844","10,10M","-0,65%"
"31.07.2019","6,921","6,983","6,983","6,880","14,70M","-0,62%"
"30.07.2019","6,964","7,102","7,133","6,940","14,39M","-1,94%"
"29.07.2019","7,102","7,059","7,174","7,044","10,71M","0,62%"
"26.07.2019","7,058","7,098","7,100","7,000","12,37M","-0,16%"
"25.07.2019","7,069","7,360","7,380","7,033","22,91M","-2,93%"
"24.07.2019","7,282","7,300","7,312","7,261","11,20M","0,12%"
"23.07.2019","7,273","7,250","7,316","7,233","8,91M","0,76%"
"22.07.2019","7,218","7,244","7,272","7,186","7,49M","-0,36%"
"19.07.2019","7,244","7,291","7,360","7,214","11,60M","-0,55%"
"18.07.2019","7,284","7,300","7,347","7,272","9,35M","-0,38%"
"17.07.2019","7,312","7,404","7,407","7,312","9,70M","-1,44%"
"16.07.2019","7,419","7,374","7,445","7,345","14,82M","0,53%"
"15.07.2019","7,380","7,400","7,434","7,343","26,11M","-0,18%"
"12.07.2019","7,393","7,440","7,461","7,383","12,20M","-0,63%"
"11.07.2019","7,440","7,412","7,465","7,404","7,37M","0,59%"
"10.07.2019","7,396","7,401","7,454","7,390","17,62M","-0,75%"
"09.07.2019","7,452","7,398","7,452","7,392","24,28M","0,89%"
"08.07.2019","7,386","7,390","7,444","7,380","10,04M","-0,11%"
"05.07.2019","7,394","7,438","7,482","7,390","11,94M","-0,46%"
"04.07.2019","7,428","7,337","7,428","7,334","9,67M","1,48%"
"03.07.2019","7,320","7,308","7,357","7,307","11,65M","0,16%"
"02.07.2019","7,308","7,280","7,308","7,247","10,83M","0,48%"
"01.07.2019","7,273","7,280","7,290","7,212","10,52M","0,72%"
"28.06.2019","7,221","7,219","7,254","7,150","16,42M","0,10%"
"27.06.2019","7,214","7,312","7,314","7,205","9,83M","-1,14%"
"26.06.2019","7,297","7,277","7,320","7,249","12,70M","0,26%"
"25.06.2019","7,278","7,229","7,308","7,206","23,10M","0,28%"
"24.06.2019","7,258","7,291","7,322","7,230","62,65M","-0,08%"
"21.06.2019","7,264","7,330","7,371","7,252","54,85M","-0,81%"
"20.06.2019","7,323","7,386","7,412","7,260","133,88M","-0,48%"
"19.06.2019","7,358","7,381","7,401","7,301","86,15M","-0,05%"
"18.06.2019","7,362","7,220","7,383","7,200","111,06M","-0,30%"
"17.06.2019","7,384","7,470","7,493","7,384","36,29M","-0,81%"
"14.06.2019","7,444","7,499","7,500","7,418","13,12M","-0,60%"
"13.06.2019","7,489","7,537","7,590","7,475","27,77M","-1,34%"
"12.06.2019","7,591","7,497","7,592","7,495","17,05M","0,85%"
"11.06.2019","7,527","7,455","7,543","7,445","22,59M","0,91%"
"10.06.2019","7,459","7,490","7,493","7,448","49,07M","-0,15%"
