Date,Last,Open,Max,Min,Vol_K,Var_%,Index
2019-10-23,5653.44,5617.3,5657.65,5616.02,75000.28,-0.08,cac40_fr
2019-10-22,5657.69,5644.98,5658.65,5612.86,67000.3,0.17,cac40_fr
2019-10-21,5648.35,5633.04,5664.58,5625.1,77000.64,0.21,cac40_fr
2019-10-18,5636.25,5653.08,5667.59,5621.87,95000.32,-0.65,cac40_fr
2019-10-17,5673.07,5679.92,5737.15,5673.07,88000.7,-0.42,cac40_fr
2019-10-16,5696.9,5703.39,5708.91,5677.96,83000.93,-0.09,cac40_fr
2019-10-15,5702.05,5676.74,5724.31,5659.69,88000.01,1.04,cac40_fr
2019-10-14,5643.08,5646.33,5649.67,5600.11,65000.36,-0.4,cac40_fr
2019-10-11,5665.48,5576.95,5667.4,5574.26,115000.45,1.73,cac40_fr
2019-10-10,5569.05,5520.98,5581.07,5487.17,87000.26,1.27,cac40_fr
2019-10-09,5499.14,5458.16,5515.64,5447.01,69000.27,0.78,cac40_fr
2019-10-08,5456.62,5526.01,5531.29,5451.72,72000.69,-1.18,cac40_fr
2019-10-07,5521.61,5476.77,5524.19,5461.59,60000.95,0.61,cac40_fr
2019-10-04,5488.32,5456.83,5488.32,5426.0,76000.2,0.91,cac40_fr
2019-10-03,5438.77,5432.01,5472.62,5393.49,83000.77,0.3,cac40_fr
2019-10-02,5422.77,5587.14,5589.2,5422.77,104000.45,-3.12,cac40_fr
2019-10-01,5597.63,5696.2,5704.93,5594.93,75000.96,-1.41,cac40_fr
2019-09-30,5677.79,5636.15,5678.2,5624.94,77000.13,0.66,cac40_fr
2019-09-27,5640.58,5627.44,5645.36,5621.58,69000.25,0.36,cac40_fr
2019-09-26,5620.57,5573.63,5632.15,5572.41,71000.04,0.66,cac40_fr
2019-09-25,5583.8,5598.5,5600.76,5531.62,80000.84,-0.79,cac40_fr
2019-09-24,5628.33,5644.46,5648.46,5625.24,67000.26,-0.04,cac40_fr
2019-09-23,5630.76,5679.31,5683.93,5619.29,81000.63,-1.05,cac40_fr
2019-09-20,5690.78,5655.37,5696.25,5647.53,188000.62,0.56,cac40_fr
2019-09-19,5659.08,5617.7,5662.86,5616.91,78000.68,0.68,cac40_fr
2019-09-18,5620.65,5609.92,5634.79,5601.65,68000.99,0.09,cac40_fr
2019-09-17,5615.51,5602.96,5619.45,5587.74,82000.37,0.24,cac40_fr
2019-09-16,5602.23,5626.61,5632.74,5602.23,76000.13,-0.94,cac40_fr
2019-09-13,5655.46,5649.23,5672.07,5638.17,85000.6,0.22,cac40_fr
