Date,Last,Open,Max,Min,Vol_K,Var_%,Index
2019-10-23,13888.39,13976.66,14000.92,13848.28,,-0.63,china_a50
2019-10-22,13976.66,13962.76,14038.96,13891.45,,0.1,china_a50
2019-10-21,13962.76,13882.51,13991.76,13844.51,,0.58,china_a50
2019-10-18,13882.51,14098.5,14178.92,13866.39,,-1.53,china_a50
2019-10-17,14098.5,14060.22,14121.05,14029.26,,0.27,china_a50
2019-10-16,14060.22,14109.26,14237.21,14033.19,,-0.35,china_a50
2019-10-15,14109.26,14096.2,14122.41,14063.59,,0.09,china_a50
2019-10-14,14096.2,13963.07,14226.51,13963.07,,0.95,china_a50
2019-10-11,13963.07,13764.51,13989.14,13764.51,,1.44,china_a50
2019-10-10,13764.51,13719.58,13777.78,13631.91,,0.33,china_a50
2019-10-09,13719.58,13715.01,13771.76,13604.01,,0.03,china_a50
2019-10-08,13715.01,13564.3,13782.58,13564.3,,1.11,china_a50
2019-09-30,13564.3,13705.82,13721.77,13561.34,,-1.03,china_a50
2019-09-27,13705.82,13712.56,13731.13,13641.89,,-0.05,china_a50
2019-09-26,13712.56,13702.33,13816.21,13702.33,,0.07,china_a50
2019-09-25,13702.33,13742.52,13759.71,13663.06,,-0.29,china_a50
2019-09-24,13742.52,13696.6,13818.23,13696.6,,0.34,china_a50
2019-09-23,13696.6,13850.17,13850.17,13625.68,,-1.11,china_a50
2019-09-20,13850.17,13806.65,13874.43,13806.65,,0.32,china_a50
2019-09-19,13806.65,13809.6,13864.55,13745.48,,-0.02,china_a50
2019-09-18,13809.6,13699.21,13860.58,13699.21,,0.81,china_a50
2019-09-17,13699.21,13889.99,13889.99,13653.93,,-1.37,china_a50
2019-09-16,13889.99,13979.67,13997.06,13849.42,,-0.64,china_a50
2019-09-13,13979.67,13979.67,13979.67,13979.67,,0.0,china_a50
2019-09-12,13979.67,13786.74,13991.1,13786.74,,1.4,china_a50
2019-09-11,13786.74,13890.26,13927.94,13732.23,,-0.75,china_a50
2019-09-10,13890.26,13948.31,13978.05,13832.23,,-0.42,china_a50
2019-09-09,13948.31,13952.54,14070.46,13923.37,,-0.03,china_a50
2019-09-06,13952.54,13841.69,13952.54,13825.23,,0.8,china_a50
2019-09-05,13841.69,13733.58,13999.2,13733.58,,0.79,china_a50
2019-09-04,13733.58,13603.04,13733.58,13583.44,,0.96,china_a50
2019-09-03,13603.04,13603.22,13644.9,13539.11,,-0.0,china_a50
2019-09-02,13603.22,13494.06,13640.99,13481.32,,0.81,china_a50
2019-08-30,13494.06,13391.65,13551.37,13391.65,,0.76,china_a50
2019-08-29,13391.65,13456.25,13480.97,13332.2,,-0.48,china_a50
2019-08-28,13456.25,13513.3,13537.04,13407.37,,-0.42,china_a50
2019-08-27,13513.3,13392.25,13652.46,13392.25,,0.9,china_a50
2019-08-26,13392.25,13657.52,13657.52,13347.63,,-1.94,china_a50
2019-08-23,13657.52,13495.38,13689.26,13481.96,,1.2,china_a50
2019-08-22,13495.38,13446.84,13508.06,13422.86,,0.36,china_a50
2019-08-21,13446.84,13452.37,13479.66,13417.81,,-0.04,china_a50
2019-08-20,13452.37,13449.48,13499.93,13396.28,,0.02,china_a50
2019-08-19,13449.48,13231.08,13450.58,13226.0,,1.65,china_a50
2019-08-16,13231.08,13187.08,13340.62,13145.92,,0.33,china_a50
2019-08-15,13187.08,13152.46,13188.66,12920.04,,0.26,china_a50
2019-08-14,13152.46,13102.16,13293.39,13102.16,,0.38,china_a50
2019-08-13,13102.16,13238.6,13238.6,13072.68,,-1.03,china_a50
2019-08-12,13238.6,12987.74,13246.67,12987.59,,1.93,china_a50
2019-08-09,12987.74,13075.75,13148.75,12958.24,,-0.67,china_a50
2019-08-08,13075.75,12886.97,13101.02,12886.97,,1.46,china_a50
2019-08-07,12886.97,12955.54,13009.87,12886.97,,-0.53,china_a50
2019-08-06,12955.54,13049.15,13049.15,12720.3,,-0.72,china_a50
2019-08-05,13049.15,13305.25,13305.25,13044.81,,-1.92,china_a50
2019-08-02,13305.25,13491.74,13491.74,13207.03,,-1.38,china_a50
2019-08-01,13491.74,13631.6,13631.6,13447.14,,-1.03,china_a50
2019-07-31,13631.6,13788.83,13788.83,13612.05,,-1.14,china_a50
2019-07-30,13788.83,13727.72,13864.77,13727.26,,0.45,china_a50
2019-07-29,13727.72,13746.34,13762.37,13684.98,,-0.14,china_a50
2019-07-26,13746.34,13720.62,13768.72,13649.16,,0.19,china_a50
2019-07-25,13720.62,13584.43,13720.62,13555.54,,1.0,china_a50
2019-07-24,13584.43,13493.06,13673.68,13492.89,,0.68,china_a50
2019-07-23,13493.06,13524.79,13554.14,13444.9,,-0.23,china_a50
2019-07-22,13524.79,13544.76,13613.81,13460.69,,-0.15,china_a50
2019-07-19,13544.76,13373.4,13593.41,13373.4,,1.28,china_a50
2019-07-18,13373.4,13447.55,13447.55,13357.13,,-0.55,china_a50
2019-07-17,13447.55,13485.88,13520.1,13401.78,,-0.28,china_a50
2019-07-16,13485.88,13587.97,13603.23,13466.91,,-0.75,china_a50
2019-07-15,13587.97,13606.9,13664.1,13346.57,,-0.14,china_a50
2019-07-12,13606.9,13512.33,13655.21,13478.42,,0.7,china_a50
2019-07-11,13512.33,13491.68,13671.46,13484.65,,0.15,china_a50
2019-07-10,13491.68,13495.55,13576.68,13446.21,,-0.03,china_a50
2019-07-09,13495.55,13579.6,13599.4,13448.74,,-0.62,china_a50
2019-07-08,13579.6,13864.53,13864.53,13471.72,,-2.06,china_a50
2019-07-05,13864.53,13785.02,13886.29,13708.22,,0.58,china_a50
2019-07-04,13785.02,13821.89,13891.79,13717.43,,-0.27,china_a50
2019-07-03,13821.89,13981.27,13981.27,13761.5,,-1.14,china_a50
2019-07-02,13981.27,13983.4,13988.56,13913.13,,-0.02,china_a50
2019-07-01,13983.4,13589.98,13999.77,13589.98,,2.89,china_a50
2019-06-28,13589.98,13614.99,13625.63,13501.85,,-0.18,china_a50
2019-06-27,13614.99,13443.26,13672.4,13443.26,,1.28,china_a50
2019-06-26,13443.26,13470.68,13502.96,13390.03,,-0.2,china_a50
2019-06-25,13470.68,13666.74,13667.15,13304.86,,-1.43,china_a50
2019-06-24,13666.74,13608.1,13703.89,13563.58,,0.43,china_a50
