Date,Last,Open,Max,Min,Vol_K,Var_%,Index
2019-10-23,3606.89,3595.78,3608.63,3585.76,,0.06,euro_stoxx
2019-10-22,3604.82,3600.94,3609.34,3586.64,32000.15,0.13,euro_stoxx
2019-10-21,3600.08,3583.37,3608.95,3578.81,34000.6,0.58,euro_stoxx
2019-10-18,3579.41,3587.4,3596.71,3571.01,34000.8,-0.26,euro_stoxx
2019-10-17,3588.62,3595.73,3630.43,3588.62,44000.31,-0.3,euro_stoxx
2019-10-16,3599.25,3600.76,3610.44,3588.09,46000.72,0.02,euro_stoxx
2019-10-15,3598.65,3562.39,3610.31,3562.39,42000.81,1.19,euro_stoxx
2019-10-14,3556.26,3565.38,3565.38,3531.23,25000.85,-0.38,euro_stoxx
2019-10-11,3569.92,3494.78,3569.92,3490.52,47000.63,2.17,euro_stoxx
2019-10-10,3493.96,3469.99,3501.19,3445.44,35000.74,0.92,euro_stoxx
2019-10-09,3462.11,3433.17,3473.92,3427.77,25000.25,0.85,euro_stoxx
2019-10-08,3432.76,3473.24,3476.46,3426.82,28000.96,-1.11,euro_stoxx
2019-10-07,3471.24,3442.14,3471.88,3433.87,24000.77,0.71,euro_stoxx
2019-10-04,3446.71,3423.75,3446.71,3406.44,32000.07,0.86,euro_stoxx
2019-10-03,3417.37,3414.14,3431.24,3398.64,32000.35,0.12,euro_stoxx
2019-10-02,3413.31,3516.88,3516.88,3413.31,46000.05,-2.98,euro_stoxx
2019-10-01,3518.25,3573.08,3588.68,3518.25,35000.33,-1.43,euro_stoxx
2019-09-30,3569.45,3545.07,3570.15,3536.91,34000.92,0.66,euro_stoxx
2019-09-27,3545.88,3534.47,3553.25,3534.47,27000.26,0.39,euro_stoxx
2019-09-26,3532.18,3509.8,3538.16,3506.05,30000.75,0.55,euro_stoxx
2019-09-25,3513.03,3526.84,3526.84,3480.28,35000.38,-0.54,euro_stoxx
2019-09-24,3532.05,3542.53,3547.98,3531.65,29000.82,-0.14,euro_stoxx
2019-09-23,3536.97,3565.96,3565.96,3526.26,35000.11,-0.96,euro_stoxx
2019-09-20,3571.39,3552.73,3578.04,3546.3,87000.16,0.53,euro_stoxx
2019-09-19,3552.65,3527.5,3554.87,3524.37,34000.83,0.7,euro_stoxx
2019-09-18,3528.04,3520.88,3536.65,3518.01,32000.02,0.19,euro_stoxx
2019-09-17,3521.26,3517.57,3527.0,3506.36,38000.65,0.08,euro_stoxx
2019-09-16,3518.45,3540.47,3540.47,3518.45,39000.32,-0.89,euro_stoxx
2019-09-13,3550.11,3539.93,3555.85,3534.38,44000.76,0.32,euro_stoxx
2019-09-12,3538.86,3522.04,3555.1,3512.59,51000.02,0.63,euro_stoxx
2019-09-11,3516.82,3502.24,3520.95,3502.24,44000.09,0.51,euro_stoxx
2019-09-10,3498.99,3493.8,3501.68,3479.58,46000.31,0.11,euro_stoxx
2019-09-09,3495.02,3495.85,3503.05,3486.75,34000.62,-0.0,euro_stoxx
2019-09-06,3495.19,3484.86,3495.87,3479.62,35000.28,0.3,euro_stoxx
2019-09-05,3484.7,3453.99,3488.48,3453.99,40000.11,0.98,euro_stoxx
2019-09-04,3450.83,3424.98,3461.06,3424.98,36000.06,0.88,euro_stoxx
2019-09-03,3420.74,3432.22,3432.22,3406.55,28000.43,-0.34,euro_stoxx
2019-09-02,3432.54,3426.24,3442.71,3426.24,20000.01,0.17,euro_stoxx
2019-08-30,3426.76,3412.45,3443.08,3412.11,39000.17,0.45,euro_stoxx
2019-08-29,3411.33,3362.12,3415.36,3356.68,42000.79,1.37,euro_stoxx
2019-08-28,3365.38,3363.51,3368.23,3334.07,28000.77,-0.15,euro_stoxx
2019-08-27,3370.47,3348.84,3380.88,3334.49,36000.63,0.65,euro_stoxx
