Date,Last,Open,Max,Min,Vol_K,Var_%,Index
2019-10-23,7889.47,7858.48,7890.21,7845.09,136000.79,0.19,nasdaq
2019-10-22,7874.62,7968.25,7977.01,7871.98,139000.02,-0.83,nasdaq
2019-10-21,7940.33,7911.58,7941.48,7887.74,133000.09,0.91,nasdaq
2019-10-18,7868.49,7938.3,7946.81,7829.75,176000.07,-0.93,nasdaq
2019-10-17,7942.14,7976.64,7981.14,7914.94,124000.57,0.28,nasdaq
2019-10-16,7920.21,7911.99,7941.76,7898.31,134000.26,-0.29,nasdaq
2019-10-15,7942.85,7867.96,7960.14,7863.65,126000.12,1.28,nasdaq
2019-10-14,7842.33,7834.74,7865.67,7827.16,112000.43,-0.02,nasdaq
2019-10-11,7843.88,7835.93,7904.05,7831.11,180000.49,1.34,nasdaq
2019-10-10,7740.36,7688.42,7772.68,7682.61,126000.74,0.65,nasdaq
2019-10-09,7690.53,7678.66,7717.94,7655.48,114000.22,1.13,nasdaq
2019-10-08,7604.27,7671.38,7707.17,7603.76,152000.36,-1.56,nasdaq
2019-10-07,7725.13,7725.68,7784.79,7712.68,130000.61,-0.37,nasdaq
2019-10-04,7754.1,7677.32,7759.36,7670.92,134000.98,1.51,nasdaq
2019-10-03,7638.4,7557.19,7640.42,7463.57,152000.63,1.16,nasdaq
2019-10-02,7550.79,7627.59,7631.34,7513.69,187000.74,-1.74,nasdaq
2019-10-01,7684.14,7782.82,7821.73,7675.42,150000.44,-0.84,nasdaq
2019-09-30,7749.45,7705.97,7761.84,7693.49,144000.63,0.88,nasdaq
2019-09-27,7681.58,7786.03,7790.8,7626.82,170000.02,-1.16,nasdaq
2019-09-26,7771.99,7794.28,7798.12,7718.69,146000.93,-0.4,nasdaq
2019-09-25,7803.54,7706.5,7822.43,7647.63,154000.55,1.21,nasdaq
2019-09-24,7710.04,7855.97,7873.25,7684.8,205000.3,-1.39,nasdaq
2019-09-23,7818.61,7815.23,7842.98,7790.29,138000.57,-0.06,nasdaq
2019-09-20,7823.55,7901.46,7920.53,7794.27,425000.83,-0.99,nasdaq
2019-09-19,7901.79,7904.4,7950.21,7888.31,136000.33,0.17,nasdaq
2019-09-18,7888.56,7877.58,7891.17,7791.58,148000.23,-0.0,nasdaq
2019-09-17,7888.79,7849.88,7891.21,7840.99,131000.29,0.46,nasdaq
2019-09-16,7852.41,7833.73,7868.73,7831.76,127000.98,-0.51,nasdaq
2019-09-13,7892.95,7903.73,7923.41,7879.59,137000.91,-0.31,nasdaq
2019-09-12,7917.34,7931.97,7975.33,7907.33,172000.95,0.38,nasdaq
2019-09-11,7887.58,7820.71,7888.34,7812.07,174000.74,0.93,nasdaq
2019-09-10,7814.74,7793.27,7817.58,7743.61,169000.12,-0.23,nasdaq
2019-09-09,7832.4,7876.4,7877.41,7795.86,164000.52,-0.26,nasdaq
2019-09-06,7852.54,7868.87,7874.99,7835.89,143000.93,-0.13,nasdaq
2019-09-05,7862.54,7803.45,7879.97,7803.45,177000.16,1.86,nasdaq
2019-09-04,7719.25,7683.78,7724.91,7663.64,152000.7,1.44,nasdaq
2019-09-03,7609.51,7634.03,7670.17,7584.82,141000.82,-1.06,nasdaq
2019-08-30,7691.0,7743.23,7747.08,7642.9,155000.12,-0.15,nasdaq
2019-08-29,7702.31,7678.69,7723.94,7654.31,132000.36,1.51,nasdaq
