"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"23.10.2019","13.888,39","13.976,66","14.000,92","13.848,28","-","-0,63%"
"22.10.2019","13.976,66","13.962,76","14.038,96","13.891,45","-","0,10%"
"21.10.2019","13.962,76","13.882,51","13.991,76","13.844,51","-","0,58%"
"18.10.2019","13.882,51","14.098,50","14.178,92","13.866,39","-","-1,53%"
"17.10.2019","14.098,50","14.060,22","14.121,05","14.029,26","-","0,27%"
"16.10.2019","14.060,22","14.109,26","14.237,21","14.033,19","-","-0,35%"
"15.10.2019","14.109,26","14.096,20","14.122,41","14.063,59","-","0,09%"
"14.10.2019","14.096,20","13.963,07","14.226,51","13.963,07","-","0,95%"
"11.10.2019","13.963,07","13.764,51","13.989,14","13.764,51","-","1,44%"
"10.10.2019","13.764,51","13.719,58","13.777,78","13.631,91","-","0,33%"
"09.10.2019","13.719,58","13.715,01","13.771,76","13.604,01","-","0,03%"
"08.10.2019","13.715,01","13.564,30","13.782,58","13.564,30","-","1,11%"
"30.09.2019","13.564,30","13.705,82","13.721,77","13.561,34","-","-1,03%"
"27.09.2019","13.705,82","13.712,56","13.731,13","13.641,89","-","-0,05%"
"26.09.2019","13.712,56","13.702,33","13.816,21","13.702,33","-","0,07%"
"25.09.2019","13.702,33","13.742,52","13.759,71","13.663,06","-","-0,29%"
"24.09.2019","13.742,52","13.696,60","13.818,23","13.696,60","-","0,34%"
"23.09.2019","13.696,60","13.850,17","13.850,17","13.625,68","-","-1,11%"
"20.09.2019","13.850,17","13.806,65","13.874,43","13.806,65","-","0,32%"
"19.09.2019","13.806,65","13.809,60","13.864,55","13.745,48","-","-0,02%"
"18.09.2019","13.809,60","13.699,21","13.860,58","13.699,21","-","0,81%"
"17.09.2019","13.699,21","13.889,99","13.889,99","13.653,93","-","-1,37%"
"16.09.2019","13.889,99","13.979,67","13.997,06","13.849,42","-","-0,64%"
"13.09.2019","13.979,67","13.979,67","13.979,67","13.979,67","-","0,00%"
"12.09.2019","13.979,67","13.786,74","13.991,10","13.786,74","-","1,40%"
"11.09.2019","13.786,74","13.890,26","13.927,94","13.732,23","-","-0,75%"
"10.09.2019","13.890,26","13.948,31","13.978,05","13.832,23","-","-0,42%"
"09.09.2019","13.948,31","13.952,54","14.070,46","13.923,37","-","-0,03%"
"06.09.2019","13.952,54","13.841,69","13.952,54","13.825,23","-","0,80%"
"05.09.2019","13.841,69","13.733,58","13.999,20","13.733,58","-","0,79%"
"04.09.2019","13.733,58","13.603,04","13.733,58","13.583,44","-","0,96%"
"03.09.2019","13.603,04","13.603,22","13.644,90","13.539,11","-","-0,00%"
"02.09.2019","13.603,22","13.494,06","13.640,99","13.481,32","-","0,81%"
"30.08.2019","13.494,06","13.391,65","13.551,37","13.391,65","-","0,76%"
"29.08.2019","13.391,65","13.456,25","13.480,97","13.332,20","-","-0,48%"
"28.08.2019","13.456,25","13.513,30","13.537,04","13.407,37","-","-0,42%"
