Date,Last,Open,Max,Min,Vol_K,Var_%,Materials
2019-10-23,2.6710000000000003,2.635,2.675,2.615,75.68,1.44,copper
2019-10-22,2.633,2.645,2.6510000000000002,2.63,46.14,-0.53,copper
2019-10-21,2.647,2.639,2.66,2.6310000000000002,54.49,0.42,copper
2019-10-18,2.636,2.6,2.6460000000000004,2.585,71.81,1.46,copper
2019-10-17,2.5980000000000003,2.5869999999999997,2.6180000000000003,2.577,53.9,0.31,copper
2019-10-16,2.59,2.612,2.613,2.573,54.26,-0.92,copper
2019-10-15,2.614,2.6319999999999997,2.642,2.6060000000000003,53.71,-0.76,copper
2019-10-14,2.634,2.627,2.635,2.594,58.73,0.23,copper
2019-10-11,2.628,2.611,2.639,2.6060000000000003,71.34,0.54,copper
2019-10-10,2.614,2.569,2.62,2.5469999999999997,76.15,1.79,copper
2019-10-09,2.568,2.5669999999999997,2.5789999999999997,2.5610000000000004,46.71,0.0,copper
2019-10-08,2.568,2.573,2.602,2.562,62.32,-0.35,copper
2019-10-07,2.577,2.557,2.59,2.553,49.61,0.59,copper
2019-10-04,2.562,2.5540000000000003,2.5660000000000003,2.53,48.82,0.31,copper
2019-10-03,2.5540000000000003,2.5660000000000003,2.582,2.5380000000000003,51.49,-0.66,copper
2019-10-02,2.571,2.565,2.5860000000000003,2.5469999999999997,62.2,0.39,copper
2019-10-01,2.5610000000000004,2.574,2.577,2.515,74.86,-0.7,copper
2019-09-30,2.5789999999999997,2.5980000000000003,2.6189999999999998,2.572,50.07,-0.73,copper
2019-09-27,2.5980000000000003,2.577,2.6189999999999998,2.571,59.06,0.78,copper
2019-09-26,2.5780000000000003,2.611,2.6189999999999998,2.574,52.15,-1.3,copper
2019-09-25,2.612,2.6039999999999996,2.623,2.5869999999999997,55.85,0.19,copper
2019-09-24,2.6069999999999998,2.6189999999999998,2.623,2.572,50.89,-0.15,copper
2019-09-23,2.611,2.594,2.634,2.572,62.44,0.15,copper
2019-09-20,2.6069999999999998,2.6069999999999998,2.634,2.5860000000000003,54.67,-0.04,copper
2019-09-19,2.608,2.613,2.6239999999999997,2.603,42.04,-0.19,copper
2019-09-18,2.613,2.625,2.638,2.5980000000000003,42.94,-0.53,copper
2019-09-17,2.627,2.6430000000000002,2.647,2.6060000000000003,56.69,-0.49,copper
2019-09-16,2.64,2.6919999999999997,2.707,2.638,75.6,-2.22,copper
2019-09-13,2.7,2.6430000000000002,2.7039999999999997,2.64,64.7,2.27,copper
2019-09-12,2.64,2.6180000000000003,2.668,2.59,95.18,0.96,copper
2019-09-11,2.615,2.623,2.638,2.6,54.05,-0.49,copper
2019-09-10,2.628,2.627,2.6430000000000002,2.603,57.0,0.04,copper
2019-09-09,2.627,2.6310000000000002,2.633,2.614,47.65,-0.27,copper
2019-09-06,2.634,2.6310000000000002,2.6489999999999996,2.62,59.96,-0.3,copper
2019-09-05,2.642,2.591,2.6489999999999996,2.5869999999999997,97.19,1.81,copper
2019-09-04,2.595,2.529,2.5980000000000003,2.5269999999999997,75.99,2.65,copper
2019-09-03,2.528,2.555,2.568,2.4819999999999998,107.5,-0.16,copper
