Date,Last,Open,Max,Min,Vol_K,Var_%,Materials
2019-10-23,2.282,2.274,2.305,2.251,130.45,0.44,gasnat_price
2019-10-22,2.272,2.2359999999999998,2.311,2.231,234.96,1.52,gasnat_price
2019-10-21,2.238,2.32,2.322,2.213,215.76,-3.53,gasnat_price
2019-10-18,2.32,2.319,2.36,2.289,150.02,0.09,gasnat_price
2019-10-17,2.318,2.292,2.365,2.2840000000000003,159.78,0.65,gasnat_price
2019-10-16,2.303,2.342,2.384,2.2769999999999997,191.28,-1.54,gasnat_price
2019-10-15,2.339,2.285,2.349,2.266,177.88,2.59,gasnat_price
2019-10-14,2.28,2.238,2.313,2.228,171.69,2.98,gasnat_price
2019-10-11,2.214,2.2030000000000003,2.262,2.187,264.18,-0.18,gasnat_price
2019-10-10,2.218,2.239,2.274,2.202,216.64,-0.72,gasnat_price
2019-10-09,2.234,2.2880000000000003,2.306,2.229,197.12,-2.36,gasnat_price
2019-10-08,2.2880000000000003,2.293,2.323,2.266,182.13,-0.65,gasnat_price
2019-10-07,2.303,2.333,2.342,2.287,207.41,-2.08,gasnat_price
2019-10-04,2.352,2.336,2.398,2.263,204.66,0.99,gasnat_price
2019-10-03,2.329,2.254,2.349,2.207,275.74,3.65,gasnat_price
2019-10-02,2.247,2.287,2.3040000000000003,2.245,165.88,-1.58,gasnat_price
2019-10-01,2.283,2.325,2.334,2.2680000000000002,232.34,-2.02,gasnat_price
2019-09-30,2.33,2.38,2.392,2.324,173.79,-3.08,gasnat_price
2019-09-27,2.404,2.449,2.451,2.38,132.79,-0.99,gasnat_price
2019-09-26,2.428,2.5140000000000002,2.54,2.39,10.41,-2.96,gasnat_price
2019-09-25,2.502,2.497,2.519,2.455,60.51,-0.04,gasnat_price
2019-09-24,2.503,2.535,2.59,2.494,56.84,-0.95,gasnat_price
2019-09-23,2.5269999999999997,2.522,2.5469999999999997,2.4930000000000003,114.58,-0.28,gasnat_price
2019-09-20,2.5340000000000003,2.552,2.5789999999999997,2.506,130.29,-0.16,gasnat_price
2019-09-19,2.5380000000000003,2.639,2.639,2.53,199.31,-3.75,gasnat_price
2019-09-18,2.637,2.6630000000000003,2.696,2.603,157.92,-1.16,gasnat_price
2019-09-17,2.668,2.6860000000000004,2.71,2.628,180.76,-0.48,gasnat_price
2019-09-16,2.681,2.688,2.7,2.641,197.19,2.56,gasnat_price
2019-09-13,2.614,2.573,2.639,2.553,184.46,1.55,gasnat_price
2019-09-12,2.574,2.5469999999999997,2.585,2.512,218.45,0.86,gasnat_price
2019-09-11,2.552,2.5810000000000004,2.6,2.529,211.02,-1.09,gasnat_price
2019-09-10,2.58,2.6060000000000003,2.648,2.571,259.97,-0.19,gasnat_price
2019-09-09,2.585,2.5269999999999997,2.608,2.496,276.72,3.57,gasnat_price
2019-09-06,2.496,2.435,2.505,2.403,201.59,2.51,gasnat_price
2019-09-05,2.435,2.4419999999999997,2.468,2.388,229.8,-0.41,gasnat_price
2019-09-04,2.445,2.346,2.457,2.339,218.51,3.69,gasnat_price
2019-09-03,2.358,2.2880000000000003,2.365,2.269,221.62,1.99,gasnat_price
2019-09-02,2.312,2.274,2.343,2.2680000000000002,,1.63,gasnat_price
2019-09-01,2.275,2.292,2.292,2.274,,-0.44,gasnat_price
2019-08-30,2.285,2.2880000000000003,2.299,2.2569999999999997,124.71,-0.48,gasnat_price
2019-08-29,2.296,2.235,2.31,2.218,200.41,2.0,gasnat_price
2019-08-28,2.251,2.201,2.2769999999999997,2.195,8.66,2.23,gasnat_price
2019-08-27,2.202,2.231,2.233,2.175,63.22,-1.26,gasnat_price
2019-08-26,2.23,2.169,2.237,2.1590000000000003,52.78,3.62,gasnat_price
2019-08-23,2.1519999999999997,2.15,2.167,2.12,81.62,-0.32,gasnat_price
2019-08-22,2.1590000000000003,2.169,2.195,2.145,113.11,-0.51,gasnat_price
2019-08-21,2.17,2.214,2.238,2.157,193.53,-2.16,gasnat_price
2019-08-20,2.218,2.202,2.231,2.187,107.84,0.36,gasnat_price
2019-08-19,2.21,2.164,2.221,2.134,144.76,0.45,gasnat_price
2019-08-16,2.2,2.22,2.224,2.17,111.99,-1.43,gasnat_price
2019-08-15,2.2319999999999998,2.1590000000000003,2.267,2.138,206.77,4.15,gasnat_price
2019-08-14,2.1430000000000002,2.1590000000000003,2.2030000000000003,2.122,127.37,-0.19,gasnat_price
2019-08-13,2.147,2.106,2.175,2.086,199.87,2.0,gasnat_price
2019-08-12,2.105,2.124,2.157,2.095,167.91,-0.66,gasnat_price
2019-08-09,2.119,2.124,2.145,2.064,171.91,-0.42,gasnat_price
2019-08-08,2.128,2.088,2.155,2.086,191.13,2.16,gasnat_price
2019-08-07,2.083,2.103,2.145,2.074,203.42,-1.33,gasnat_price
2019-08-06,2.1109999999999998,2.0909999999999997,2.133,2.073,142.25,1.98,gasnat_price
2019-08-05,2.07,2.0780000000000003,2.109,2.029,179.23,-2.4,gasnat_price
2019-08-02,2.121,2.169,2.202,2.077,206.34,-3.68,gasnat_price
2019-08-01,2.202,2.238,2.333,2.165,251.3,-1.39,gasnat_price
2019-07-31,2.233,2.138,2.2680000000000002,2.127,221.83,4.49,gasnat_price
2019-07-30,2.137,2.116,2.142,2.1069999999999998,91.72,-0.19,gasnat_price
2019-07-29,2.141,2.175,2.182,2.12,8.76,-1.29,gasnat_price
2019-07-26,2.169,2.24,2.242,2.165,45.84,-3.34,gasnat_price
2019-07-25,2.244,2.231,2.261,2.222,47.53,1.08,gasnat_price
2019-07-24,2.22,2.29,2.2969999999999997,2.2119999999999997,116.59,-3.48,gasnat_price
2019-07-23,2.3,2.319,2.3280000000000003,2.289,106.9,-0.52,gasnat_price
2019-07-22,2.312,2.242,2.322,2.233,168.62,2.71,gasnat_price
2019-07-19,2.251,2.29,2.3,2.242,109.06,-1.57,gasnat_price
2019-07-18,2.287,2.309,2.355,2.266,173.29,-0.74,gasnat_price
2019-07-17,2.3040000000000003,2.318,2.346,2.29,135.14,-0.09,gasnat_price
2019-07-16,2.306,2.395,2.408,2.298,148.94,-4.24,gasnat_price
2019-07-15,2.408,2.4619999999999997,2.469,2.383,150.76,-1.83,gasnat_price
2019-07-12,2.4530000000000003,2.41,2.481,2.397,171.93,1.53,gasnat_price
2019-07-11,2.416,2.445,2.487,2.3930000000000002,213.62,-1.15,gasnat_price
2019-07-10,2.444,2.4290000000000003,2.489,2.416,193.98,0.78,gasnat_price
2019-07-09,2.425,2.397,2.437,2.36,202.65,0.92,gasnat_price
2019-07-08,2.403,2.46,2.467,2.369,201.73,-0.62,gasnat_price
2019-07-05,2.418,2.287,2.445,2.263,237.74,5.82,gasnat_price
2019-07-04,2.285,2.2880000000000003,2.3,2.2640000000000002,,-0.22,gasnat_price
2019-07-03,2.29,2.24,2.296,2.237,91.19,2.23,gasnat_price
2019-07-02,2.24,2.266,2.2969999999999997,2.2319999999999998,96.73,-1.19,gasnat_price
2019-07-01,2.267,2.33,2.331,2.217,149.17,-1.78,gasnat_price
2019-06-28,2.3080000000000003,2.32,2.364,2.3,116.43,-0.69,gasnat_price
2019-06-27,2.324,2.271,2.339,2.265,108.7,1.44,gasnat_price
2019-06-26,2.291,2.289,2.324,2.265,6.63,-0.74,gasnat_price
2019-06-25,2.3080000000000003,2.303,2.315,2.255,55.01,0.22,gasnat_price
2019-06-24,2.303,2.197,2.316,2.195,67.65,5.35,gasnat_price
2019-06-21,2.186,2.213,2.222,2.181,92.24,0.05,gasnat_price
2019-06-20,2.185,2.28,2.303,2.1590000000000003,210.07,-4.0,gasnat_price
2019-06-19,2.276,2.332,2.358,2.2680000000000002,173.67,-2.23,gasnat_price
2019-06-18,2.3280000000000003,2.373,2.404,2.318,121.4,-2.43,gasnat_price
2019-06-17,2.386,2.3890000000000002,2.418,2.3569999999999998,120.28,-0.04,gasnat_price
