"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"23.10.2019","1.495,70","1.491,10","1.499,40","1.490,70","237,36K","0,55%"
"22.10.2019","1.487,50","1.487,50","1.492,10","1.484,00","208,97K","-0,04%"
"21.10.2019","1.488,10","1.495,60","1.498,70","1.484,80","284,29K","-0,40%"
"18.10.2019","1.494,10","1.495,60","1.497,90","1.488,30","232,55K","-0,28%"
"17.10.2019","1.498,30","1.494,20","1.501,10","1.487,00","305,67K","0,29%"
"16.10.2019","1.494,00","1.484,80","1.495,50","1.480,60","367,90K","0,71%"
"15.10.2019","1.483,50","1.497,70","1.503,00","1.480,80","317,99K","-0,94%"
"14.10.2019","1.497,60","1.492,00","1.501,50","1.487,10","228,32K","0,60%"
"11.10.2019","1.488,70","1.498,30","1.508,00","1.478,00","485,96K","-0,81%"
"10.10.2019","1.500,90","1.510,80","1.522,30","1.495,70","417,88K","-0,79%"
"09.10.2019","1.512,80","1.510,90","1.518,00","1.505,10","285,28K","0,59%"
"08.10.2019","1.503,90","1.498,70","1.515,30","1.492,10","371,44K","-0,03%"
"07.10.2019","1.504,40","1.518,60","1.518,80","1.493,30","257,78K","-0,56%"
"04.10.2019","1.512,90","1.511,60","1.522,20","1.501,40","344,79K","-0,06%"
"03.10.2019","1.513,80","1.505,60","1.525,80","1.501,70","408,74K","0,39%"
"02.10.2019","1.507,90","1.485,40","1.511,40","1.480,50","393,10K","1,27%"
"01.10.2019","1.489,00","1.478,00","1.493,50","1.465,00","450,17K","1,09%"
"30.09.2019","1.472,90","1.501,70","1.507,20","1.470,50","439,71K","-2,22%"
"27.09.2019","1.506,40","1.511,80","1.519,50","1.493,30","451,93K","-0,58%"
"26.09.2019","1.515,20","1.510,90","1.542,80","1.507,10","378,29K","0,19%"
"25.09.2019","1.512,30","1.539,80","1.543,30","1.507,40","481,46K","-1,81%"
"24.09.2019","1.540,20","1.529,80","1.543,30","1.517,90","424,86K","0,57%"
"23.09.2019","1.531,50","1.521,50","1.534,40","1.505,30","359,88K","1,08%"
"20.09.2019","1.515,10","1.506,80","1.524,50","1.505,30","284,39K","0,59%"
"19.09.2019","1.506,20","1.502,00","1.512,10","1.496,30","291,30K","-0,63%"
