Date,Last,Open,Max,Min,Vol_M,Var_%
2019-10-22,9380.2,9393.3,9417.4,9344.6,139.5,-0.24
2019-10-21,9402.3,9350.3,9424.3,9342.1,167.99,0.78
2019-10-18,9329.8,9310.3,9362.2,9307.6,150.24,-0.11
2019-10-17,9340.0,9360.9,9494.5,9340.0,195.29,-0.5
2019-10-16,9386.7,9346.5,9398.6,9288.2,205.49,0.33
2019-10-15,9356.1,9292.0,9370.3,9278.3,191.06,1.19
2019-10-14,9246.5,9229.2,9247.6,9195.2,125.13,-0.29
2019-10-11,9273.8,9112.9,9273.8,9104.8,248.41,1.86
2019-10-10,9104.4,8997.4,9112.2,8970.3,156.1,1.25
2019-10-09,8991.9,8952.7,9035.6,8934.2,103.64,0.58
2019-10-08,8940.1,9066.5,9071.5,8900.8,140.37,-1.15
2019-10-07,9044.1,8954.7,9046.3,8930.4,131.08,0.92
2019-10-04,8961.8,8944.2,8961.8,8858.6,148.75,0.67
2019-10-03,8902.2,8935.8,8971.4,8850.6,152.59,-0.11
2019-10-02,8912.2,9150.1,9157.1,8912.2,193.95,-2.77
2019-10-01,9165.9,9277.0,9298.8,9165.1,150.85,-0.85
2019-09-30,9244.6,9194.8,9257.3,9189.6,177.88,0.66
2019-09-27,9184.1,9149.7,9210.5,9131.0,127.03,0.6
2019-09-26,9129.7,9064.6,9143.0,9061.4,132.27,0.49
2019-09-25,9085.3,9087.2,9119.2,9000.9,148.05,-0.36
2019-09-24,9118.2,9116.1,9154.2,9103.8,139.48,0.27
2019-09-23,9093.6,9154.9,9168.3,9055.9,161.36,-0.93
2019-09-20,9179.0,9137.0,9210.9,9132.2,405.54,0.47
2019-09-19,9136.0,9043.1,9138.5,9027.8,168.88,1.15
2019-09-18,9031.7,9016.5,9049.7,8963.8,182.24,0.31
2019-09-17,9004.2,9050.6,9052.1,8975.8,221.43,-0.53
2019-09-16,9052.0,9099.9,9101.2,9049.0,174.34,-0.94
2019-09-13,9137.9,9099.8,9153.5,9084.3,226.2,0.61
2019-09-12,9082.3,9078.1,9112.9,8994.3,231.32,0.25
2019-09-11,9059.5,9109.3,9124.0,9029.4,212.02,-0.21
2019-09-10,9078.2,9007.4,9088.1,8947.7,265.63,0.75
2019-09-09,9010.6,8997.7,9026.3,8987.6,179.01,0.23
2019-09-06,8990.1,8992.8,9025.9,8958.6,168.79,-0.03
2019-09-05,8992.7,8913.0,8995.4,8908.1,215.61,1.54
2019-09-04,8856.6,8872.3,8904.5,8856.6,169.52,0.54
2019-09-03,8809.2,8806.8,8828.8,8772.8,158.82,-0.07
2019-09-02,8815.5,8810.8,8858.4,8804.9,97.95,0.03
2019-08-30,8812.9,8808.0,8858.8,8797.1,146.44,0.21
2019-08-29,8794.3,8728.2,8841.1,8725.9,142.7,0.54
2019-08-28,8747.1,8711.5,8753.8,8678.9,107.4,0.21
2019-08-27,8728.9,8682.2,8767.9,8662.1,156.83,0.57
2019-08-26,8679.2,8603.3,8702.0,8592.2,86.67,0.34
2019-08-23,8649.5,8764.4,8782.6,8649.5,133.61,-0.77
2019-08-22,8716.4,8684.4,8806.4,8675.6,143.42,0.17
2019-08-21,8701.5,8645.9,8722.9,8644.3,109.02,0.97
2019-08-20,8618.3,8707.1,8727.6,8618.3,140.09,-1.32
2019-08-19,8733.3,8726.9,8774.6,8701.9,149.33,0.73
