Date,Last,Open,Max,Min,Vol_K,Var_%
2019-10-23,934.75,933.88,938.62,927.88,,0.08
2019-10-22,934.0,932.88,945.12,931.12,,0.05
2019-10-21,933.5,931.62,939.88,930.38,,0.05
2019-10-20,933.0,933.0,933.0,933.0,,-0.09
2019-10-18,933.88,930.88,938.62,930.75,,0.31
2019-10-17,931.0,927.88,940.62,927.38,,0.27
2019-10-16,928.5,932.75,938.38,927.62,,-0.51
2019-10-15,933.25,938.0,944.12,933.25,,-0.69
2019-10-14,939.75,941.62,945.38,930.62,,0.57
2019-10-11,934.38,924.12,939.12,923.62,,1.29
2019-10-10,922.5,919.38,933.62,918.88,,0.03
2019-10-09,922.25,918.88,931.38,918.5,,0.33
2019-10-08,919.25,915.62,923.62,910.5,,0.38
2019-10-07,915.75,917.12,919.62,911.62,,0.0
2019-10-04,915.75,911.38,921.12,909.62,,0.44
2019-10-03,911.75,912.75,918.62,908.12,,-0.14
2019-10-02,913.0,916.88,918.62,911.88,,-0.57
2019-10-01,918.25,904.12,919.88,903.38,,1.55
2019-09-30,904.25,884.62,906.62,883.88,,2.41
2019-09-27,883.0,887.88,889.12,881.62,,-0.54
2019-09-26,887.75,888.12,895.38,886.88,,-0.08
2019-09-25,888.5,893.88,897.5,885.38,,-0.53
2019-09-24,893.25,892.38,898.88,890.62,,0.22
2019-09-23,891.25,882.88,899.12,882.88,,1.01
2019-09-20,882.38,893.0,893.38,880.88,,-1.24
2019-09-19,893.5,889.38,894.88,886.38,,0.51
2019-09-18,889.0,895.75,896.88,886.88,,-0.64
2019-09-17,894.75,899.75,900.0,888.62,,-0.5
2019-09-16,899.25,904.12,904.12,894.38,,0.11
2019-09-13,898.25,894.62,903.38,893.12,,0.39
2019-09-12,894.75,871.88,895.62,869.25,,3.14
2019-09-11,867.5,872.88,873.12,864.12,,-0.54
2019-09-10,872.25,859.62,874.62,857.38,,1.69
2019-09-09,857.75,858.12,861.12,851.12,,0.03
2019-09-08,857.5,857.5,857.5,857.5,,0.0
2019-09-06,857.5,863.0,866.38,856.12,,-0.49
2019-09-05,861.75,875.12,878.62,858.38,,-1.46
2019-09-04,874.5,867.25,879.38,864.38,,0.87
2019-09-03,867.0,866.38,869.12,859.38,,-0.14
2019-08-30,868.25,868.38,877.62,867.12,,0.0
2019-08-29,868.25,865.62,872.88,865.12,,0.35
2019-08-28,865.25,859.38,867.62,852.62,,0.73
2019-08-27,859.0,865.62,865.88,856.12,,-0.75
2019-08-26,865.5,855.88,870.38,855.88,,1.21
2019-08-23,855.12,868.38,872.0,855.12,,-1.51
2019-08-22,868.25,873.62,881.88,867.88,,-0.49
2019-08-21,872.5,869.12,876.62,867.12,,0.46
2019-08-20,868.5,869.38,874.62,865.88,,0.23
2019-08-19,866.5,874.75,877.62,864.62,,-1.41
2019-08-18,878.88,878.88,878.88,878.88,,0.0
2019-08-16,878.88,871.12,880.38,870.88,,0.93
2019-08-15,870.75,878.88,884.88,870.38,,-0.88
2019-08-14,878.5,890.0,893.5,877.38,,-1.32
2019-08-13,890.25,878.12,896.62,875.75,,1.28
2019-08-12,879.0,891.62,891.88,876.12,,-1.61
2019-08-09,893.38,883.12,894.38,881.62,,1.06
2019-08-08,884.0,867.5,884.62,865.12,,1.93
2019-08-07,867.25,865.88,869.12,862.12,,0.14
2019-08-06,866.0,866.62,872.62,864.62,,-0.2
2019-08-05,867.75,870.62,872.88,854.62,,-0.27
2019-08-04,870.12,870.12,870.12,870.12,,0.0
2019-08-02,870.12,867.62,872.12,862.88,,0.45
2019-08-01,866.25,880.75,881.88,860.12,,-1.59
2019-07-31,880.25,895.75,899.88,880.12,,-1.62
2019-07-30,894.75,903.25,905.38,889.62,,-1.02
2019-07-29,904.0,899.5,908.75,899.38,,0.54
2019-07-26,899.12,901.12,906.62,898.5,,-0.04
2019-07-25,899.5,908.62,913.12,898.12,,-0.8
2019-07-24,906.75,903.38,912.62,901.62,,0.39
2019-07-23,903.25,907.88,910.38,898.62,,-0.25
2019-07-22,905.5,919.88,921.88,905.12,,-1.48
2019-07-19,919.12,900.12,923.88,897.38,,2.07
2019-07-18,900.5,898.25,903.38,893.12,,0.06
2019-07-17,900.0,905.88,912.38,899.62,,-0.61
2019-07-16,905.5,916.88,917.25,902.62,,-1.6
2019-07-15,920.25,934.38,936.38,918.62,,-1.23
2019-07-12,931.75,917.38,932.25,913.25,,1.66
2019-07-11,916.5,912.0,917.62,908.25,,0.52
2019-07-10,911.75,904.38,913.38,899.38,,0.83
2019-07-09,904.25,898.62,904.62,890.38,,0.89
2019-07-08,896.25,899.25,902.38,891.88,,2.36
2019-07-05,875.62,888.25,889.25,874.62,,-1.52
2019-07-03,889.12,880.38,890.12,877.0,,1.04
2019-07-02,880.0,890.88,894.5,879.38,,-0.98
2019-07-01,888.75,915.12,915.12,888.25,,0.78
2019-06-30,881.88,881.5,881.88,881.5,,-2.51
2019-06-28,904.62,893.12,911.62,893.12,,1.22
2019-06-27,893.75,899.25,903.75,889.5,,-0.64
2019-06-26,899.5,907.38,907.38,899.12,,-0.96
2019-06-25,908.25,921.0,923.0,905.75,,-0.63
2019-06-24,914.0,906.62,917.12,905.5,,1.18
2019-06-21,903.38,914.88,917.12,902.62,,-1.19
2019-06-20,914.25,900.38,917.38,896.62,,1.3
