Date,Last,Open,Max,Min,Vol_K,Var_%
2019-10-23,521.5,518.75,523.88,516.12,,0.77
2019-10-22,517.5,523.62,532.12,517.5,,-1.29
2019-10-21,524.25,530.38,534.88,522.88,,-1.22
2019-10-18,530.75,525.62,532.38,521.12,,1.1
2019-10-17,525.0,513.75,526.88,513.12,,2.09
2019-10-16,514.25,506.12,514.25,504.62,,1.38
2019-10-15,507.25,508.88,511.12,504.38,,-0.73
2019-10-14,511.0,512.62,514.88,506.88,,0.64
2019-10-13,507.75,507.75,507.75,507.75,,-0.37
2019-10-11,509.62,491.62,512.62,491.38,,3.74
2019-10-10,491.25,499.75,504.12,488.12,,-2.0
2019-10-09,501.25,499.75,504.38,497.12,,0.15
2019-10-08,500.5,489.75,502.38,486.88,,2.19
2019-10-07,489.75,491.5,494.25,488.62,,-0.03
2019-10-06,489.88,489.88,489.88,489.88,,-0.2
2019-10-04,490.88,488.38,492.0,486.5,,0.44
2019-10-03,488.75,488.0,492.88,485.88,,0.1
2019-10-02,488.25,496.88,499.0,485.38,,-1.81
2019-10-01,497.25,496.25,499.12,489.88,,0.35
2019-09-30,495.5,488.88,500.88,483.12,,1.8
2019-09-27,486.75,486.38,490.38,482.62,,0.21
2019-09-26,485.75,477.12,486.62,476.88,,1.67
2019-09-25,477.75,481.25,482.12,476.38,,-0.68
2019-09-24,481.0,481.38,484.12,477.62,,-0.1
2019-09-23,481.5,484.5,487.38,481.12,,-0.62
2019-09-20,484.5,487.12,491.25,483.62,,-0.51
2019-09-19,487.0,488.5,491.88,484.62,,-0.51
2019-09-18,489.5,484.38,492.38,481.88,,0.93
2019-09-17,485.0,487.5,487.5,480.62,,-0.72
2019-09-16,488.5,488.62,489.88,482.25,,1.22
2019-09-15,482.62,482.62,482.62,482.62,,0.0
2019-09-13,482.62,485.38,490.88,480.62,,-0.29
2019-09-12,484.0,479.12,485.88,472.88,,1.57
2019-09-11,476.5,481.88,482.12,475.0,,-1.29
2019-09-10,482.75,476.38,483.12,473.88,,1.69
2019-09-09,474.75,462.38,475.88,460.62,,2.7
2019-09-08,462.25,462.5,462.5,462.25,,-0.08
2019-09-06,462.62,465.88,466.62,460.38,,-0.94
2019-09-05,467.0,461.25,469.62,460.38,,1.41
2019-09-04,460.5,454.75,464.88,454.75,,1.38
2019-09-03,454.25,461.88,462.88,450.62,,-1.55
2019-08-30,461.38,472.5,472.5,459.38,,-2.41
2019-08-29,472.75,474.88,477.12,471.88,,-0.63
2019-08-28,475.75,477.0,478.0,468.88,,-0.42
2019-08-27,477.75,474.5,479.5,472.75,,0.63
2019-08-26,474.75,477.38,477.62,473.88,,-0.08
2019-08-23,475.12,466.75,475.62,461.62,,1.74
2019-08-22,467.0,462.62,470.38,460.88,,0.92
2019-08-21,462.75,460.25,463.0,456.25,,0.87
2019-08-20,458.75,465.5,468.88,457.0,,-1.24
2019-08-19,464.5,469.38,470.38,464.12,,-1.25
2019-08-16,470.38,470.0,473.0,467.38,,0.13
2019-08-15,469.75,476.38,476.88,468.62,,-1.05
2019-08-14,474.75,474.88,480.12,471.38,,0.42
2019-08-13,472.75,471.25,478.62,465.62,,0.05
2019-08-12,472.5,501.0,501.88,466.75,,-5.52
